time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.498,-0.001262564,0.005858397,-0.01243264,0.01532259,-0.02476926,0.0673968,0.07329619,0.03466725,-0.06686157,355.0351,352.8737,359.7464,0.02506318,0.2703426,-0.005776255,-0.1382716,-0.3262109,-0.1215693,-0.01933618,-0.01418255,0.3041323,322.1167,16.36859,314.6895,0.05399029,-0.3509316,0.04978394,-0.9243279,-0.5001616,0.2221812,0.1017397,-0.3149556,0.3486126,341.9037,15.86893,336.4425,
13.236,-0.003547973,0.005391589,-0.01327363,0.008096,-0.01908515,0.06118339,0.07319331,0.03472939,-0.06706578,355.0252,352.8855,359.712,0.0006944651,0.2285661,0.003981902,-0.03129207,-0.2781514,-0.1549979,-0.01982015,-0.01242976,0.3045531,321.9132,16.15213,314.8662,0.04688571,-0.2763596,0.0595784,-0.7262514,-0.3816007,0.01247484,0.1023629,-0.316505,0.3495464,341.9772,15.79137,336.9067,
26.734,-0.006024579,0.005307488,-0.01390062,0.009477971,-0.01139689,0.05575703,0.07305157,0.03480008,-0.06727439,355.0029,352.889,359.682,-0.02594431,0.1848762,0.01450892,0.09028861,-0.2294816,-0.1982001,-0.02063667,-0.01122132,0.3051214,321.6605,15.83271,315.0072,0.03209189,-0.1908976,0.06716107,-0.3705989,-0.1501661,-0.1936538,0.1027478,-0.317245,0.3505914,341.7155,15.27185,337.141,
40.895,-0.008719051,0.005101589,-0.01441005,0.008496119,-0.008157193,0.04263509,0.07287002,0.03487536,-0.06747246,354.9954,352.8932,359.6715,-0.05856688,0.1411335,0.02814447,0.1390028,-0.2333986,-0.3373325,-0.02175551,-0.01049492,0.3059689,321.4039,15.23046,315.4999,0.01065483,-0.0996475,0.07538551,-0.02936525,0.0864425,-0.475839,0.1033761,-0.3164664,0.351832,341.2336,14.31505,337.5211,
54.7,-0.01136925,0.004462062,-0.0149369,0.007020316,-0.001736882,0.03554955,0.07265639,0.03493863,-0.06766295,354.9841,352.8886,359.6512,-0.09578513,0.08869505,0.03859499,0.01313606,-0.3869545,-0.5154188,-0.02354643,-0.0107319,0.3066852,321.1869,14.51585,316.5962,0.005406601,-0.000888003,0.0730116,0.2982498,0.05233069,-0.7470503,0.1042406,-0.3149161,0.3527134,340.3192,13.51079,338.0904,
68.12,-0.01394463,0.002707295,-0.01552844,0.006080211,0.002540774,0.02225678,0.07233739,0.03489178,-0.06789517,354.987,352.8794,359.6561,-0.1260934,0.04165163,0.0483327,-0.2489216,-0.595825,-0.7014786,-0.02550387,-0.01119719,0.3072259,321.1422,13.77753,318.2,0.01670785,0.09867655,0.06993207,0.4892814,-0.2148947,-1.023775,0.1054378,-0.3119559,0.3541217,339.1533,12.96616,339.0648,
82.2,-0.01598964,0.0005751509,-0.01656306,-0.005862319,0.006900311,0.0004916903,0.07208097,0.03483474,-0.06816411,355.0082,352.8705,359.6687,-0.1592423,-0.006313776,0.05380891,-0.4832806,-0.8798159,-0.8868561,-0.02822433,-0.01280767,0.3076765,321.0509,12.95045,320.2396,0.02707656,0.1749924,0.07339098,0.541275,-0.4966863,-1.291285,0.106584,-0.3088223,0.3553703,337.9736,12.45895,340.4313,
96.096,-0.01757092,-0.001269087,-0.01783942,-0.02081854,0.0133454,-0.02241528,0.0718081,0.03480199,-0.06843948,355.0709,352.8382,359.7198,-0.1985364,-0.05726616,0.0640514,-0.7147427,-1.152614,-1.148131,-0.03094376,-0.01439713,0.3094002,321.0877,11.80729,322.8162,0.04586709,0.2500158,0.08644119,0.528776,-0.7416209,-1.481525,0.1084506,-0.3043602,0.3577522,336.8681,11.98045,342.0076,
110.204,-0.01902433,-0.00273976,-0.0189246,-0.02556781,0.01671987,-0.04213732,0.07151806,0.03470802,-0.06873047,355.1057,352.8146,359.7688,-0.2392842,-0.1099259,0.08169498,-0.9241223,-1.38831,-1.463468,-0.03431469,-0.01725436,0.310113,321.2838,10.3603,325.8506,0.06814498,0.3094446,0.117681,0.2912163,-0.8225542,-1.572,0.1107694,-0.2985875,0.3596316,336.3808,11.46271,343.6811,
123.626,-0.02044697,-0.003608173,-0.01986423,-0.02997093,0.02158585,-0.04636382,0.0712142,0.03461891,-0.06905192,355.1431,352.7829,359.7917,-0.2785656,-0.1624908,0.09359922,-0.9611279,-1.654867,-1.717433,-0.03802142,-0.02095351,0.3115448,321.323,8.773429,329.0921,0.0999434,0.3742007,0.1234732,0.5124913,-0.7388614,-1.418904,0.1132958,-0.2931425,0.3618316,335.3737,10.99572,344.45,
