time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
2.284,-0.02296864,0.1393519,0.00724104,0.5528985,-0.498032,0.3422843,0.04205906,0.04568592,-0.0006427765,353.7272,347.8151,0.8915915,0.1974474,1.151121,0.6747072,2.794471,-0.6473681,0.9557473,-0.09504625,-0.4467072,0.08297133,21.95667,337.5743,7.459139,0.08437175,-1.583129,0.1659078,-3.491492,-1.885522,-2.540171,0.1051876,-0.384541,0.1975102,355.6747,349.0559,4.8682,
27.591,-0.01314086,-0.1253637,-0.02661243,0.585757,-0.5444737,0.54716,0.041587,0.03744292,-0.001948178,351.927,349.3682,0.2761644,0.1850422,1.096677,0.6540489,3.264694,-0.4458312,0.5238312,-0.09062465,-0.4084865,0.1071513,15.24412,341.8774,11.44275,0.2220042,-1.879283,-0.1452079,-3.064986,-2.005861,-3.744047,0.11098,-0.4545711,0.1879012,6.18535,353.7152,12.48043,
39.898,-0.01162992,-0.2099864,-0.03221056,0.5393602,-0.5522771,0.6348702,0.04127276,0.02648965,-0.003029585,350.8751,350.5103,359.5454,0.173794,1.068186,0.6162532,3.404431,-0.3482642,0.3379982,-0.08838774,-0.3852159,0.1214255,10.61787,344.516,13.95673,0.2070295,-1.853824,-0.2831016,-2.999431,-1.17711,-3.504187,0.1143592,-0.4968802,0.1782324,12.24182,354.589,16.02856,
55.573,-0.01061348,-0.3155282,-0.03525573,0.4367508,-0.5563687,0.6999671,0.04115903,0.01912385,-0.003432751,350.6086,351.1159,359.0729,0.160083,1.039572,0.5709396,3.555099,-0.2929766,0.354911,-0.08760104,-0.3748371,0.1265392,7.81084,345.7479,15.08089,0.183446,-1.762644,-0.4059205,-2.732885,-0.5254405,-2.907939,0.1177206,-0.5143018,0.1691965,13.94444,353.4129,16.42868,
70.089,-0.01058424,-0.3943877,-0.03379535,0.3058921,-0.5630211,0.6614158,0.04093063,0.01225531,-0.003629565,350.5874,351.6779,358.7627,0.1461494,1.003837,0.5132049,3.634945,-0.2413761,0.4368646,-0.08698821,-0.3654745,0.1318292,4.937884,346.7923,15.86673,0.2321849,-1.594094,-0.4807222,-2.050159,-0.6325183,-2.139924,0.1227874,-0.5290715,0.1609332,14.06448,354.088,16.28363,
85.556,-0.01117037,-0.441549,-0.02732246,0.1334293,-0.5580205,0.5563405,0.0407694,0.006367862,-0.003567696,350.7966,352.1427,358.5562,0.1339144,0.9621993,0.4367648,3.775608,-0.1446122,0.621038,-0.08610918,-0.3568088,0.1343755,1.639311,347.6703,16.37422,0.306021,-1.444286,-0.5265021,-1.907151,-1.068728,-1.422906,0.1285705,-0.5433685,0.1528433,15.31223,355.403,15.19008,
100.321,-0.01108504,-0.4454724,-0.01857956,-0.03758308,-0.5378741,0.4123817,0.04062283,0.002376616,-0.003527522,351.1423,352.5394,358.5057,0.1334953,0.9122549,0.3517981,3.914217,-0.03978039,1.029181,-0.084778,-0.3495508,0.1373167,357.9178,348.4229,16.14286,0.3587662,-1.320453,-0.5467842,-2.053158,-1.44492,-1.180422,0.1333842,-0.5547718,0.1453356,17.61708,356.9146,14.75376,
115.019,-0.01190545,-0.3982762,-0.008196715,-0.1478112,-0.5032919,0.2754109,0.04036593,0.0006817281,-0.003186166,351.3679,352.8579,358.5107,0.1468358,0.8569337,0.3004016,3.842723,-0.02577399,1.451818,-0.08319049,-0.342997,0.1413677,354.547,349.2829,15.27653,0.3853066,-1.19648,-0.5502956,-2.181815,-1.645126,-0.6780883,0.1390431,-0.5654271,0.1397105,19.70665,357.6575,13.42116,
129.276,-0.01497476,-0.3061589,0.006699371,-0.1304543,-0.4433315,0.2185286,0.03992438,0.0009081364,-0.002370238,351.2812,353.1132,358.4014,0.1665522,0.7851868,0.2704143,3.625584,-0.07197205,1.871688,-0.0815668,-0.3373354,0.144666,351.5542,350.3327,13.80364,0.3980951,-1.082392,-0.5387692,-2.384832,-1.848638,-0.2208192,0.1442942,-0.5750695,0.133495,22.03511,358.2304,11.63824,
144.035,-0.01967547,-0.1925434,0.02635388,-0.09917756,-0.3698975,0.2000002,0.03942794,0.002951443,-0.001172364,351.3594,353.3024,358.2939,0.1632626,0.6768014,0.2655565,3.006041,-0.01555651,2.167759,-0.08085547,-0.3332503,0.1495319,349.6738,351.0011,11.9201,0.3964459,-1.000938,-0.5129244,-2.876011,-2.041931,-0.1609764,0.1487238,-0.5836142,0.1300145,25.45355,358.9783,10.35656,
158.375,-0.02430718,-0.05606143,0.04677527,-0.1677237,-0.2850426,0.1324211,0.03903353,0.006437987,-6.729364E-05,351.6866,353.3699,358.2866,0.1300581,0.5764064,0.2753338,2.298737,0.1559299,2.119134,-0.08091799,-0.329812,0.153951,348.632,351.1093,10.48793,0.3926467,-0.9131134,-0.475142,-3.269328,-2.189182,-0.3164451,0.1531247,-0.5901013,0.1268205,29.09471,0.1083389,9.580948,
172.727,-0.02658132,0.07768369,0.06421075,-0.3488378,-0.2003662,-0.00569771,0.03870261,0.01100844,0.001256526,352.4081,353.3672,358.4045,0.04612284,0.4127436,0.2951946,1.019582,0.4283045,1.68084,-0.08263644,-0.3287333,0.1583455,349.6975,350.1394,9.451599,0.3876244,-0.7564846,-0.4170136,-3.260449,-2.073354,-0.8275669,0.1564281,-0.5921535,0.1247231,32.04711,2.040061,10.42451,
186.678,-0.02390163,0.1913674,0.07359791,-0.6031803,-0.1059053,-0.1798086,0.03876257,0.01657063,0.002125204,353.5087,353.1999,358.6393,-0.05212769,0.2530738,0.2929306,-0.2033198,0.6725,0.9481032,-0.08533248,-0.3282697,0.1615408,351.8509,348.652,9.104847,0.3614193,-0.5528468,-0.3486212,-2.86997,-1.727633,-1.162614,0.1586004,-0.5910931,0.1232441,33.80805,3.844682,11.72996,
201,-0.01490621,0.2852998,0.07647053,-0.8284208,0.006469758,-0.3776353,0.03908736,0.02250367,0.003129065,354.6381,352.9099,358.9994,-0.1512064,0.1161885,0.2541479,-1.042814,0.9504749,0.09530608,-0.08859025,-0.3285169,0.1633174,354.2957,346.7253,9.435264,0.3029648,-0.3475637,-0.2818356,-2.472097,-1.296596,-1.160316,0.1594075,-0.5875443,0.122422,35.06733,4.831711,12.68963,
215.358,0.001272086,0.3640362,0.07727706,-0.9092169,0.1384213,-0.5336348,0.03979921,0.02896687,0.004135609,355.4392,352.511,359.3527,-0.2230402,0.00703673,0.1807995,-1.36379,1.174047,-0.5933102,-0.09162372,-0.3303413,0.163273,356.2631,344.8174,10.14315,0.1902385,-0.09063033,-0.1866507,-2.000646,-0.8227078,-0.7219166,0.158271,-0.5794975,0.1237808,35.71169,4.317669,12.62508,
229.374,0.02181721,0.4221159,0.07574661,-0.7790338,0.2450447,-0.5355058,0.04090369,0.03598243,0.005116403,355.7442,352.1232,359.5414,-0.2539898,-0.09182738,0.09963042,-1.435515,1.271745,-0.870064,-0.09412836,-0.3338231,0.1626755,357.7274,343.282,10.5054,0.05553475,0.178509,-0.07194425,-1.432626,-0.4598189,0.01610177,0.1561982,-0.5683429,0.1267578,35.68536,2.502855,11.29172,
243.785,0.04362361,0.4652005,0.07367305,-0.4794183,0.3048399,-0.4167943,0.04211509,0.0429951,0.006076455,355.5376,351.8033,359.6168,-0.2625226,-0.1925883,0.02633671,-1.551903,1.443601,-0.7006415,-0.09617041,-0.3390768,0.1617346,358.8397,341.673,9.875899,-0.06428076,0.4468617,0.05511618,-0.7456466,-0.1349792,0.6681764,0.1535656,-0.5547409,0.1313511,34.78534,0.3539838,9.706808,
257.875,0.06384012,0.4875379,0.0700634,-0.1342207,0.3355913,-0.2611324,0.0434798,0.04944739,0.006899118,355.0625,351.4913,359.6584,-0.2601875,-0.3228451,-0.04502203,-1.924507,1.724079,-0.1786658,-0.09763823,-0.346866,0.1599876,359.8974,339.7279,7.874162,-0.1498782,0.6939261,0.1870633,0.01434422,0.1561453,1.039194,0.1505976,-0.5393828,0.1372806,33.09905,358.6347,8.559721,
