time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.445,-0.03278706,0.003584401,0.002371289,0.03455636,0.03571406,-0.04159613,0.07873154,0.02502477,-0.08517563,0.9360193,354.1225,359.656,0.01835979,0.02237072,0.03712515,0.07869601,0.2151124,0.1133508,0.4249429,-0.2563458,-0.02320459,13.80024,118.9454,357.7961,-0.03368741,-0.004810003,0.00831876,-0.03099552,-0.1823271,-0.1392226,0.2164477,-0.2044129,0.127468,322.2126,351.5696,316.8414,
13.373,-0.03026756,0.003234368,0.00306928,0.02130928,0.02557848,-0.02625852,0.07837641,0.02506021,-0.08511704,0.9394739,354.1203,359.6526,0.01602355,0.02050251,0.03332069,0.05991005,0.1803427,0.1135852,0.4252875,-0.2563944,-0.02300619,13.71161,118.8818,357.8596,-0.03349325,-0.006269548,0.007126385,-0.03115688,-0.2039519,-0.1092608,0.2161541,-0.2046371,0.1275604,322.172,351.5552,317.0486,
26.948,-0.02755425,0.003363809,0.003760986,0.01542778,0.01344922,-0.0149099,0.0780592,0.02510083,-0.08504879,0.9264399,354.1284,359.6531,0.01578235,0.01521915,0.03109365,0.05574626,0.1828374,0.07427528,0.4255732,-0.2564512,-0.02289834,13.70199,118.7497,357.8753,-0.02400059,-0.006057096,0.005512041,-0.05626258,-0.1499759,-0.05849828,0.2162682,-0.2046281,0.1274735,322.1837,351.652,316.9904,
40.566,-0.0248822,0.003356652,0.004184429,0.01649871,0.004573883,-0.005210277,0.07777941,0.02512467,-0.08497214,0.909988,354.1273,359.6559,0.01513556,0.00960094,0.0281179,0.06391292,0.1801513,0.04544844,0.4256214,-0.2565334,-0.02266374,13.7132,118.6355,357.9039,-0.01137,-0.003354853,0.00133515,-0.01597195,-0.006495779,0.001286482,0.216316,-0.2045786,0.1274787,322.1843,351.6636,316.8102,
54.727,-0.02272436,0.002631079,0.004743618,0.01466917,-0.003170109,0.002824467,0.07749152,0.02512023,-0.08489615,0.898831,354.1409,359.6445,0.01262752,0.006790256,0.02424787,0.04926742,0.1573156,0.05536286,0.4259739,-0.2568559,-0.02266888,13.6768,118.5813,357.9324,0.006324396,0.002211605,-0.007699385,0.03809318,0.06691086,0.1308045,0.2164673,-0.2046299,0.1272823,322.0849,351.7596,316.5937,
68.639,-0.02070861,0.001546707,0.00547222,0.01342862,-0.0110001,0.01317012,0.07726943,0.02514914,-0.08477837,0.8845854,354.1649,359.6132,0.01291894,0.001258911,0.0197577,0.058838,0.1306958,0.02217273,0.4263723,-0.2570295,-0.02271013,13.69907,118.5276,357.956,0.02188464,0.005556953,-0.01112347,0.0169022,0.07817447,0.2176349,0.2169793,-0.2044856,0.1271696,321.9119,352.053,316.182,
82.385,-0.01884858,0.001160637,0.006411149,0.01150521,-0.02212173,0.02652092,0.07699502,0.02522355,-0.08466023,0.8703061,354.1981,359.5741,0.01415228,-0.003349448,0.01648542,0.06656274,0.1111513,0.01827316,0.4264116,-0.257168,-0.02240665,13.69959,118.4658,358.0036,0.03089698,0.005874522,-0.004501078,-0.05112117,0.0812039,0.2070723,0.2173771,-0.2044876,0.1272582,321.9117,352.3283,315.9221,
96.085,-0.01711211,0.001592662,0.007393871,0.0159234,-0.03203653,0.03581101,0.07680702,0.02527648,-0.08451498,0.8406513,354.2349,359.5392,0.0180027,-0.008891819,0.01469425,0.06021821,0.1211271,-0.03055606,0.4267127,-0.2574328,-0.02230379,13.75355,118.3399,357.9977,0.03059454,0.002213256,0.005211352,-0.1166117,0.07041939,0.1428337,0.2175222,-0.2046839,0.1272919,322.0233,352.4841,315.8492,
110.301,-0.01576985,0.001879329,0.008135787,0.01984364,-0.03742491,0.0375233,0.07662165,0.02530816,-0.08438396,0.8157351,354.2681,359.517,0.02072994,-0.01695841,0.01238351,0.06351629,0.1142135,-0.09734521,0.4276158,-0.2580963,-0.0226627,13.89587,118.1832,357.9525,0.01597151,-0.006676041,0.02449512,-0.2151257,0.05628074,-0.03960077,0.2167793,-0.2041976,0.1288088,322.3846,352.5435,315.9579,
124.01,-0.01438739,0.001671259,0.008481624,0.01491625,-0.03713353,0.02994256,0.07645535,0.02532643,-0.08425784,0.8137061,354.2939,359.51,0.02217152,-0.02396822,0.007814882,0.08099625,0.08012719,-0.1549223,0.4278563,-0.2582281,-0.02256627,14.11669,118.0729,357.9099,0.01130257,-0.005005682,0.02546539,-0.1939288,0.04926096,-0.1028595,0.2177019,-0.2045232,0.1277812,322.6166,352.4929,316.0866,
