time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.406,0.09879136,-0.03286083,-0.03195348,-0.4005032,0.04869537,-0.1395112,0.4355666,0.760229,0.2312989,354.5914,350.8128,359.1892,0.03387676,-0.02180635,0.1236671,-1.678294,-2.09663,-0.03023213,0.2586662,0.08591614,0.3495616,5.088883,347.0868,353.8877,0.3330127,0.3123483,0.2291693,0.8941559,-1.051221,-1.347622,0.5864772,0.1681532,0.4209054,8.397256,353.5714,320.7023,
13.119,0.1160236,-0.02818492,-0.03636234,-0.472893,0.03480668,-0.190607,0.4375916,0.7605126,0.2307527,355.1514,350.7867,359.2693,0.02311107,-0.001580373,0.1448783,-1.624173,-1.675632,-0.3572483,0.2581303,0.08752143,0.3522367,6.452509,347.9528,353.9631,0.3161193,0.3407289,0.2468681,1.002691,-0.9837379,-0.9509584,0.5906477,0.1722818,0.4249218,7.267986,353.509,321.0371,
26.504,0.1309065,0.0009224329,-0.03937722,-0.5676811,0.01924923,-0.2424212,0.4396746,0.7619861,0.230252,355.7449,350.7892,359.3271,0.01944754,0.02917577,0.1682145,-1.301776,-1.282002,-0.4604977,0.2578503,0.08903118,0.3553185,7.141521,348.5072,354.1714,0.3054185,0.3493909,0.2780489,0.8845661,-0.9274535,-0.4097262,0.5943995,0.1758091,0.4298357,6.400312,353.4741,320.5523,
40.717,0.1405888,0.03509657,-0.03081781,-0.4170257,0.01481603,-0.1990418,0.4416959,0.7631258,0.2306566,355.5838,350.767,359.3626,0.00717333,0.06525469,0.1904906,-0.779426,-0.7674217,-0.3180364,0.257816,0.09059406,0.3583285,7.034414,348.3589,354.2953,0.2907469,0.3275062,0.3313089,0.6080596,-0.7637467,-0.2240838,0.597506,0.1788733,0.4361181,6.109357,353.6402,320.3873,
54.613,0.1465524,0.06008656,-0.00916443,-0.04436832,0.02258483,-0.04891154,0.4438033,0.7641064,0.2311635,354.986,350.7346,359.3292,-0.008289672,0.09081295,0.2028812,-0.3466232,-0.2669264,-0.1119802,0.2579291,0.09198657,0.3613226,6.625854,347.7305,354.297,0.2809939,0.2996106,0.3665905,0.3494395,-0.6562726,-0.386314,0.6004972,0.1822368,0.442126,6.04579,354.1293,320.8832,
68.223,0.1515208,0.06868003,0.006475151,0.2114316,0.02359033,0.07641336,0.4459769,0.7645507,0.2314037,354.5004,350.7339,359.2619,-0.02346461,0.1216548,0.2093613,0.1448747,0.2418717,0.1683381,0.2583055,0.09390226,0.3639852,5.66899,346.5669,354.2427,0.2738357,0.2942001,0.3994795,0.2166698,-0.7185343,-0.5950336,0.6035736,0.1865874,0.4480019,5.762703,354.8784,321.6497,
82.41,0.1569371,0.06081153,0.01304547,0.2398331,0.01782694,0.1071657,0.4482619,0.764843,0.2314143,354.4259,350.7435,359.2268,-0.02875526,0.1633909,0.2053036,0.6265185,0.6477247,0.4466746,0.2592281,0.09604666,0.3674012,4.284135,345.2039,354.208,0.2612115,0.3035609,0.4180276,0.2294217,-0.8692479,-0.7889801,0.6057873,0.1901007,0.4536082,5.112465,355.7067,322.5747,
96.347,0.1622854,0.04421744,0.01300548,0.1419437,0.004333232,0.06110629,0.4506661,0.7648892,0.2313912,354.5663,350.7571,359.2592,-0.01344182,0.177359,0.1966434,0.6513928,0.8526449,0.4865229,0.2606805,0.09816212,0.369765,3.642642,344.0872,354.161,0.2267877,0.305572,0.4303712,0.3121344,-0.7368813,-1.130667,0.6072158,0.1939703,0.4605434,4.743225,356.0989,324.0565,
110.329,0.1671951,0.02434673,0.009583823,-0.01735195,-0.008092455,-0.01856404,0.4530989,0.7648094,0.2313521,354.8879,350.7685,359.3221,0.029273,0.1515627,0.1890487,0.3286424,0.6962929,0.1586155,0.2623994,0.09952907,0.3727812,4.06595,343.835,354.3906,0.1834289,0.3152413,0.4292167,0.5078937,-0.6017661,-1.597165,0.6085467,0.1984394,0.4651554,4.207131,356.3153,326.1584,
124.107,0.170635,0.006908583,0.006996326,-0.1344393,-0.006898605,-0.07663655,0.4555256,0.7646445,0.2314446,355.1599,350.7569,359.3607,0.06134407,0.1188316,0.1891694,0.04330454,0.5307109,-0.1789136,0.2639726,0.100875,0.3757011,4.812089,343.8159,354.7711,0.136132,0.3236423,0.410019,0.7818133,-0.5048488,-2.228669,0.608682,0.201878,0.4704947,3.480173,356.4447,329.0784,
