time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.493,0.005760397,-0.01586644,0.008037004,-0.1727267,-0.008137467,0.03246183,-0.07227555,0.3863638,1.670397,350.3254,3.304951,356.5476,-1.586202,0.5027301,0.2954378,-1.579432,1.296829,3.970248,-0.4663842,-0.4602101,1.817757,58.4901,328.6649,2.262656,1.657752,0.3240284,0.07086894,-1.144436,1.22281,-2.381707,0.33837,-0.4648941,1.731661,70.55672,20.94123,348.4417,
13.354,0.004156744,-0.01926756,0.002545369,-0.2038773,-0.03538075,-0.002430803,-0.07227203,0.3860198,1.670262,350.5205,3.356032,356.657,-1.639679,0.6222413,0.2951996,-1.441005,1.43801,3.943727,-0.4887865,-0.4486247,1.821967,56.84682,325.7982,2.610302,1.782619,0.4392576,0.05187984,-1.293369,0.7924969,-2.687734,0.3650406,-0.4556231,1.732025,69.55383,25.45143,350.4895,
27.167,0.00245433,-0.02056993,-0.004451879,-0.2505104,-0.0621928,-0.04390372,-0.07233596,0.3856638,1.669817,350.7792,3.412386,356.7973,-1.693402,0.7410152,0.2966023,-1.322179,1.337461,3.822432,-0.5117626,-0.4355229,1.826086,55.08659,323.1051,2.572344,1.929038,0.5966977,0.04173791,-1.352708,0.6031646,-3.107912,0.3934163,-0.4430859,1.731882,67.79814,30.29633,352.7516,
40.857,0.001002621,-0.02296395,-0.01233203,-0.3034418,-0.08156074,-0.09525694,-0.07235046,0.3852341,1.669443,351.0725,3.455594,357.0002,-1.735663,0.8550505,0.3019608,-1.171598,1.065849,3.489711,-0.5354155,-0.421016,1.830728,53.51537,320.9456,2.271059,2.078182,0.7748651,0.02193462,-1.532123,0.3301973,-3.559861,0.4238405,-0.4281757,1.731293,65.75146,34.7529,354.1367,
54.621,-0.0008643132,-0.0255626,-0.01997369,-0.3389122,-0.08349022,-0.1225991,-0.07242931,0.3849041,1.669081,351.358,3.478028,357.1586,-1.77511,0.9729815,0.3214765,-0.9241417,0.5852956,3.030548,-0.5600857,-0.4043463,1.835596,51.99786,319.4637,1.619444,2.194718,0.9367135,-0.01219328,-1.861656,-0.1410687,-3.953188,0.4547266,-0.411299,1.729812,63.70509,38.63544,354.2437,
68.698,-0.003992982,-0.02667048,-0.02640769,-0.3486791,-0.07262602,-0.1092429,-0.07262012,0.384635,1.668696,351.6266,3.50792,357.2359,-1.828597,1.104162,0.3389944,-0.86392,-0.1759419,2.567713,-0.5856324,-0.385585,1.840514,50.39442,317.7327,359.6886,2.317162,1.155203,-0.05489659,-2.235346,-0.929009,-4.427306,0.4875988,-0.3907949,1.727593,61.41881,41.4402,352.2019,
82.679,-0.00714944,-0.02653315,-0.03129248,-0.3267228,-0.05020102,-0.06236641,-0.07277192,0.3843002,1.668236,351.833,3.526881,357.2238,-1.917194,1.282009,0.3497998,-1.218512,-1.18516,2.149127,-0.6130782,-0.3631457,1.845969,48.55273,315.129,355.9076,2.409065,1.377506,-0.09204009,-2.441428,-1.251248,-4.753345,0.5193668,-0.3666122,1.724499,58.48419,44.42018,350.8696,
96.322,-0.008757923,-0.02699907,-0.0344935,-0.2779058,-0.03491173,0.005200037,-0.0728675,0.383892,1.66773,351.9834,3.576721,357.1369,-2.005145,1.483321,0.3527793,-1.71566,-1.863439,2.0932,-0.6405471,-0.3380241,1.850959,46.08477,312.2055,351.9901,2.467511,1.643495,-0.1174101,-2.360866,-1.299814,-5.07684,0.5520001,-0.3386737,1.721988,54.71746,46.61042,349.4258,
111.415,-0.007806403,-0.02698784,-0.03592414,-0.2257411,-0.04044607,0.06944471,-0.07289951,0.3835495,1.667238,352.1024,3.672475,357.0191,-2.079668,1.71559,0.352991,-2.027898,-2.024865,2.335901,-0.6690314,-0.3099018,1.85618,43.20508,309.6728,349.1667,2.488549,1.896831,-0.183544,-2.656278,-0.6922339,-4.97311,0.5818672,-0.3084857,1.717658,50.80422,50.34822,350.7453,
124.227,-0.0050456,-0.02567628,-0.03611954,-0.197888,-0.0670803,0.09632619,-0.07295255,0.3831735,1.666697,352.2414,3.802975,356.9664,-2.139015,1.972697,0.3404627,-2.136379,-1.693889,2.949242,-0.6970445,-0.2775761,1.859881,39.82979,307.3425,347.8617,2.437078,2.066463,-0.2034318,-2.559392,-0.1487878,-4.372452,0.6109939,-0.2772428,1.71563,47.82804,52.80471,352.1094,
137.903,-0.002319835,-0.02487648,-0.03460016,-0.1920791,-0.09667334,0.0960848,-0.07298137,0.3827596,1.666221,352.402,3.936797,356.9432,-2.167872,2.234557,0.3114814,-2.044785,-0.9680398,3.637665,-0.725006,-0.2428262,1.863931,36.41315,305.1339,348.0445,2.364058,2.272684,-0.2083612,-2.531893,0.5672905,-3.788486,0.6402797,-0.2422905,1.713257,44.82261,54.97159,354.2864,
151.988,-0.0003247944,-0.0244484,-0.03172651,-0.1979155,-0.1078477,0.09085579,-0.0729803,0.3824084,1.665867,352.5724,4.043217,356.9195,-2.155822,2.500564,0.2719807,-1.753107,-0.1111513,4.32035,-0.7516754,-0.2041303,1.867078,32.93924,303.2372,349.6086,2.269071,2.552394,-0.2178885,-2.717697,1.00508,-3.731146,0.6657914,-0.2008852,1.709711,40.9291,57.03474,356.0515,
166.037,0.0007328079,-0.0240874,-0.02710567,-0.2086743,-0.1080828,0.06769518,-0.07295962,0.3821167,1.665643,352.755,4.126421,356.9442,-2.096748,2.779553,0.2264153,-1.414922,0.5668096,5.087676,-0.7760365,-0.1621072,1.869217,28.82608,301.7678,352.1284,2.151058,2.809474,-0.2206283,-2.950146,1.232013,-3.838833,0.6898019,-0.1585909,1.706441,36.63771,58.65655,357.3199,
179.896,0.001735947,-0.02205832,-0.02113781,-0.2087183,-0.09739056,0.03380931,-0.07291029,0.3819096,1.665544,352.9034,4.177608,357.002,-2.007001,3.002796,0.1812882,-1.235139,1.038588,5.589638,-0.7987096,-0.1191785,1.870995,24.45735,300.5044,354.7336,2.020692,2.999293,-0.2110364,-3.00225,1.286454,-3.814301,0.7120498,-0.1154467,1.703406,32.61584,59.71761,358.2442,
