time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.571,0.0005264802,-0.00273587,0.004316521,-0.05301042,0.02327841,-0.007940201,0.1852094,0.07100417,-0.1839494,353.4255,357.762,358.8449,-0.03752173,-0.004553615,-0.01287738,-0.03358803,0.2314148,0.4213386,-0.01352922,-0.7017051,-0.1950547,66.44376,303.7565,308.5831,0.05448084,0.00231473,0.004152368,-0.1180515,0.3161375,-0.124351,0.3226946,-0.7123647,-0.1199939,69.42632,59.88349,72.4487
13.223,0.0009064302,-0.002056397,0.004859149,-0.05329354,0.01915107,-0.01689829,0.1852207,0.07100309,-0.1838783,353.4677,357.7478,358.8764,-0.04905428,-9.213073e-05,-0.01371808,0.007794727,0.2306235,0.5195343,-0.01446069,-0.701485,-0.1952038,66.44339,303.4127,308.8615,0.0729334,-0.0004859045,0.005425022,-0.1426779,0.4201999,-0.1855294,0.323508,-0.7123808,-0.1194749,68.94965,60.81771,73.29382
26.278,0.001541857,-0.001545184,0.005440654,-0.04891515,0.01630417,-0.02901929,0.1852388,0.07101674,-0.1838104,353.4994,357.7296,358.9185,-0.05777606,0.0004842402,-0.01750164,0.0619241,0.2842692,0.625093,-0.01553738,-0.7015037,-0.195554,66.51842,303.205,309.4263,0.08387221,0.001873101,0.01373196,-0.03750087,0.4717023,-0.2587622,0.3244544,-0.7124447,-0.119236,68.44228,61.12298,73.30532
40.45,0.00215256,-0.001452736,0.005656724,-0.05250187,0.01381072,-0.03647971,0.1852683,0.07101739,-0.183746,353.5532,357.7148,358.9475,-0.06728264,-0.004776597,-0.02998599,0.1252129,0.4344979,0.7466208,-0.0171014,-0.7018256,-0.1964426,66.80159,303.201,310.4152,0.08855239,0.0009270748,0.01705974,0.04602892,0.421686,-0.3510455,0.3252964,-0.7123471,-0.1189443,68.12009,61.44199,73.18759
54.288,0.002466407,-0.001693006,0.005584357,-0.06260128,0.01418683,-0.03204229,0.1853124,0.07098734,-0.1836709,353.6251,357.7017,358.9518,-0.07603745,-0.01407945,-0.0484505,0.09761055,0.5909562,0.7530339,-0.0187334,-0.7017434,-0.1974449,67.29966,303.0703,311.1092,0.08870824,0.0007965025,0.02349352,0.1911126,0.3103003,-0.4554895,0.3264813,-0.7127026,-0.1183442,67.94891,61.41484,72.52654
68.167,0.002860954,-0.002761474,0.0056171,-0.06709054,0.01829945,-0.02904022,0.1853636,0.07092122,-0.1835918,353.684,357.6765,358.9624,-0.09191431,-0.0215075,-0.07023109,0.07113373,0.6768166,0.7391495,-0.02108663,-0.702641,-0.1989495,67.78007,302.9462,311.7459,0.08812764,-0.0009649331,0.02968097,0.3081615,0.1375167,-0.5471943,0.3276548,-0.7123168,-0.1178319,67.98943,61.24857,71.61485
81.931,0.002761256,-0.003964801,0.005864704,-0.07487595,0.02041262,-0.0258934,0.1853908,0.07082191,-0.1835011,353.7623,357.6544,358.9732,-0.124486,-0.02810556,-0.1007409,0.0003196746,0.6244932,0.7483603,-0.02380916,-0.7025827,-0.2011493,68.05107,302.348,311.8548,0.09782072,-0.006356435,0.02426186,0.2283628,0.04423278,-0.5616998,0.3295857,-0.712871,-0.117676,68.06497,61.7555,71.63779
95.989,0.002830944,-0.004286444,0.006143979,-0.08604774,0.02534159,-0.02042088,0.1854211,0.07073805,-0.1834059,353.8518,357.6278,358.9675,-0.1556537,-0.03427333,-0.1348936,-0.1673907,0.5204962,0.7479052,-0.02679385,-0.7035409,-0.2036693,68.2328,300.957,311.0893,0.131549,-0.01774754,0.01482304,-0.060401,0.1494495,-0.6044691,0.3319717,-0.7138731,-0.1167879,67.81564,63.76333,73.36382
110.063,0.003040617,-0.003315549,0.00639883,-0.09455795,0.03126907,-0.0094197,0.1854612,0.07070789,-0.1833069,353.937,357.5984,358.9408,-0.1912132,-0.04865764,-0.1845895,-0.549468,0.411514,0.6280432,-0.03007967,-0.7044069,-0.2064132,68.5191,298.009,308.4197,0.170914,-0.02060585,0.01383263,-0.1872268,0.2874086,-0.6637793,0.3347896,-0.7136891,-0.1165007,67.33179,65.46887,74.65952
123.526,0.003440744,-0.00197843,0.006414298,-0.1019203,0.03690271,0.0006764955,0.1855203,0.07071662,-0.1832171,354.0292,357.568,358.915,-0.222199,-0.05517292,-0.2269272,-0.8017868,0.2987051,0.4546613,-0.03372289,-0.7049195,-0.2098429,68.70468,295.1328,305.5684,0.2015638,-0.02476894,0.007872921,-0.4230353,0.3159333,-0.6159977,0.3375594,-0.7147455,-0.1154254,67.0041,67.70245,76.79166
137.742,0.004473013,-0.001419905,0.006199564,-0.1073584,0.03967917,-0.00816497,0.1856106,0.07071321,-0.1831365,354.1251,357.5291,358.9414,-0.2501079,-0.05735369,-0.2653378,-1.033688,0.3061932,0.2980229,-0.03797684,-0.7056996,-0.2132067,69.06858,291.8493,302.248,0.2210865,-0.01247958,0.02582678,-0.1937777,0.19756,-0.5770413,0.3415726,-0.7137589,-0.1145789,67.01221,67.73825,76.35839
151.724,0.005692867,-0.001730733,0.005813879,-0.1073523,0.04011674,-0.02799236,0.1857161,0.07070536,-0.183101,354.2112,357.49,358.9903,-0.2785565,-0.04337531,-0.2893212,-0.9704054,0.2948398,0.3411285,-0.0425202,-0.7051637,-0.2172876,69.22646,289.8031,300.5683,0.2578554,0.0009430027,0.04815137,-0.1167254,0.2481038,-0.4712996,0.3461685,-0.7141583,-0.1133332,66.70907,67.88073,76.31406
165.401,0.006859949,-0.001999313,0.005681586,-0.09973054,0.04127515,-0.04829028,0.1858364,0.07069405,-0.1830631,354.2769,357.4414,359.0515,-0.3032094,-0.02688644,-0.317587,-0.9589475,0.3600463,0.4139395,-0.04743358,-0.7051809,-0.2218517,69.5259,287.4379,298.7333,0.3080167,0.0105916,0.06545822,-0.197352,0.3507979,-0.3606068,0.3514706,-0.7136498,-0.1116763,66.25441,68.5567,77.03813
