time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.635,-0.03902313,0.0009393139,-0.01671731,0.0490529,0.04489669,-0.1029269,-0.009329278,0.346726,1.60399,2.130742,1.146147,1.088541,-0.5219774,-0.03828716,0.1148465,-2.674397,-1.881722,-1.978509,-0.06207749,0.3423325,2.154004,327.6664,37.37159,324.517,-0.1159802,0.629353,-0.08030927,0.1052672,-1.115887,-1.598809,0.1924749,0.2832584,2.174913,333.9454,2.203236,351.54,
13.208,-0.03529545,-0.001653209,-0.01727802,0.03815776,0.03659925,-0.07451157,-0.00973747,0.3466808,1.603761,2.112158,1.13308,1.099273,-0.5564566,-0.06372396,0.1309606,-2.861747,-2.213202,-2.168249,-0.06880763,0.3396143,2.15607,326.1581,35.45768,328.9178,-0.1780697,0.6641289,-0.09828972,0.2464505,-1.371731,-1.889615,0.1888602,0.2930025,2.173159,333.4082,1.413405,354.2688,
26.32,-0.03107424,-0.003875767,-0.01799728,0.02718467,0.02860775,-0.04927113,-0.01007665,0.3465908,1.603501,2.10764,1.120933,1.102186,-0.5862454,-0.0968606,0.1451022,-2.94846,-2.557347,-2.335202,-0.07571662,0.3363565,2.158176,324.7024,33.3114,333.6255,-0.2463153,0.6891506,-0.1123751,0.397026,-1.465965,-2.175026,0.1845981,0.3026041,2.171671,332.8848,0.2424845,357.1518,
40.44,-0.02710682,-0.006065517,-0.01845293,0.01844946,0.01753049,-0.02434282,-0.01036597,0.3464598,1.60325,2.106269,1.12775,1.087123,-0.6142401,-0.1358306,0.1547961,-2.927202,-2.900301,-2.516544,-0.08262762,0.3326771,2.16029,323.2761,30.86804,338.6183,-0.3085551,0.6989774,-0.1164163,0.4382596,-1.613172,-2.417353,0.1796245,0.3124268,2.170199,332.618,359.1048,0.2904268,
54.511,-0.0228456,-0.007602445,-0.01868345,0.007349079,0.01176071,7.128212E-06,-0.01057161,0.346336,1.602992,2.108232,1.115332,1.070731,-0.6391126,-0.1777999,0.1569075,-2.79613,-3.315122,-2.691221,-0.0898737,0.3280044,2.16206,321.7796,28.2129,343.9552,-0.3627652,0.7092865,-0.1291315,0.6149712,-1.755578,-2.562147,0.1740441,0.3220703,2.167905,332.1248,358.0102,3.495172,
68.161,-0.01894477,-0.008143268,-0.01838919,0.004796799,0.004531919,0.02086059,-0.0107488,0.3462386,1.602761,2.112412,1.123457,1.006548,-0.6565797,-0.2286305,0.1581183,-2.56416,-3.691697,-2.837042,-0.09683421,0.3224918,2.164292,320.3544,25.36006,349.5154,-0.4200609,0.7166086,-0.1495971,0.8424764,-1.766595,-2.68641,0.1677321,0.3318693,2.165885,331.5029,356.6558,6.7354,
82.215,-0.01508493,-0.007597506,-0.01766876,0.008263473,0.002652695,0.03241017,-0.01089256,0.3461013,1.602497,2.096879,1.11799,0.9704061,-0.6580738,-0.2918246,0.1686973,-2.389,-3.912928,-2.882085,-0.1031729,0.3167047,2.16686,319.4503,22.35946,355.2023,-0.4800534,0.7098455,-0.1669164,1.009085,-1.709868,-2.825093,0.1608976,0.3405513,2.16315,330.9936,355.0362,10.08305,
96.12,-0.0113607,-0.006638958,-0.01632657,0.02004734,0.003813109,0.03763541,-0.01098073,0.345973,1.602268,2.060224,1.109104,0.9350535,-0.647484,-0.3595119,0.1811238,-2.204145,-4.028743,-2.883421,-0.1097435,0.3093864,2.168849,318.9335,19.31826,0.8414803,-0.5374252,0.6830155,-0.1682293,1.019222,-1.736405,-3.01043,0.1531271,0.3496406,2.161992,330.9593,353.3308,13.7108,
110.607,-0.008171325,-0.00506797,-0.01447922,0.03271226,0.00580094,0.03328456,-0.01113157,0.3458769,1.602055,2.014665,1.099893,0.9218119,-0.626279,-0.4241852,0.1879052,-1.967577,-4.004719,-2.865866,-0.1152961,0.3022271,2.171349,318.69,16.31641,6.158906,-0.5883386,0.6471642,-0.1645848,1.079538,-1.895684,-3.221336,0.1452522,0.3573647,2.159139,331.1066,351.6607,17.74745,
123.716,-0.005124178,-0.003259453,-0.01319872,0.03333504,0.0148563,0.02759209,-0.01112421,0.3458792,1.601904,1.994386,1.069218,0.9108223,-0.5957042,-0.4850117,0.1813587,-1.641474,-3.875576,-2.842935,-0.120804,0.2937887,2.172832,318.4823,13.43013,11.06026,-0.628506,0.6012898,-0.156814,1.208238,-2.271857,-3.439988,0.1361383,0.3656749,2.15781,331.5005,350.2919,22.30227,
137.739,-0.002774254,-0.002276446,-0.01165255,0.03120728,0.01386669,0.02540745,-0.01108688,0.3458869,1.60178,1.977495,1.063076,0.888123,-0.5633934,-0.5335478,0.1697335,-1.287368,-3.712054,-2.826861,-0.1253077,0.2857746,2.175209,318.2674,10.60679,15.71984,-0.6570823,0.5721391,-0.1778572,1.685274,-2.413265,-3.571401,0.128073,0.3721028,2.154152,331.2187,348.8297,27.07713,
151.777,-0.0004342828,-0.001766044,-0.01059558,0.03140365,0.01033464,0.02940057,-0.0109971,0.3459081,1.601655,1.953021,1.061764,0.8518116,-0.5205579,-0.5809019,0.1673579,-1.084156,-3.484179,-2.736548,-0.1294855,0.2768247,2.177091,318.4248,7.943172,20.00115,-0.6896313,0.5362126,-0.1987301,2.24439,-2.503168,-3.780205,0.1188682,0.3782333,2.15197,330.7794,347.1306,32.401,
165.675,0.001951703,-0.0007036353,-0.00961004,0.02947496,0.005746933,0.03228405,-0.01087764,0.3459562,1.601542,1.936215,1.06288,0.8247833,-0.4728969,-0.6266285,0.1680935,-0.9796171,-3.246188,-2.620568,-0.1329695,0.267551,2.178959,318.9016,5.431754,23.94234,-0.7191519,0.481011,-0.2002996,2.676997,-2.619277,-4.007049,0.1095345,0.3833078,2.149476,330.7128,345.456,38.08412,
179.764,0.003595753,0.001499408,-0.008050133,0.02850846,-0.001058967,0.02321763,-0.01078487,0.3460338,1.601469,1.914876,1.072589,0.8271004,-0.4190026,-0.6634667,0.1683939,-0.9360201,-3.030864,-2.431055,-0.1358218,0.2586229,2.180875,319.6768,3.299057,27.4228,-0.7384626,0.4124262,-0.1924699,2.992856,-2.626549,-4.182482,0.1003119,0.3874106,2.147482,330.8997,343.755,43.77746,
193.562,0.004691586,0.003819411,-0.006486117,0.02835558,-0.001297174,0.0125085,-0.01069045,0.3461471,1.60142,1.890198,1.072998,0.8327684,-0.36718,-0.6870609,0.1624497,-0.8556246,-2.870169,-2.25193,-0.1384145,0.2493431,2.182263,320.5159,1.459826,30.62543,-0.7451579,0.3460041,-0.1790327,3.181709,-2.577506,-4.283505,0.09122289,0.3909197,2.145596,331.4049,342.1839,49.30241,
207.227,0.004858804,0.005485374,-0.004500213,0.03373507,-0.003135841,0.01121451,-0.01062253,0.3462436,1.601399,1.854246,1.075307,0.8186006,-0.3249249,-0.6949167,0.1412934,-0.6526341,-2.656853,-2.193089,-0.1404933,0.2402425,2.183299,321.036,359.6034,33.68131,-0.7476598,0.2710463,-0.1668475,3.370069,-2.460185,-4.39711,0.08225351,0.3933097,2.143486,332.0452,340.591,54.89078,
221.155,0.005425943,0.006229886,-0.003063156,0.04093377,0.003772342,0.008406221,-0.01054654,0.3462855,1.601369,1.8063,1.059949,0.8147597,-0.2871658,-0.6946359,0.1204373,-0.48462,-2.440965,-2.112501,-0.1421103,0.2313248,2.184216,321.5271,357.9103,36.44918,-0.7417603,0.2011936,-0.1604315,3.531752,-2.24322,-4.489317,0.07365371,0.3949892,2.141642,332.6959,338.9471,60.42658,
235.232,0.005457158,0.007189984,-0.001476421,0.04211748,-0.001264278,0.004797778,-0.01048666,0.3463479,1.601365,1.775663,1.076186,0.8147263,-0.2438746,-0.6910445,0.1042308,-0.4289445,-2.237243,-1.955788,-0.143336,0.2226813,2.185044,322.218,356.5085,38.76541,-0.7244986,0.1427144,-0.1538797,3.648378,-1.969507,-4.509297,0.06549782,0.3963314,2.13988,333.3231,337.4206,65.76053,
249.214,0.005314063,0.008393856,-0.0003072294,0.04475875,-0.01252693,0.01355147,-0.01041807,0.3464964,1.601391,1.736968,1.107542,0.7786391,-0.1995348,-0.6801414,0.09057024,-0.3670709,-2.076879,-1.798138,-0.1440894,0.2142789,2.185808,322.9296,355.3128,40.88643,-0.6996843,0.09710096,-0.1528497,3.708544,-1.56513,-4.46347,0.05769255,0.3971575,2.138119,333.6421,335.8807,70.85905,
262.889,0.005616613,0.008700397,0.0004086489,0.05179932,-0.02785435,0.02195315,-0.01033296,0.3466266,1.601415,1.683564,1.156808,0.7450734,-0.1678677,-0.6659206,0.08016428,-0.3421166,-1.945444,-1.694881,-0.1448243,0.2062117,2.186268,323.7059,354.1218,42.91728,-0.6752782,0.06152701,-0.1507053,3.557635,-1.23102,-4.313528,0.05016631,0.3976045,2.136269,334.0982,334.4382,75.39381,
276.967,0.006056475,0.009020042,0.0006096325,0.05000851,-0.04044918,0.0178954,-0.01023941,0.3467765,1.60145,1.653896,1.203668,0.7454147,-0.1506505,-0.6520548,0.06815348,-0.3020191,-1.868718,-1.685901,-0.145664,0.1983594,2.186455,324.5001,352.8373,45.05548,-0.6533728,0.02590885,-0.1471351,3.247285,-1.03894,-4.107767,0.04292323,0.3978156,2.13459,334.8939,333.0664,79.30735,
