time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.516,-0.03556999,0.006105557,-0.01193432,0.06566581,0.02689246,-0.1194822,0.1893367,0.06570707,-0.2405871,358.4898,354.8702,0.7940059,-0.1617589,-0.6472554,0.06020512,0.2771334,-1.417162,-0.7572293,-0.06219937,-0.07495768,0.00529483,323.3123,316.0206,12.33495,-0.03331585,0.575514,-0.08843834,0.1438975,-0.7557083,-1.014603,0.4105725,-0.05773376,0.06814452,328.922,22.18751,356.42
13.192,-0.03427761,0.002491764,-0.01130543,0.06111744,0.0348407,-0.1305791,0.1888966,0.0655913,-0.2406954,358.4622,354.8327,0.9056288,-0.1346878,-0.6358912,0.05219355,0.1415587,-1.068259,-0.6637859,-0.06348231,-0.08254565,0.005665969,323.7943,316.1219,12.29986,-0.06165932,0.5457488,-0.08007734,-0.05734515,-0.878674,-1.01324,0.4093137,-0.05089267,0.06709926,328.5175,21.802,357.7676
26.357,-0.03444027,0.0003230618,-0.009944934,0.05919359,0.03002503,-0.08720992,0.1883586,0.06565163,-0.2407587,358.4103,354.826,0.859984,-0.1302057,-0.6213297,0.04123091,0.213728,-0.7608346,-0.7308081,-0.0647748,-0.09019069,0.005958259,324.3742,315.5636,12.63448,-0.08025398,0.5397257,-0.09196439,0.02570029,-1.097086,-1.051729,0.4079568,-0.04403219,0.06567323,327.5881,21.7263,359.0076
40.255,-0.03445989,0.0006348742,-0.007658212,0.06834861,0.02371658,-0.0393276,0.1879053,0.06578255,-0.2407735,358.3268,354.8192,0.8365077,-0.1325596,-0.6139306,0.03009888,0.3658742,-0.5575874,-0.8499976,-0.06586054,-0.09833394,0.006121069,325.0898,314.6603,13.24906,-0.1028559,0.5453871,-0.1130694,0.2373599,-1.182142,-1.118553,0.4060668,-0.03719756,0.06371547,326.3303,21.64928,0.002204585
54.3,-0.03325301,0.002949241,-0.005479525,0.0769888,0.02027158,-0.02758691,0.1875177,0.06588756,-0.240772,358.258,354.8045,0.8790006,-0.1332327,-0.6269313,0.0324713,0.487267,-0.6662179,-0.9962675,-0.06695586,-0.1068388,0.006427214,326.2783,314.0718,14.09407,-0.132361,0.5513971,-0.1309793,0.4189261,-0.9106608,-1.205716,0.4042473,-0.03039735,0.06224859,325.1166,21.08014,0.5403799
68.345,-0.03173913,0.004349597,-0.004114268,0.06701144,0.01728233,-0.04248987,0.1871478,0.06589907,-0.240824,358.2495,354.7888,0.9607188,-0.1298842,-0.6491331,0.0352736,0.6085234,-0.8173103,-1.116594,-0.06786132,-0.1156437,0.0067624,327.6387,313.5841,15.06622,-0.1685012,0.5417976,-0.1291402,0.2666306,-0.6125705,-1.260392,0.401671,-0.02378555,0.06054784,324.5051,19.96922,1.398748
81.939,-0.02928246,0.00301937,-0.003659835,0.03397711,0.01732082,-0.06770637,0.1868232,0.06583638,-0.2409095,358.3005,354.7664,1.04726,-0.1069426,-0.6815817,0.04650552,0.5883354,-1.048434,-1.151824,-0.06794681,-0.1248915,0.007149957,329.1044,313.6364,15.83659,-0.2150288,0.5247477,-0.1209834,-0.0203798,-0.4712931,-1.413796,0.398669,-0.01739845,0.05918052,324.1313,18.34592,2.915188
96.01,-0.02581619,-0.001027524,-0.003803617,0.001556006,0.01875953,-0.1070771,0.1866027,0.06563529,-0.2409727,358.3812,354.742,1.193428,-0.06619287,-0.6906067,0.05325884,0.3630469,-1.0432,-0.9062837,-0.06836178,-0.1336155,0.008186746,329.8221,314.1569,15.93808,-0.2594835,0.5114791,-0.1169936,-0.3023296,-0.5194871,-1.566001,0.395328,-0.01039197,0.05768531,323.8885,16.57665,4.930395
110.739,-0.02236892,-0.005952076,-0.003066019,-0.02346216,0.01718968,-0.1230099,0.1863988,0.06545683,-0.2409643,358.4526,354.7255,1.283716,-0.04130155,-0.6853447,0.05322225,0.2412596,-0.8728994,-0.7740117,-0.0679979,-0.1422762,0.008242328,330.3708,314.3036,15.99123,-0.2788507,0.5242049,-0.1483154,-0.06794818,-0.8164026,-1.630301,0.3921787,-0.003506146,0.05426939,322.7953,15.6398,6.730595
123.695,-0.02012264,-0.008278259,-0.00125306,-0.03137302,0.01398005,-0.09395446,0.1861482,0.06540444,-0.2408907,358.4738,354.7195,1.276544,-0.03442023,-0.6807043,0.05157698,0.2968747,-0.6755099,-0.776495,-0.06831788,-0.1511466,0.009459388,330.9795,313.9384,16.36695,-0.2711306,0.5575485,-0.2012907,0.5150958,-1.188538,-1.49639,0.3889753,0.004171349,0.05176143,320.9688,15.87363,7.918807
137.422,-0.01862338,-0.007382357,0.001357849,-0.02184458,0.01318053,-0.04945083,0.1858955,0.06542784,-0.240774,358.456,354.7119,1.233853,-0.03633612,-0.6906142,0.06504182,0.2684769,-0.6458563,-1.017161,-0.06812882,-0.1600492,0.0103525,332.2411,313.6173,16.58134,-0.263969,0.5859617,-0.2452763,1.000151,-1.362305,-1.321417,0.3853288,0.01112496,0.04770464,319.0569,16.40016,8.701859
151.484,-0.01696242,-0.003928182,0.004472399,-0.006502728,0.0133349,-0.01249711,0.1856558,0.06536961,-0.2407318,358.4434,354.7013,1.226674,-0.03434062,-0.7091353,0.0736022,0.3124372,-0.6640196,-1.194174,-0.06800607,-0.1694417,0.0113455,333.587,313.2949,16.95549,-0.27477,0.5865608,-0.2555332,1.015397,-1.279631,-1.17657,0.3812443,0.01834822,0.04531996,317.8791,16.35734,9.522233
165.286,-0.01443649,-0.00195949,0.006471692,-0.00416759,0.0178397,-0.008979402,0.1855076,0.06541421,-0.2405843,358.4411,354.6768,1.226376,-0.02900159,-0.7354079,0.07696883,0.403615,-0.7715229,-1.413575,-0.06756859,-0.1789537,0.01199458,335.2809,313.0259,17.47979,-0.3139293,0.5746924,-0.2587156,0.834481,-0.9771827,-1.343803,0.3771365,0.02516875,0.04193491,316.8772,15.04113,10.74414
179.597,-0.01135903,-0.002546141,0.007122547,-0.02519001,0.02242597,-0.02991057,0.1854146,0.06539091,-0.2404648,358.5219,354.6465,1.284854,-0.0065328,-0.7506133,0.07125358,0.4872201,-0.8738217,-1.392356,-0.06627563,-0.1885476,0.01226913,336.6576,313.0042,18.0928,-0.3499005,0.5585812,-0.2671216,0.7590678,-0.7912696,-1.479017,0.3724808,0.03145453,0.03906018,315.7388,13.66187,11.98493
