time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.508,0.004187386,0.001498576,0.004072799,-0.01495467,-0.005479714,0.01806106,-0.1584539,0.01551869,-0.3861147,352.1105,343.8031,5.221724,-0.05122241,0.03823094,-0.03913359,0.05162552,-0.2447922,-0.1406834,-0.3001648,0.04793527,-0.09066682,328.8368,31.02745,311.8075,-0.01176387,0.005360275,-0.005312557,-0.08074088,-0.103652,-0.1181259,-0.204182,-0.5248951,-0.06914881,1.772007,307.8297,329.8367,
13.112,0.002105934,0.002255401,0.004427381,-0.03580623,-0.004647852,0.02874433,-0.158474,0.01556946,-0.3860455,352.145,343.8189,5.1457,-0.07360739,0.0408549,-0.04386134,-0.02527308,-0.3019425,-0.2027403,-0.30171,0.04820998,-0.09134743,328.5287,30.91664,312.1669,0.01394738,0.02087327,0.007048008,-0.2398103,-0.1145536,-0.01356479,-0.2032775,-0.5244421,-0.06875846,1.504715,308.0322,329.4974,
26.431,-0.0002575939,0.003306777,0.004666602,-0.05495879,-0.00453349,0.04746044,-0.1585328,0.01564049,-0.3859748,352.1708,343.8419,5.05006,-0.09911735,0.03923441,-0.04916093,-0.0564639,-0.3410736,-0.2574602,-0.3035874,0.04834602,-0.09211561,328.1935,30.76817,312.5201,0.04523778,0.03006161,0.02725448,-0.389426,-0.1202345,0.01830147,-0.2019536,-0.5242044,-0.06783889,1.239902,308.2655,329.0427,
40.574,-0.002488541,0.004479636,0.004589653,-0.0644139,-0.01086004,0.06139405,-0.1586177,0.01572033,-0.3859119,352.1848,343.8835,4.965813,-0.1285012,0.03390521,-0.05594707,-0.01136606,-0.361078,-0.3150488,-0.3060385,0.04816046,-0.09323597,327.7833,30.56051,312.7757,0.08241563,0.03412427,0.05623756,-0.3569179,-0.1842675,0.01306172,-0.1998416,-0.5237911,-0.06648485,1.098671,308.5367,328.9044,
54.335,-0.004599345,0.00534973,0.004632246,-0.06072664,-0.02291234,0.06868243,-0.1587282,0.01579965,-0.3858453,352.1903,343.9376,4.901272,-0.1646349,0.02475208,-0.06596145,0.04382689,-0.4157945,-0.3778102,-0.3090842,0.0476865,-0.09432288,327.2578,30.32619,313.0408,0.1230582,0.04052395,0.0874957,-0.1326074,-0.3670618,-0.01308088,-0.1975308,-0.522889,-0.06446891,1.0202,308.9757,329.3083,
68.031,-0.00651178,0.006884491,0.004502456,-0.05099472,-0.03910816,0.06134963,-0.1588618,0.01591983,-0.3857843,352.2,343.9984,4.871712,-0.2060836,0.01129489,-0.07525526,0.05289555,-0.4488424,-0.4757069,-0.3123943,0.04716736,-0.09543028,326.7216,29.93571,313.4708,0.1735415,0.04968859,0.127628,0.04283965,-0.5266643,-0.06658103,-0.1933573,-0.5217523,-0.06206095,0.9967508,309.5167,329.8119,
82.196,-0.008634849,0.008162695,0.004875986,-0.02809932,-0.051169,0.06846707,-0.1590319,0.0160623,-0.3857071,352.1491,344.072,4.822388,-0.2533515,-0.004205431,-0.09189692,0.03117993,-0.589622,-0.5558255,-0.3173202,0.04564831,-0.0976031,325.9951,29.61282,314.0602,0.2399299,0.06625794,0.1785053,0.0623347,-0.6913817,-0.1230154,-0.1887621,-0.5204295,-0.058585,0.9260117,310.2563,330.1685,
95.906,-0.01077272,0.0081132,0.005172115,-0.01078035,-0.06507196,0.08547068,-0.1592348,0.01617513,-0.3856265,352.0963,344.1712,4.752012,-0.308118,-0.0248914,-0.1081653,-0.02656943,-0.7629293,-0.6699902,-0.3220391,0.04430543,-0.09864157,325.1406,29.17718,314.9205,0.3071303,0.07251523,0.2322764,-0.01566027,-0.675883,-0.2976861,-0.1831623,-0.5183947,-0.05418635,1.156833,310.9465,330.2155,
110.283,-0.0128291,0.007004302,0.003854105,-0.02177474,-0.08567496,0.0970483,-0.1594705,0.01623903,-0.3856051,352.113,344.2973,4.656795,-0.3681703,-0.05498246,-0.1174219,-0.1806127,-0.9170552,-0.8334059,-0.3282822,0.04170653,-0.100837,324.3069,28.50321,316.2387,0.3899491,0.1177278,0.2803291,-0.2442591,-0.680842,-0.1279527,-0.1752615,-0.5164412,-0.04986271,0.7254871,311.5174,329.9284,
123.48,-0.01486086,0.005632409,0.001111561,-0.05867102,-0.113321,0.09733547,-0.1597336,0.01627482,-0.3856582,352.1887,344.4503,4.553185,-0.4329687,-0.09577154,-0.1269085,-0.4002395,-1.198492,-0.9796175,-0.3352161,0.03831751,-0.1024554,323.339,27.7884,318.0619,0.4736575,0.155709,0.327089,-0.2169428,-0.8442781,-0.06426323,-0.1678064,-0.5136725,-0.0443877,0.3612699,312.3367,330.1339,
137.526,-0.01715835,0.004222455,-0.001698985,-0.0882556,-0.1397857,0.09978142,-0.1600324,0.01629507,-0.3857531,352.2559,344.6191,4.439703,-0.4803314,-0.1346206,-0.1252529,-0.5705466,-1.365229,-1.120659,-0.3423476,0.03436173,-0.1041705,322.4731,26.83638,320.1396,0.5474023,0.1879829,0.3640022,-0.06463941,-1.002698,-0.06740347,-0.1587872,-0.5101066,-0.03910224,0.1135349,313.2147,330.6904,
151.469,-0.01959188,0.003092371,-0.004126864,-0.09869408,-0.1611993,0.1043911,-0.1604434,0.01627943,-0.385952,352.2939,344.7997,4.337793,-0.544555,-0.206136,-0.1170787,-0.780144,-1.585276,-1.296951,-0.3501785,0.0286865,-0.1049021,321.5963,25.60342,322.8235,0.6222457,0.2268548,0.4129217,0.2191194,-1.164663,-0.1290323,-0.1486555,-0.5061215,-0.03236482,359.9849,314.1301,331.6674,
165.018,-0.02209249,0.00132659,-0.006598405,-0.09758782,-0.1876507,0.1126566,-0.1608033,0.01621599,-0.3861053,352.3236,345.0148,4.232575,-0.5967717,-0.2960534,-0.09792562,-0.9206403,-1.638205,-1.434036,-0.3586035,0.02130011,-0.1058966,320.9946,24.16895,325.5172,0.7023541,0.2588181,0.4702756,0.4842758,-1.448947,-0.3734021,-0.1375911,-0.5012056,-0.02540965,0.1824833,315.5603,332.9773,
