time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.494,-0.02490968,0.1688438,0.06961072,0.003520187,0.01989276,0.100854,-0.1721648,0.3485665,1.94647,354.0731,10.41577,1.578425,-0.06047452,0.2173466,0.07445759,0.5194787,1.225929,-0.9712311,-0.409209,-0.2554827,2.062504,12.18148,354.7117,10.54838,0.09898537,0.0005823422,-0.0884181,-0.1530434,0.2384948,0.0648797,-0.09704651,-0.09726218,2.073166,354.9798,320.7349,337.4362,
13.542,-0.04332975,0.3108536,0.08922326,-0.02917422,-0.06761657,0.104733,-0.1731926,0.3547593,1.947861,354.2645,10.60514,1.507827,0.03694581,0.2470297,0.1313486,-0.05288824,1.210232,-0.9769897,-0.4051181,-0.2506648,2.066681,13.05481,354.0263,11.43731,0.1668919,-0.1445395,-0.04476557,-1.095053,0.3151344,-0.6661423,-0.09376262,-0.1017684,2.073535,356.9939,321.6742,335.6089,
26.942,-0.0646613,0.4094614,0.09691481,-0.09904673,-0.1327854,0.2460338,-0.1747294,0.3618725,1.949045,354.626,10.85449,1.145127,0.1483025,0.2737766,0.1900267,-0.5902657,0.977218,-1.027893,-0.3996462,-0.2441488,2.071207,14.421,353.7306,12.18924,0.2464267,-0.2935794,-0.01160777,-1.943785,0.2210096,-1.376615,-0.08927067,-0.1068556,2.072595,359.6547,323.3083,333.7438,
40.607,-0.08690897,0.4804766,0.09588306,-0.1889823,-0.201087,0.3550282,-0.1764691,0.3696442,1.950134,355.0341,11.14945,0.9253626,0.286824,0.3523419,0.2437505,-0.6453587,0.5517901,-1.302748,-0.392727,-0.2354424,2.075618,15.36362,354.4174,13.44753,0.3335381,-0.3900875,-0.02847734,-2.419151,-0.05577877,-1.646923,-0.08371281,-0.1121431,2.069552,1.79947,325.2552,332.282,
54.649,-0.106404,0.5293291,0.08970153,-0.2235658,-0.2654677,0.3177423,-0.1783301,0.3773181,1.951061,355.2124,11.43736,0.9409038,0.434352,0.4922311,0.2893912,-0.2159826,0.07004343,-1.55289,-0.3843965,-0.2244587,2.08066,15.37387,355.9135,14.96112,0.4050063,-0.4688603,-0.08235367,-2.573989,-0.3210235,-1.848652,-0.07830302,-0.1182445,2.066244,3.810724,327.2475,331.4011,
68.731,-0.1236913,0.5555936,0.08301077,-0.1520693,-0.313755,0.1996027,-0.1804862,0.3848767,1.951974,355.169,11.73438,0.9737106,0.5723461,0.6762283,0.3248324,0.5339906,-0.3758904,-1.572516,-0.3748292,-0.2110181,2.085617,14.27226,357.7991,16.1808,0.4641097,-0.5547593,-0.159856,-2.851695,-0.1808955,-1.974728,-0.07157411,-0.1265724,2.060949,6.250256,328.7851,330.1489,
82.485,-0.1392052,0.5592386,0.0774292,-0.01388448,-0.3243886,0.07934272,-0.1827565,0.3920048,1.952921,354.9374,11.98144,1.002383,0.6938654,0.87232,0.3442247,1.441663,-0.7352689,-1.41267,-0.3640545,-0.1960761,2.08959,12.15763,359.829,16.91693,0.4989995,-0.6427912,-0.2442677,-3.011004,0.1165646,-2.16343,-0.06604335,-0.1347869,2.056108,9.117383,330.0303,329.0879,
96.245,-0.1528117,0.5397079,0.07197427,0.1471789,-0.3019711,-0.01157392,-0.1851434,0.3983361,1.953779,354.5713,12.17398,0.9857121,0.8081595,1.032136,0.3495419,2.231219,-1.129874,-1.445003,-0.3525338,-0.181093,2.095023,9.65364,2.378235,17.66677,0.5364881,-0.7139887,-0.3293824,-3.009143,0.2175233,-2.437023,-0.05864359,-0.1434507,2.048727,12.09901,331.5623,328.6939,
111.172,-0.1642393,0.4979583,0.0663212,0.2762244,-0.2730425,-0.05669647,-0.1876027,0.4036509,1.954568,354.2058,12.35881,0.9180208,0.8996509,1.128787,0.3502575,2.639584,-1.504101,-1.572962,-0.3408269,-0.1660381,2.100058,7.381834,5.156243,18.39353,0.5812511,-0.7495662,-0.4143597,-2.903758,0.09852345,-2.488546,-0.05166696,-0.1520457,2.041234,14.54226,333.3444,328.5851,
124.221,-0.1721872,0.4372231,0.06019983,0.3456897,-0.2431991,-0.06563151,-0.1900627,0.4077742,1.955282,353.891,12.53579,0.8319987,0.949272,1.173766,0.3508457,2.731529,-1.668669,-1.676514,-0.3293281,-0.1512488,2.105083,5.403224,7.647058,19.09051,0.6187959,-0.7683243,-0.4913361,-2.842446,-0.0166094,-2.280336,-0.04332465,-0.1613828,2.03237,16.52788,334.9713,328.2253,
137.846,-0.1770034,0.3617796,0.05457282,0.3682809,-0.213441,-0.05469303,-0.1925073,0.4105892,1.955891,353.6107,12.67326,0.7375878,0.9547169,1.182873,0.356788,2.536687,-1.633973,-1.779009,-0.3183377,-0.136473,2.1113,3.841815,9.687087,19.94406,0.6446047,-0.7966104,-0.5575694,-2.979839,-0.02495715,-1.857127,-0.0354206,-0.1717507,2.02385,18.41923,336.2387,327.1573,
152.169,-0.180199,0.2724209,0.04804079,0.3855282,-0.1896584,-0.03813318,-0.1950514,0.4117905,1.956345,353.2984,12.8256,0.6094736,0.9258993,1.181853,0.3605659,2.286309,-1.441947,-1.913282,-0.3081336,-0.1216166,2.115958,2.335499,11.27078,21.00913,0.6559697,-0.8290334,-0.601961,-3.171095,0.04144128,-1.494896,-0.027518,-0.1824899,2.01529,20.47738,337.3063,325.8098,
165.981,-0.1817959,0.1649498,0.0395063,0.4519982,-0.1664032,-0.02676583,-0.1975904,0.4109174,1.956658,352.8389,12.96649,0.4091396,0.8853629,1.180602,0.3502813,2.136956,-1.287376,-2.27434,-0.2984271,-0.1073399,2.120771,0.5177941,12.86251,22.58299,0.6724924,-0.8736482,-0.6401754,-3.270658,0.05008483,-1.489133,-0.01955031,-0.1936038,2.006099,22.76755,338.8301,325.0506,
179.704,-0.1821657,0.03878998,0.02945938,0.5376479,-0.1489993,-0.01060701,-0.2001037,0.4078856,1.956782,352.36,13.11395,0.1655738,0.8415284,1.166531,0.3294378,1.988787,-1.268364,-2.710571,-0.2893606,-0.09382978,2.125451,358.5678,14.6027,24.53733,0.6797104,-0.895384,-0.6554481,-3.23933,0.1217461,-1.777251,-0.01244886,-0.203642,1.997714,25.32384,340.8304,325.2843,
193.838,-0.180894,-0.1015095,0.01777139,0.586251,-0.1317322,0.03396166,-0.2025505,0.4027563,1.956667,351.963,13.2533,359.8495,0.7915454,1.130405,0.3074216,1.740574,-1.274033,-2.973623,-0.2808912,-0.08107781,2.129622,356.8231,16.17906,26.5289,0.6611338,-0.8886761,-0.6589862,-3.142831,0.2499836,-1.852699,-0.006120321,-0.2130391,1.989314,27.72655,342.5926,325.6353,
207.74,-0.1777282,-0.2439101,0.00599234,0.529482,-0.1269864,0.1181314,-0.2049482,0.3961239,1.95649,351.8532,13.44424,359.5316,0.7335751,1.069357,0.280023,1.40941,-1.319066,-3.010953,-0.2731471,-0.06916273,2.133165,355.4869,17.60561,28.39995,0.5732812,-0.8075544,-0.6441152,-2.420239,0.4436979,-1.734713,-0.002538649,-0.219965,1.98141,29.10582,343.5242,326.5386,
221.542,-0.1714286,-0.3660311,-0.004586137,0.33752,-0.125174,0.2227751,-0.2070959,0.3890455,1.956235,352.076,13.60862,359.2862,0.683362,1.016083,0.2357417,1.286969,-1.359844,-2.968613,-0.2660232,-0.0579544,2.135494,354.0036,19.08232,29.9885,0.4530972,-0.6658186,-0.6060911,-1.067488,0.6470399,-1.767354,-0.0006294604,-0.22475,1.973951,29.13195,344.2053,328.8181,
235.365,-0.1621992,-0.4510363,-0.007785553,0.1275153,-0.1175971,0.2893279,-0.2090344,0.3818845,1.956306,352.3449,13.73602,359.1256,0.6356161,0.9629931,0.1685562,1.391111,-1.375604,-2.901604,-0.259501,-0.04789523,2.136717,352.2001,20.69873,31.19291,0.3269638,-0.5142767,-0.5456035,0.2460622,0.8309366,-1.768466,0.000678991,-0.2288223,1.968297,28.32707,344.65,331.6679,
249.561,-0.1499609,-0.4982195,-0.003257166,-0.01023887,-0.0984065,0.2841175,-0.2107323,0.3749051,1.956626,352.5579,13.80908,359.0435,0.5914479,0.8978459,0.09056803,1.59893,-1.380547,-2.729544,-0.2536063,-0.03908636,2.137028,350.3094,22.4828,31.86667,0.2176764,-0.4113523,-0.4730845,0.7867409,0.7916403,-1.381595,0.001521729,-0.2333317,1.963632,27.60692,344.6331,333.1796,
263.485,-0.1346346,-0.5099518,0.004984221,-0.09219342,-0.04752421,0.2399921,-0.212114,0.3684325,1.956954,352.7457,13.76556,359.0178,0.5458252,0.820067,0.009503379,1.837762,-1.36052,-2.495763,-0.2485881,-0.03159355,2.136299,348.4559,24.40071,32.03563,0.1404196,-0.3600206,-0.401003,0.7697046,0.6715166,-0.9510387,0.001831915,-0.2377999,1.960413,27.33382,344.4492,333.7214,
277.159,-0.1178869,-0.502292,0.01277223,-0.1136196,0.01653498,0.1525751,-0.2132454,0.3618822,1.95738,352.8101,13.63876,359.07,0.4994892,0.7453629,-0.06808403,2.08816,-1.330858,-2.352748,-0.2444715,-0.02533654,2.134732,346.4706,26.47235,31.87976,0.07161168,-0.3188774,-0.3020219,0.5024083,0.5402496,-0.6979406,0.001034138,-0.241029,1.959421,27.48949,344.4497,333.9247,
291.118,-0.1022436,-0.4880576,0.0200639,-0.09232312,0.0806227,0.1328698,-0.2142735,0.3554409,1.957801,352.8889,13.52206,358.9363,0.43098,0.6481238,-0.1503989,2.31005,-1.220242,-2.262515,-0.2417208,-0.02105908,2.132535,344.3553,28.53893,31.35572,0.01634184,-0.2632425,-0.186479,0.284893,0.3261041,-0.6621032,-0.0007849894,-0.2424237,1.960136,27.66898,344.9462,334.2665,
305.16,-0.08757363,-0.4671631,0.02454841,-0.06789844,0.1389494,0.2980442,-0.2151412,0.3497632,1.958171,353.193,13.4776,358.3807,0.3500828,0.5452911,-0.2089963,2.382724,-0.9027774,-2.150817,-0.2396682,-0.01815649,2.12989,342.2593,30.08456,30.53036,-0.05146405,-0.1765632,-0.05885737,0.253948,-0.01751643,-0.4558382,-0.003835649,-0.2424344,1.962561,27.2767,345.3129,334.1759,
318.795,-0.06750998,-0.4226761,0.02628675,-0.195325,0.1545265,0.5381002,-0.2155641,0.3459776,1.958483,354.0065,13.51092,357.9259,0.2816779,0.4438114,-0.2508232,2.454414,-0.6169427,-2.097163,-0.2379624,-0.01682392,2.126996,340.0882,31.55891,29.43928,-0.125706,-0.0759804,0.06529438,0.2138027,-0.2743697,-0.2180056,-0.007604193,-0.2408383,1.966402,26.82348,345.4933,333.8015,
