time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.478,0.06689654,-0.3179017,-0.0059261,0.04460583,0.01206873,-0.1040726,0.08514188,0.3980933,0.07286393,353.8016,1.460763,359.9555,-0.08048046,-0.5840306,-0.3130897,-0.9459431,0.6914114,-0.259345,-0.03331204,-0.09858949,0.1378366,15.34714,16.30355,10.60232,-0.4931624,0.1222395,0.5160686,1.192123,1.663907,0.8676573,0.1984124,-0.100238,0.152393,18.62228,357.1717,9.422071
13.105,0.06261311,-0.3646975,-0.006563176,0.01661685,0.05249971,-0.05293524,0.08580589,0.3926721,0.07275712,353.8227,1.36883,359.8855,-0.147135,-0.7024614,-0.3436615,-1.291549,0.9409891,-0.1501967,-0.03608788,-0.1100021,0.1321581,16.38095,15.33295,11.63356,-0.5541375,0.1858755,0.5611869,1.450712,1.834549,1.137182,0.1910784,-0.09729449,0.160854,16.66146,355.2811,8.827839
26.019,0.05803586,-0.3869413,-0.006888415,0.05342379,0.1018316,-0.03988256,0.08644995,0.3874162,0.07266259,353.6753,1.202935,359.9027,-0.2021307,-0.7901322,-0.3745316,-1.510385,1.07444,0.1248084,-0.03906823,-0.1216164,0.1262555,17.65836,14.13602,12.20241,-0.5964875,0.2615401,0.5875925,1.79998,2.022712,1.29925,0.1836462,-0.09373792,0.1690866,14.18853,353.43,8.417774
39.727,0.0546802,-0.3921672,-0.006773325,0.1289538,0.1513299,-0.1502074,0.08720762,0.3822893,0.07261163,353.4218,0.9349227,0.2513597,-0.2665271,-0.8724174,-0.4174988,-1.678874,1.135755,0.6485702,-0.04251382,-0.1333871,0.1197042,19.33377,12.47685,12.00009,-0.6229363,0.3436406,0.6009433,2.154108,2.179806,1.307945,0.1763251,-0.08950517,0.1773634,11.40452,351.7564,8.344403
53.836,0.05253318,-0.3857361,-0.007306212,0.1560569,0.1851518,-0.3077038,0.08797562,0.3772641,0.07247388,353.2917,0.642603,0.7236306,-0.3055455,-0.897055,-0.4506904,-1.726931,1.119248,0.9504675,-0.04614609,-0.1441201,0.1126131,20.8143,10.92791,11.70162,-0.6267189,0.4050182,0.5865101,2.360165,2.297738,1.135348,0.16944,-0.08494599,0.1840653,8.781148,350.2746,8.737863
67.921,0.05006455,-0.3708307,-0.01016451,0.05299899,0.201014,-0.3711475,0.0885784,0.3727469,0.07217287,353.4997,0.4185228,0.9921866,-0.3161117,-0.8944097,-0.4742852,-1.847373,0.9764318,1.052574,-0.04919175,-0.1544442,0.1061776,22.47063,9.722008,11.55192,-0.6178309,0.4399471,0.5397817,2.364028,2.415348,0.8888815,0.1626671,-0.08039621,0.1904022,6.554698,348.7375,9.432805
81.698,0.04572129,-0.3454914,-0.01464755,-0.135421,0.1841687,-0.2986815,0.08903125,0.3690225,0.0718146,353.9179,0.3046431,1.056546,-0.2940886,-0.8685126,-0.4956139,-2.122833,0.5481622,1.073633,-0.05134616,-0.1631406,0.1003411,24.7295,9.179469,11.39677,-0.6061759,0.4573962,0.4679666,2.175903,2.586306,0.8269212,0.1568673,-0.07544677,0.1942922,4.634649,346.7914,9.868838
95.689,0.03864729,-0.3009005,-0.0192976,-0.3350472,0.1415274,-0.1774213,0.08927011,0.3667043,0.07145502,354.4555,0.2727976,1.014994,-0.2459656,-0.7898336,-0.5069801,-2.122137,-0.001772923,0.9878446,-0.05332299,-0.1690651,0.09356105,26.71042,9.309934,11.05132,-0.5804433,0.442773,0.391316,1.761708,2.658848,0.7901765,0.1515594,-0.07195205,0.1991618,3.371714,344.7504,10.0324
109.91,0.02925302,-0.2316885,-0.02240691,-0.4643281,0.08655562,-0.07933476,0.08937614,0.3660484,0.07113284,354.9456,0.2827567,0.9812784,-0.1954566,-0.6649941,-0.5021718,-1.858791,-0.5295497,0.9606777,-0.0544195,-0.1732502,0.08853537,28.21482,9.627825,10.18229,-0.5315588,0.3857265,0.3316669,1.235921,2.439663,0.3270047,0.1474752,-0.06845707,0.2021717,3.192742,343.3214,10.76891
123.327,0.02042909,-0.1405385,-0.02466373,-0.5137611,0.03155102,-0.07241782,0.08949699,0.3669726,0.07078848,355.381,0.3023895,1.121207,-0.1540159,-0.4818929,-0.4725308,-1.322021,-0.8152533,0.9260965,-0.05568377,-0.1742207,0.08330183,28.83705,9.785157,9.061399,-0.4162039,0.3678459,0.2712746,1.406575,1.860062,-0.02714163,0.1461727,-0.06481744,0.2048411,2.192547,343.1186,11.99158
137.214,0.01228171,-0.03702401,-0.02384038,-0.5143255,-0.03354657,-0.128679,0.08942533,0.3692516,0.07062446,355.7563,0.389286,1.328418,-0.1234649,-0.3252452,-0.4274701,-1.093211,-0.9193404,0.8174805,-0.05683888,-0.1734407,0.07884271,29.6308,9.924998,8.303742,-0.2515878,0.3325666,0.2193604,1.458641,0.8215417,-0.5876079,0.1455413,-0.06111041,0.2052317,1.88774,344.5091,13.66306
151.005,0.001540158,0.07015152,-0.01861226,-0.458924,-0.08077373,-0.1168766,0.08905114,0.372942,0.07062775,356.0009,0.496641,1.335479,-0.09392656,-0.1742316,-0.369006,-0.9503813,-0.9151732,0.6337902,-0.05742948,-0.1719326,0.07628848,30.34507,10.20058,7.901973,-0.1293793,0.2919707,0.161763,0.9440678,0.1220342,-0.7307462,0.1456537,-0.05728723,0.2061236,2.470662,345.516,14.25265
164.752,-0.01278786,0.1755532,-0.01028433,-0.3460447,-0.09589686,-0.04359158,0.08843042,0.377903,0.07078769,356.0725,0.5822389,1.260844,-0.06000726,-0.0320241,-0.3006955,-0.8472436,-0.9451203,0.4420335,-0.0576878,-0.1680695,0.07429932,31.02596,10.67031,7.599741,-0.03257383,0.277798,0.08127631,0.3710801,-0.2437917,-0.4562948,0.1471525,-0.05302016,0.2044349,3.07736,346.1158,13.87022
178.833,-0.02902602,0.2722654,-0.0002768422,-0.1914382,-0.08632305,0.005249364,0.08759999,0.3837763,0.07108829,355.9836,0.6340495,1.21105,-0.02693426,0.105718,-0.2278603,-0.6349569,-0.9184545,0.1963651,-0.05779713,-0.1631858,0.0734086,31.2797,11.32808,7.507039,0.04263136,0.2664081,-0.006818176,-0.1967322,-0.4431545,-0.1481468,0.1490331,-0.04920192,0.2024454,3.900515,346.473,13.01449
192.811,-0.04500756,0.3523349,0.008956908,-0.03526971,-0.06579088,0.02308821,0.0866307,0.3900506,0.07142214,355.7853,0.6588759,1.183907,-6.923545e-05,0.2198381,-0.1535095,-0.5113845,-0.8315809,-0.04511475,-0.05778946,-0.1574946,0.07354597,31.47614,12.08592,7.688922,0.1073526,0.2465062,-0.08852274,-0.5972428,-0.6275809,-0.008403685,0.1515591,-0.04575899,0.1992479,4.882628,346.9256,12.23044
206.756,-0.05955053,0.410511,0.01530592,0.08542632,-0.04148046,0.03358152,0.08547725,0.3964826,0.0717176,355.5656,0.6646699,1.139755,0.01778403,0.308595,-0.07783545,-0.4394266,-0.6299676,-0.2706271,-0.05777445,-0.1514247,0.07470049,31.56579,12.82071,8.222894,0.1660546,0.2118391,-0.1589427,-0.805644,-0.8475593,-0.09495538,0.1543541,-0.043198,0.1955971,5.99108,347.6637,11.84836
220.096,-0.07179071,0.4453697,0.01819813,0.1609349,-0.01333586,0.0164162,0.08425421,0.402824,0.0719096,355.3592,0.6318525,1.169232,0.02967559,0.3610184,-0.01321328,-0.4426548,-0.4348316,-0.4503359,-0.05765055,-0.1454616,0.07658266,31.68996,13.57441,8.978277,0.2149099,0.1649712,-0.2110158,-0.920406,-1.068262,-0.2522604,0.1576252,-0.04156154,0.1914302,7.19438,348.6327,11.6922
234.333,-0.08157754,0.4559065,0.01738941,0.2062605,0.01729627,-0.01844562,0.08298475,0.408623,0.07202046,355.1451,0.5629358,1.237347,0.04181681,0.407654,0.07505124,-0.3559374,-0.2822772,-0.5744754,-0.05736269,-0.1391898,0.0801346,31.59226,14.27586,9.70222,0.2785014,0.07943541,-0.272525,-1.045234,-1.37117,-0.4796317,0.1617402,-0.04182071,0.1862102,8.678196,349.9968,11.72521
