time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.495,-0.002328026,0.2516378,0.05590829,0.353617,0.1782128,0.1228503,-0.1080093,0.3369995,0.1119993,347.9593,358.0742,358.175,-0.1279917,-0.5954362,-0.7344509,-1.128424,1.685816,-2.002977,-0.2767729,-0.144009,0.2923032,18.35501,336.7971,6.755514,-0.6172392,0.6631775,0.731209,1.69982,0.7047068,1.242569,0.03765615,-0.2187328,0.2777681,24.84048,20.90506,1.90225,
12.919,0.0005384311,0.1694005,0.05211295,0.624506,0.1312706,0.1064442,-0.1079886,0.3371379,0.1126969,347.083,358.0246,358.1347,-0.1397311,-0.6431458,-0.7792369,-1.048029,1.874991,-1.838183,-0.2779664,-0.1530092,0.2816702,19.80448,335.562,7.668466,-0.6176082,0.6404309,0.7314259,1.568979,0.8693876,1.100367,0.03040062,-0.211216,0.2873706,24.20512,19.3417,1.077847,
26.627,0.002031718,0.08637961,0.04832172,0.8251465,0.1009038,0.1062701,-0.1080084,0.336038,0.1132929,346.1965,357.9723,358.1002,-0.136894,-0.7034612,-0.8104244,-1.313418,1.832989,-1.538416,-0.2785843,-0.1626733,0.2711955,21.42908,334.1148,7.57744,-0.614719,0.6219662,0.7272988,1.604555,1.090358,0.8462514,0.02316017,-0.2038851,0.2965401,23.10295,17.79275,0.4853782,
40.485,0.002216389,-0.01099368,0.04426182,0.9115031,0.08368858,0.1008611,-0.1080892,0.333494,0.1138518,345.4771,357.9088,358.0769,-0.124162,-0.7500466,-0.8247684,-1.591965,1.648434,-1.300242,-0.279223,-0.172315,0.2607738,23.10459,332.7368,7.005266,-0.606688,0.6156375,0.7180219,1.87526,1.161643,0.7025098,0.01632695,-0.1967343,0.3051538,21.60449,16.15193,359.5022,
54.271,0.001294845,-0.111919,0.03806105,0.8165801,0.08761659,0.0685262,-0.1081409,0.3295027,0.1141531,345.0846,357.8063,358.1067,-0.1047001,-0.7850637,-0.8262199,-1.679669,1.343354,-1.131828,-0.2800629,-0.1824838,0.2504339,24.58066,331.7442,6.339445,-0.5893046,0.6164442,0.6957719,2.250802,1.099804,0.6317865,0.01008765,-0.1900475,0.3135006,19.75242,14.55969,358.2089,
68.38,0.0003409572,-0.2131721,0.0275149,0.5504473,0.09749128,0.0004244359,-0.1081204,0.3241803,0.1141112,345.1573,357.6561,358.1999,-0.09689708,-0.7933857,-0.8230421,-1.593197,1.067613,-0.9868301,-0.281291,-0.1919666,0.2395751,25.75965,331.0201,5.811824,-0.5697612,0.6129436,0.6601624,2.616966,1.060744,0.6615935,0.004014578,-0.1834992,0.3202579,17.66495,12.8562,356.7477,
82.207,0.0001846917,-0.3081435,0.01307398,0.09872051,0.1114876,-0.1085667,-0.1081347,0.3178129,0.1139259,345.8139,357.477,358.3799,-0.1084071,-0.7738473,-0.8248732,-1.381726,1.004652,-0.7818751,-0.2831065,-0.2012354,0.2288762,26.53803,330.1678,5.566459,-0.5472791,0.5942335,0.6153449,2.80167,1.104308,0.5670778,-0.001602597,-0.1785502,0.3272619,15.49815,11.27272,355.7033,
95.845,0.0003326714,-0.3894588,-0.003074484,-0.4827365,0.1177148,-0.2442891,-0.1081791,0.3109607,0.1134551,347.1292,357.2824,358.6433,-0.1382548,-0.7329009,-0.8178416,-1.285593,1.021152,-0.4854356,-0.2850714,-0.2091887,0.2184743,27.0683,328.9353,5.092764,-0.5160017,0.5494051,0.5756321,2.597271,1.165894,0.3211192,-0.006876926,-0.1737941,0.3346358,13.80525,10.06539,355.4175,
110.672,-0.0001189669,-0.456675,-0.01816329,-1.091381,0.1224642,-0.3734503,-0.1082408,0.3037193,0.1129422,348.8123,357.0904,358.9193,-0.167424,-0.6841257,-0.799045,-1.180445,1.087095,-0.208744,-0.2871093,-0.2167327,0.2085922,27.33612,327.5539,4.677762,-0.4743233,0.5063885,0.5317987,2.349404,1.154377,-0.04572449,-0.01160752,-0.1686607,0.3395287,12.16827,9.240962,355.6426,
124.056,-0.001075,-0.4996297,-0.02937085,-1.47112,0.1141913,-0.4398031,-0.1083119,0.2962989,0.1123657,350.3345,356.964,359.126,-0.1885346,-0.6310924,-0.7575272,-1.110209,1.096384,-0.1192154,-0.2896215,-0.2238829,0.2011948,27.76628,326.3195,4.319711,-0.4292455,0.4589299,0.4820135,2.070809,1.101301,-0.388513,-0.01598494,-0.1648902,0.3452442,10.71632,8.650878,356.164,
137.725,-0.003338693,-0.5199128,-0.0344435,-1.593405,0.1010169,-0.3973507,-0.1084495,0.2893844,0.1120138,351.6594,356.9137,359.1719,-0.1928456,-0.5604947,-0.6912562,-1.00713,0.9181693,-0.0890308,-0.2916394,-0.2284816,0.1933935,28.1477,325.5213,3.910813,-0.3933488,0.4377185,0.43986,1.923346,1.063582,-0.5177153,-0.01933551,-0.16079,0.3501361,9.329956,7.928923,356.515,
151.287,-0.004529404,-0.5067523,-0.03540349,-1.602018,0.09903732,-0.3030696,-0.1084974,0.2837303,0.11149,352.8999,356.8661,359.1363,-0.1922439,-0.4720692,-0.6112843,-0.8628929,0.7767369,-0.03757951,-0.2939956,-0.2324429,0.1881938,28.35916,324.8599,3.611824,-0.3068933,0.4104176,0.3746437,1.708035,0.6067417,-0.6321608,-0.02089279,-0.1568416,0.352752,8.133355,8.197858,356.7927,
165.351,-0.003866077,-0.451633,-0.03834902,-1.563519,0.08115626,-0.2640782,-0.1085012,0.280079,0.1109233,354.089,356.8149,359.231,-0.1899783,-0.3690787,-0.5246317,-0.734697,0.6969238,0.01795212,-0.295929,-0.2342235,0.1831256,28.50807,324.2072,3.39104,-0.2165011,0.3865499,0.2924361,1.648941,0.0927338,-0.3492148,-0.02228879,-0.1530479,0.35399,6.999021,8.669902,356.1259,
179.304,-0.004390216,-0.3596648,-0.03159211,-1.349736,0.04506719,-0.2902682,-0.108665,0.2780604,0.1111488,354.702,356.7874,359.447,-0.172903,-0.2586447,-0.4214422,-0.4127205,0.5947151,0.05641302,-0.2976001,-0.235138,0.1805413,28.43701,324.0481,3.650835,-0.1461256,0.3617165,0.190064,1.570477,-0.1674609,-0.01243609,-0.02287241,-0.1498419,0.3537811,6.045798,8.875789,355.2093,
193.193,-0.009039644,-0.2416518,-0.01111938,-0.9527546,0.01938605,-0.2625945,-0.1090431,0.2781973,0.1117458,354.865,356.7837,359.5242,-0.1437546,-0.1620799,-0.3152934,-0.02669937,0.4369765,0.03934709,-0.2987997,-0.2348224,0.1789311,28.24467,324.4267,4.270521,-0.09521743,0.3128978,0.08857448,1.320933,-0.3001063,0.2804984,-0.02334784,-0.1477607,0.3524596,5.561446,9.048875,354.3163,
207.223,-0.01794857,-0.101988,0.01021378,-0.5512048,0.02661357,-0.125293,-0.1096313,0.2806239,0.1123006,354.7858,356.7622,359.3753,-0.0978536,-0.03994216,-0.1756593,0.4547511,0.1972284,0.06886785,-0.2992149,-0.2324626,0.1798672,27.6895,325.4137,5.238716,-0.06249946,0.2413146,-0.01184774,0.9978893,-0.2451693,0.6038312,-0.02341214,-0.1466425,0.3497818,5.539711,8.906489,353.2926,
221.282,-0.03092855,0.04242343,0.03197834,-0.1623531,0.04517299,0.03566264,-0.1105185,0.2844223,0.1133487,354.3342,356.7386,359.1753,-0.04278678,0.08504403,-0.02504212,0.8606893,-0.1894355,0.1881118,-0.2988299,-0.2290941,0.1827324,26.72022,326.7662,6.034442,-0.03638695,0.1562768,-0.1094643,0.6318795,-0.1298525,0.8564961,-0.02300223,-0.1466345,0.3459343,5.902888,8.615386,352.3045,
234.968,-0.04418159,0.1710769,0.05504698,0.2015948,0.06777462,0.1406221,-0.1114371,0.289102,0.1147301,353.6683,356.6798,359.0211,0.02459437,0.1923103,0.1294836,1.230351,-0.6509004,0.3077382,-0.2974426,-0.2252653,0.1875132,25.44204,328.5201,6.718245,-0.01283611,0.06427358,-0.2015852,0.3199414,-0.01896139,1.040686,-0.02238304,-0.147888,0.3410471,6.451509,8.263782,351.3357,
249.038,-0.05376105,0.2789158,0.07075561,0.4237189,0.0850893,0.1734802,-0.1123085,0.2949245,0.1157594,353.1317,356.607,358.9527,0.1017184,0.2640194,0.2803313,1.444538,-1.158075,0.2610794,-0.2955082,-0.2214084,0.1940998,24.33878,330.649,7.174489,-8.852407E-05,-0.03075746,-0.2834326,0.116037,0.1340358,1.203283,-0.02176394,-0.150561,0.3353225,7.037198,7.709489,350.2899,
263.056,-0.05930555,0.3617133,0.07739115,0.5401736,0.07773641,0.1354584,-0.1131221,0.3011475,0.1166849,352.6046,356.5609,359.0072,0.1550364,0.2983297,0.4052183,1.099865,-1.53951,0.1353774,-0.2936542,-0.2169847,0.2019879,23.92843,332.2114,6.719931,-0.0008630306,-0.1363854,-0.3505363,-0.1518752,0.3493739,1.272469,-0.02117769,-0.1547118,0.3292876,7.904578,6.950398,349.4261,
276.776,-0.06217661,0.4161823,0.07454774,0.6196992,0.02788704,0.08855224,-0.1140074,0.3071698,0.1174421,352.0476,356.6191,359.0455,0.1686154,0.3229974,0.4949012,0.1177532,-1.709232,0.04344893,-0.2915912,-0.2107217,0.2108476,24.46966,332.5518,4.892796,0.008048035,-0.2477608,-0.4023458,-0.6393866,0.4694621,1.029641,-0.02025019,-0.1596979,0.3231342,9.274772,6.510475,349.3645,
290.931,-0.06277995,0.4398913,0.06293187,0.5757153,-0.03252461,0.09481482,-0.1149406,0.3131889,0.117825,351.7239,356.7485,358.9792,0.1630702,0.3810164,0.5679444,-0.6683792,-1.64325,0.1388262,-0.2894556,-0.2027304,0.2205512,24.96803,332.2471,2.755608,0.04117654,-0.3552104,-0.4433991,-1.35271,0.370677,0.477956,-0.01902792,-0.1652472,0.3166869,11.22099,6.915483,350.3754,
