time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.591,0.005748951,-0.008709369,-0.01231314,-0.08355989,0.02304989,-0.04220272,-0.2527643,-0.1597742,1.227539,353.6959,5.010128,357.3858,-0.1294761,-0.02637807,0.01485407,-0.4837376,0.1910288,-0.6657503,-0.3400218,-0.5527785,1.646586,2.20883,2.72033,8.941015,0.00230799,-0.04143122,0.0306913,-0.3181363,0.02185997,-0.1902218,-0.1144751,-0.5429442,1.620059,357.1229,343.6749,335.3522,
13.344,0.003543182,-0.007175367,-0.01307549,-0.05291069,0.04962059,-0.05745485,-0.252757,-0.1598088,1.227317,353.678,4.915605,357.4433,-0.1268116,-0.0269525,0.01774402,-0.4927559,0.2346732,-0.6364607,-0.3413865,-0.5527502,1.64697,2.537211,2.44593,9.4378,-0.009600723,-0.06561336,0.04069014,-0.4010162,0.113546,-0.3499944,-0.1147906,-0.5437316,1.620623,357.8762,343.678,335.5476,
26.639,0.0009322718,-0.005257628,-0.01424496,-0.02094506,0.07560129,-0.07044435,-0.2527998,-0.1598175,1.227079,353.6466,4.805398,357.5002,-0.1210233,-0.02444047,0.01826603,-0.4645079,0.2417738,-0.6340219,-0.3427111,-0.5528412,1.647111,2.791965,2.236717,9.966483,-0.01689385,-0.07088329,0.03734945,-0.3336037,0.1206944,-0.331181,-0.1150626,-0.5443079,1.62074,358.1704,343.6537,335.6487,
40.671,-0.001935358,-0.002932705,-0.01578818,-0.009681626,0.1016247,-0.06899663,-0.2528994,-0.1597973,1.226815,353.6502,4.673263,357.5318,-0.1147023,-0.02136081,0.01793359,-0.4485766,0.2441744,-0.641946,-0.343899,-0.5527852,1.647603,3.044424,2.033418,10.52445,-0.01980439,-0.04729989,0.02510086,-0.1536974,0.06032943,-0.1858553,-0.1153833,-0.5439308,1.620746,357.9681,343.6182,335.6701,
54.573,-0.004595767,-0.0008155589,-0.01710179,0.009227484,0.1148737,-0.07371975,-0.2530295,-0.1597557,1.226544,353.6043,4.563704,357.5815,-0.1049706,-0.016169,0.01728763,-0.3877499,0.2357441,-0.6226588,-0.3449005,-0.5526721,1.647455,3.186479,1.873002,11.0113,-0.02189445,-0.006961994,0.006876314,0.06062201,-0.007976987,0.03933004,-0.1152097,-0.5435364,1.620106,357.4557,343.5525,335.5529,
68.381,-0.006427545,0.001177936,-0.01915829,0.01237196,0.1301007,-0.06861681,-0.2533029,-0.1596045,1.226172,353.6019,4.428263,357.6077,-0.09420063,-0.01268539,0.01562547,-0.348478,0.2373449,-0.5371228,-0.3456331,-0.5526974,1.647781,3.342951,1.674637,11.32576,-0.0269785,0.02450453,-0.006815589,0.16772,0.00855645,0.1581282,-0.1161705,-0.5426009,1.620289,356.9761,343.3523,335.4352,
82.495,-0.009187247,0.002075647,-0.02003901,0.03512907,0.1297988,-0.05983035,-0.2535469,-0.159638,1.225854,353.5265,4.324754,357.6167,-0.08023293,-0.009407937,0.0168641,-0.3024787,0.2104163,-0.4496245,-0.3461924,-0.552501,1.648525,3.47619,1.552725,11.55592,-0.03082663,0.04268524,-0.01411437,0.1918931,0.03555419,0.1925118,-0.1161993,-0.5419718,1.619283,356.7421,343.1925,335.347,
96.568,-0.01093222,0.003673659,-0.02282747,0.01666799,0.1264806,-0.04969221,-0.2537432,-0.1594999,1.225413,353.5739,4.231915,357.6406,-0.0684428,-0.006487642,0.0156617,-0.2398906,0.2200491,-0.3222454,-0.3467051,-0.552514,1.647943,3.518399,1.350679,11.61261,-0.03214088,0.04998301,-0.01906474,0.200613,0.04718943,0.1964443,-0.1169171,-0.5414139,1.61967,356.5464,343.0558,335.2921,
110.37,-0.01257209,0.004282158,-0.02487662,-0.002877787,0.1109779,-0.04026617,-0.253966,-0.1594893,1.225014,353.6059,4.173023,357.6552,-0.05619727,-0.003110935,0.01452646,-0.1588631,0.2306959,-0.1820375,-0.346894,-0.5525225,1.648872,3.490509,1.153076,11.53174,-0.03085707,0.04810362,-0.02252671,0.2152825,0.03314615,0.1802882,-0.116877,-0.5414144,1.618627,356.3373,342.9643,335.299,
123.793,-0.01396475,0.003559957,-0.02738852,-0.03244247,0.09428849,-0.0237341,-0.254199,-0.1594656,1.2246,353.6884,4.129211,357.6476,-0.04583572,-0.003149554,0.01542017,-0.1316272,0.2504565,-0.06398891,-0.3470307,-0.5524821,1.648958,3.505846,0.8952728,11.39706,-0.03173043,0.01829217,-0.01348147,0.07296532,0.09897689,0.05453391,-0.1172263,-0.5417034,1.619483,356.657,342.9261,335.3264,
