time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.377,0.0004001998,-0.0009719927,0.00329981,-0.01425971,0.002910957,0.001566764,0.01299203,0.06925472,-0.2797146,356.1357,359.3324,1.334944,0.0011978,-0.0007865095,0.0006631181,-0.008901978,-0.002643154,-0.0001056142,-0.06763944,-0.5125777,-0.1266143,20.30819,356.4375,328.8994,-0.008032433,-0.008617491,0.0007279256,-0.03929222,0.05372605,-0.07597651,0.04725401,-0.5039557,-0.1034933,25.48102,348.8179,16.12212
14.691,0.0002229864,-0.0007858254,0.003158531,-0.01207321,0.0001249016,0.004189157,0.01299311,0.06924731,-0.2796749,356.1414,359.3367,1.328804,0.0004307631,-0.0008576573,0.0008190486,-0.003870093,0.001859221,0.001907474,-0.06762756,-0.5125981,-0.1266034,20.31284,356.4397,328.9001,-0.007146453,-0.005814649,0.002065719,-0.02551028,0.03669652,-0.04622349,0.04720597,-0.5039677,-0.1034546,25.49663,348.8132,16.1389
26.341,0.0004464178,-0.0006227418,0.003041114,-0.00665115,-0.001695734,0.00466989,0.01300545,0.06924126,-0.2796357,356.139,359.3407,1.325603,-5.290774e-05,-0.00123355,0.0009201411,-0.004504404,0.004763494,0.001431751,-0.06762139,-0.5126227,-0.1265861,20.31883,356.4398,328.899,-0.005002527,0.002436662,0.003697182,0.003621503,-0.01151932,0.04843132,0.04718481,-0.5039735,-0.1034126,25.46621,348.793,16.09259
40.362,0.000411619,-0.0002897857,0.002976664,-0.002245478,-0.004622877,0.005253671,0.01300997,0.06924286,-0.2795849,356.1348,359.3495,1.321333,-0.0003825629,-0.002023788,0.001074426,-0.01403996,0.007294256,0.01020993,-0.0676194,-0.512652,-0.1265645,20.3261,356.4374,328.8942,-0.001826142,0.009695332,0.004413655,0.01927046,-0.06786862,0.1397188,0.04729841,-0.503785,-0.1033913,25.36328,348.7244,15.87472
54.266,0.000345624,-4.262865e-05,0.002922857,0.002251076,-0.007802733,0.003720016,0.01301242,0.06924399,-0.2795198,356.1279,359.36,1.320766,4.40995e-05,-0.0009278611,0.0009401049,-0.0019696,-0.006855862,0.003332798,-0.06761815,-0.5126855,-0.1265469,20.33036,356.4376,328.8903,0.002218049,0.01203074,0.004566649,-0.001178557,-0.1142297,0.1789172,0.04741611,-0.5037817,-0.103024,25.28463,348.6476,15.56541
67.896,0.0004766453,4.754007e-05,0.002844915,0.005445134,-0.007635832,0.003836084,0.01302104,0.06924329,-0.2794614,356.1201,359.3662,1.317458,-0.0007364682,-0.002027147,0.0006693508,-0.01151629,0.004919838,0.01151787,-0.06762076,-0.5127224,-0.1265246,20.33635,356.4368,328.8857,0.007616837,0.01092009,0.005388588,-0.0151604,-0.1567349,0.1804849,0.04785142,-0.5034013,-0.103338,25.25104,348.6244,15.27675
82.016,0.0002990085,7.936398e-05,0.002822628,0.005636807,-0.01091306,0.003204877,0.01302052,0.06924515,-0.2794223,356.1156,359.3804,1.316566,-0.0007290455,-0.001583504,0.0008621823,-0.004194405,0.0004917454,0.003509742,-0.06762654,-0.5127517,-0.1265107,20.34167,356.4353,328.8821,0.01436304,0.006483362,0.00712188,-0.01862672,-0.1834548,0.1169864,0.04791641,-0.5038196,-0.1027156,25.29261,348.7174,15.16986
96.088,0.0001205207,3.766922e-05,0.00279832,0.005774538,-0.01221579,0.00123163,0.01301828,0.06924464,-0.2793837,356.1107,359.3914,1.318785,-0.001289316,-0.002113095,0.0002275439,-0.00926223,0.00884802,0.003987839,-0.06763922,-0.5127787,-0.1264927,20.34928,356.4331,328.8789,0.0194512,0.0006593076,0.009383848,-0.01887374,-0.1907,0.02073594,0.04813562,-0.5035016,-0.1028941,25.37293,348.8778,15.18259
110.117,-4.135948e-05,5.678018e-05,0.002840651,0.006747661,-0.01098379,0.002184758,0.01302406,0.06923082,-0.2793578,356.1036,359.3986,1.316755,-0.0006585947,-0.0006096164,-4.491001e-05,0.00475878,-0.006343141,-0.01191533,-0.0676541,-0.512803,-0.1264814,20.35501,356.4311,328.8768,0.02132838,-0.001784568,0.009229898,-0.008252433,-0.1861202,-0.009587375,0.04842705,-0.5035557,-0.1029715,25.4009,348.9951,15.15101
123.923,-0.0001155255,-0.0002269515,0.002829697,0.004798648,-0.0125246,-0.0009209782,0.01303687,0.06919559,-0.2793435,356.1022,359.4102,1.323076,-0.001601254,-0.002306691,0.0008162698,-0.01439718,0.01877369,0.01431778,-0.06766871,-0.5128352,-0.1264649,20.36629,356.4249,328.8741,0.01574535,-0.008822432,0.007677929,-0.03945182,-0.1103691,-0.08971135,0.0481967,-0.5037686,-0.1025963,25.51315,349.0739,15.28401
137.821,-5.673945e-05,-0.0007925029,0.002635061,0.001593217,-0.01084392,-0.00343401,0.01305029,0.06915109,-0.279332,356.1053,359.4154,1.329597,-0.0005231917,0.0004218827,0.0001606139,0.0114289,-0.004251739,-0.01730834,-0.0676843,-0.512858,-0.126464,20.36232,356.4285,328.8817,0.01201917,0.0009790973,0.00336825,0.01158139,-0.09322588,0.02493158,0.04839619,-0.5036878,-0.1027719,25.43313,349.0381,15.20023
151.551,-0.0003043721,-0.001262416,0.002377842,-0.005724644,-0.01253724,-0.005664413,0.01304003,0.06912129,-0.2793049,356.1203,359.4268,1.338344,-0.001071336,-0.000831434,0.0005527159,-0.001060957,0.01370263,0.004115458,-0.06769196,-0.5128694,-0.1264563,20.36569,356.4241,328.8849,0.006976582,0.003907833,0.002495118,0.01648498,-0.05524797,0.02367576,0.04840134,-0.5037279,-0.1026885,25.41582,349.043,15.18519
165.663,-0.0002344274,-0.001899558,0.002091951,-0.01204077,-0.01127802,-0.01040073,0.01303849,0.06907825,-0.2792828,356.1386,359.4315,1.353413,9.107578e-05,-0.0001428684,0.0004523547,0.005082503,0.004276177,-0.01409853,-0.0676931,-0.5128687,-0.1264553,20.36603,356.424,328.8935,0.003801464,0.002060844,0.001209197,0.0257444,-0.01223811,-0.01454798,0.04842763,-0.5037224,-0.1027043,25.40586,349.0601,15.1982
179.617,-0.0003045851,-0.002207194,0.002030979,-0.01524179,-0.01052151,-0.01170971,0.01304237,0.06904482,-0.2792373,356.1567,359.4369,1.366734,0.0007501217,-0.001000482,0.000532081,-0.005743729,0.00696602,-0.002598302,-0.06768477,-0.5128728,-0.1264518,20.36943,356.4226,328.898,0.0008404372,-0.002918111,0.0002103618,0.01493114,0.035955,-0.07559462,0.04839969,-0.5037823,-0.1027012,25.42209,349.1003,15.28244
