time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.678,-0.004140388,0.0008816577,0.0002118315,0.01628566,0.001462946,0.003650631,-0.2141428,0.3687834,0.2285247,355.871,5.437966,356.9514,-0.003259161,0.002330875,0.001078209,-0.02069636,0.01726506,-0.02357726,-0.2178482,-0.3025242,0.4656957,7.063072,26.66333,15.74756,-0.03295855,-0.02815515,-0.002165594,-0.2137037,0.2906487,-0.4763286,-0.1160862,-0.3215463,0.4549978,18.28466,7.663695,355.2218,
12.559,-0.004055815,0.0001309865,0.000145266,0.004559941,0.00430665,0.009741324,-0.2142564,0.3687457,0.2285049,355.8877,5.433856,356.9372,-0.001198193,0.0009927885,0.0007462261,-0.01575972,0.003246601,-0.01459178,-0.2178684,-0.3025031,0.4656911,7.059269,26.664,15.76486,-0.03952866,-0.02759369,-0.004454852,-0.2234147,0.3145953,-0.4597826,-0.1167651,-0.3215993,0.4548782,18.39042,7.678234,355.7159,
26.496,-0.004376478,-0.0008991172,0.0003287651,-0.008989373,0.003842614,0.006777608,-0.214367,0.3686916,0.2285008,355.9146,5.433174,356.9407,0.0005120986,0.0002066436,0.0001867509,-0.0006749006,-0.007703929,-0.006031952,-0.217875,-0.3024915,0.4656862,7.058853,26.66899,15.77273,-0.04331664,-0.01430527,-0.006476265,-0.08709395,0.302025,-0.367034,-0.1172112,-0.3215567,0.4545759,18.22479,7.548629,355.9004,
40.323,-0.004378718,-0.001596763,-0.0001707069,-0.02260156,0.009271134,-0.0002543681,-0.2144266,0.3686516,0.2284852,355.9614,5.414404,356.9649,0.001288942,-0.0001920581,-0.0001357257,0.01735866,-0.01185033,0.005416234,-0.2178678,-0.3024682,0.4656714,7.055053,26.67682,15.76431,-0.04370742,-0.000512538,-0.007934307,0.0372154,0.2744777,-0.2592139,-0.117646,-0.3214735,0.4546346,18.0069,7.375901,355.9357,
54.483,-0.004484305,-0.002486068,-0.000627382,-0.02866618,0.01018707,-0.004751377,-0.2144738,0.3685966,0.2284673,355.9836,5.405985,356.9779,0.001647785,-0.001074257,7.195747E-06,0.01124642,-0.01929546,0.01975484,-0.2178567,-0.302443,0.4656528,7.057478,26.68688,15.74532,-0.03996056,0.01098534,-0.006370784,0.08777992,0.2474868,-0.2018667,-0.1179182,-0.3210178,0.4543178,17.84612,7.254795,356.0142,
68.425,-0.004524306,-0.002713242,-0.001193235,-0.03225153,0.009187218,-0.00615857,-0.2144586,0.3685623,0.2284466,356.0139,5.400308,356.9867,-0.0006819944,0.001093509,-0.0008230742,0.02030998,0.002293646,-0.004246914,-0.2178493,-0.3024211,0.4656286,7.05405,26.69201,15.73259,-0.03002156,0.02515312,-0.005302066,0.1890108,0.1717881,-0.1778098,-0.1180496,-0.32069,0.4542659,17.52889,7.234039,356.0454,
82.367,-0.004613155,-0.002025117,-0.001512293,-0.0271058,0.007615067,-0.006867223,-0.2144467,0.3685602,0.2284267,356.0187,5.399747,356.9933,-0.002021042,0.001846883,0.0001019597,-0.005365983,-1.006418E-05,0.00107161,-0.2178514,-0.3023996,0.4656109,7.05835,26.69269,15.72883,-0.02075735,0.0319915,-0.003495585,0.2290933,0.1141646,-0.1348024,-0.1180815,-0.3204342,0.4544246,17.29663,7.207855,356.0271,
96.238,-0.004756758,-0.0009334137,-0.001647486,-0.007670721,0.009161335,-0.008358962,-0.2145034,0.3685748,0.2284024,356.0031,5.385594,356.998,-0.005369861,0.005910724,-0.0003890386,0.008183314,0.03474065,-0.03501448,-0.2179037,-0.3023405,0.4655913,7.029651,26.67494,15.74188,-0.0105661,0.02896742,-6.667571E-05,0.1723195,0.05909361,-0.0437103,-0.1178373,-0.3202936,0.4544622,17.34043,7.191348,355.8908,
111.647,-0.004940461,0.0004439495,-0.001808489,0.01156228,0.01254142,-0.01224,-0.2145742,0.368615,0.2283728,355.9509,5.364894,357.0042,-0.005596938,0.005494707,0.000769583,-0.01192156,0.02308077,-0.02604156,-0.2179644,-0.3022537,0.4655634,7.022806,26.66497,15.76393,0.002359691,0.02029188,0.0008135458,0.1198941,-0.03667998,0.07986949,-0.1176877,-0.3203889,0.4547449,17.36938,7.198034,355.6764,
124.344,-0.005197966,0.001036191,-0.001844145,0.02471968,0.01471092,-0.01268602,-0.2146547,0.3686472,0.2283485,355.9179,5.346128,357.006,-0.00635557,0.004985176,0.001310717,-0.01282871,0.0287131,-0.02896636,-0.2180179,-0.3021965,0.465558,7.008619,26.65046,15.78244,0.01115395,0.009621549,0.002389804,0.04298664,-0.09656665,0.1726425,-0.1172629,-0.3204235,0.4550433,17.44546,7.181179,355.3826,
