time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.476,-0.0011024,-0.0008390908,6.594701E-05,-3.170706E-05,0.005002718,0.0007790567,-0.04874134,0.04878467,0.005553722,3.41948,356.9897,359.4885,0.001523601,0.004428718,0.00527284,-0.005067314,-0.0213856,-0.008418441,-0.2203569,-0.8250052,0.08327714,53.93211,344.58,306.0417,-0.009889281,-0.001349987,-0.01138041,-0.04205686,-0.03755128,0.1273689,0.1186836,-0.8038172,0.1411927,58.40556,8.891891,31.70315,
13.014,-0.0007843496,-0.001357057,0.0006229272,-0.007354113,0.003172207,-0.001418535,-0.04870129,0.04876769,0.005612373,3.436007,356.9903,359.4913,0.002469051,0.003815402,0.004484368,-0.007020591,-0.009291947,-0.01305102,-0.2203155,-0.8249558,0.0833352,53.9263,344.5868,306.0366,-0.007049829,-0.0001505341,-0.007706208,-0.02647423,-0.0236051,0.06937815,0.1186682,-0.8037807,0.1411573,58.41335,8.932541,31.73673,
26.855,-0.0006227859,-0.001330585,0.001199239,-0.008564778,-0.0001161999,-0.0009180087,-0.04868793,0.04875576,0.005660057,3.44489,356.9948,359.49,0.002419316,0.003732782,0.004228629,-0.002131154,-0.006133951,-0.009039368,-0.2202725,-0.8249075,0.08338853,53.91892,344.5982,306.0385,-0.008394001,0.008770997,0.0008368921,0.07175303,-0.0780586,0.08618575,0.118614,-0.8035759,0.1411787,58.3412,8.68595,31.43967,
40.751,-0.0004634201,-0.001542837,0.002158441,0.001401079,-0.004190592,0.00513662,-0.04869461,0.04872859,0.005711555,3.427886,357.0016,359.4783,0.003243565,0.004234932,0.003830623,0.000452972,-0.001233221,-0.02146541,-0.220229,-0.8248495,0.08343876,53.91249,344.6223,306.0547,-0.01018461,0.01789083,0.009488794,0.1686002,-0.1480621,0.09667726,0.1185647,-0.8029027,0.1412868,58.12697,8.212236,30.7379,
54.443,-0.0003882658,-0.001686158,0.002506083,-0.002311183,-0.007862431,0.008528587,-0.04869747,0.04870462,0.005758762,3.43294,357.0108,359.4648,0.003152067,0.004533925,0.003188935,0.009951739,0.009883197,-0.02683762,-0.2201898,-0.8248101,0.08349206,53.90432,344.6618,306.0916,-0.006395555,0.01956742,0.01439519,0.200739,-0.2390534,0.01709189,0.1186454,-0.8026936,0.1417443,58.0572,8.056495,30.16919,
68.464,-0.0001259663,-0.002088585,0.002470119,-0.01656594,-0.00898002,0.001276553,-0.04869175,0.04867876,0.005795956,3.467388,357.0208,359.4692,0.001236726,0.003117648,0.001890998,0.006378412,0.01235736,-0.007679245,-0.2201667,-0.8247803,0.08351763,53.90137,344.6801,306.1126,0.0009526862,0.01937072,0.01812265,0.236001,-0.249191,-0.05718418,0.1188734,-0.802525,0.1418229,57.95972,8.147779,29.90511,
82.369,-9.855023E-06,-0.002331877,0.002033425,-0.03082155,-0.01009405,-0.005975196,-0.04868984,0.04865283,0.005824089,3.522485,357.0322,359.4818,-0.0008064496,0.003409408,0.0009097821,0.01637144,-0.005136814,-0.01634177,-0.2201682,-0.8247423,0.08353421,53.89034,344.6958,306.132,0.009720976,0.01064812,0.01668091,0.1533452,-0.1943465,-0.1598805,0.1189254,-0.8030897,0.1424207,58.0479,8.552225,30.075,
96.065,-0.0001454846,-0.002179537,0.00183933,-0.03008984,-0.01135232,-0.01253178,-0.04869366,0.04862911,0.0058465,3.540788,357.048,359.5006,-0.004038732,0.0006738125,-0.001925795,0.007765963,-0.0001413331,0.01699336,-0.2201915,-0.82475,0.0835393,53.88616,344.6823,306.1272,0.01360919,0.006454217,0.01538123,0.1165584,-0.112731,-0.1770652,0.1190126,-0.8021938,0.1420886,58.03851,8.828148,30.28748,
109.893,-0.0002253047,-0.001934561,0.001592389,-0.02192022,-0.01168913,-0.0180877,-0.04870129,0.04860878,0.00586319,3.542409,357.06,359.5188,-0.00527847,-0.001809565,-0.004791862,-0.00671514,0.006387688,0.03494795,-0.2202291,-0.8247721,0.08351316,53.89397,344.6538,306.1086,0.01985169,-0.005842469,0.004702847,-0.04181793,0.02276453,-0.2344238,0.1192623,-0.8027733,0.1417567,58.19397,9.325528,30.86321,
123.815,-0.000290201,-0.001385095,0.001153323,-0.01685417,-0.01101662,-0.01523874,-0.0487051,0.04860812,0.005867958,3.553143,357.068,359.5197,-0.003949525,-0.002371424,-0.007966962,-0.01521055,0.01851328,0.01238978,-0.2202683,-0.824811,0.08343935,53.9104,344.6461,306.1061,0.01083346,-0.001150086,0.009391636,-0.01642617,0.06606142,-0.1165324,0.1190585,-0.80269,0.1424722,58.09503,9.118023,30.76823,
