time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.597,-0.00128069,0.0007994499,-0.008165834,0.006537305,-0.02093607,0.0005322476,-0.331435,0.3712209,1.003085,357.2729,6.270951,357.7132,0.0005286359,0.0002872842,0.0002477583,-0.03459058,-0.009396901,0.009491253,-0.4105607,0.5309204,1.642694,63.66967,58.78115,285.1206,-0.002811021,5.534281E-05,-0.0003768282,0.007757518,-0.05333744,-0.007165886,-0.3685744,0.6234864,2.03565,85.08386,339.2525,48.13594,
13.251,-0.001455139,0.0008674807,-0.008265397,0.008903185,-0.01942163,0.006475639,-0.3314687,0.3712487,1.003011,357.2643,6.284575,357.6971,0.0004148548,0.0002017729,0.0001017464,-0.0375265,-0.01363833,0.01515256,-0.4103176,0.5309576,1.64271,63.66067,58.79646,285.106,-0.002762668,-3.732387E-05,-0.001544511,0.01309375,-0.05578316,-0.03251576,-0.3685618,0.6234835,2.035655,85.09304,338.6869,47.54491,
26.688,-0.001474478,0.001249004,-0.008292076,0.01176708,-0.02079834,0.004928616,-0.3314988,0.3712886,1.002938,357.2492,6.302953,357.6987,0.0005185139,0.000220782,4.242356E-06,-0.04113382,-0.01336811,0.01825427,-0.4100993,0.5309713,1.642663,63.65202,58.81351,285.0891,-0.002217308,0.0001072933,0.0004609453,0.03509066,-0.0448738,-0.002818769,-0.3685462,0.6234848,2.035659,85.07503,338.3907,47.21926,
40.538,-0.00136614,0.001794488,-0.00840298,0.01447916,-0.02120772,0.002234268,-0.331517,0.3713309,1.002831,357.2332,6.319727,357.6991,0.000736065,0.0003255039,5.215484E-05,-0.04180331,-0.008857694,0.01571091,-0.4098361,0.5310025,1.642607,63.63926,58.83943,285.0815,-0.003181439,0.0003367766,0.002875868,0.05224814,-0.05996042,0.03881365,-0.3685298,0.6234975,2.035657,85.01013,338.0319,46.82393,
54.581,-0.001415445,0.002084332,-0.008444503,0.01928794,-0.02124959,0.004542802,-0.3315382,0.3713658,1.002714,357.2101,6.33541,357.6842,0.002277856,0.0007167843,-0.0009795354,-0.05415812,0.02006796,0.02990879,-0.409447,0.5310704,1.642552,63.61271,58.90757,285.1072,-0.003919831,0.0004766303,0.004172179,0.08112881,-0.07524921,0.05316345,-0.3685066,0.6235221,2.035653,84.90899,337.6302,46.3573,
68.567,-0.00161251,0.002161238,-0.008527153,0.02180043,-0.02122349,0.006212057,-0.3315674,0.3713861,1.002595,357.1894,6.35457,357.6736,0.000735932,0.0003259587,5.117936E-05,-0.04178833,-0.008875152,0.01574088,-0.4091798,0.531014,1.642496,63.60235,58.91989,285.0938,-0.003123794,0.0004770189,0.004405571,0.1189388,-0.06639182,0.04070121,-0.3684778,0.6235473,2.03565,84.82456,337.4597,46.08777,
82.186,-0.001903673,0.002229325,-0.008680347,0.02305912,-0.02120916,0.00704531,-0.3316074,0.371367,1.00248,357.1719,6.37198,357.6665,0.000321637,6.419136E-05,-0.0002836274,-0.03407456,-0.01325472,0.02201395,-0.4089734,0.5310484,1.642408,63.59377,58.95229,285.0948,-0.001511875,0.0003481703,0.003488513,0.1683383,-0.04726084,-0.0009090714,-0.3684322,0.6235711,2.035651,84.76704,337.5362,45.97856,
96.258,-0.002071948,0.001800066,-0.00881513,0.02060829,-0.02379647,0.001217726,-0.3316459,0.3713323,1.002361,357.1601,6.39634,357.6747,0.0001398077,-8.729199E-05,-0.0005736492,-0.02880671,-0.01385276,0.02664996,-0.4088338,0.5310559,1.642307,63.59391,58.98079,285.0947,0.002728101,8.828414E-05,0.002107274,0.1953168,0.02287213,-0.04560823,-0.3683789,0.6235831,2.035659,84.78654,338.6171,46.84975,
110.733,-0.002294766,0.001836539,-0.008972754,0.01732454,-0.02259646,0.0006929749,-0.331684,0.3713505,1.002233,357.1479,6.413091,357.671,0.0007698245,-8.865158E-05,-0.001630095,-0.03418468,-0.001501074,0.04566582,-0.4086933,0.5310513,1.642154,63.59858,59.03566,285.1089,0.01291925,-0.000338961,-1.345522E-05,0.1490792,0.212733,-0.08072626,-0.3683392,0.6235833,2.035669,84.93933,342.8256,50.91514,
123.998,-0.002682613,0.001740503,-0.008751677,0.01683262,-0.02383926,-0.001276813,-0.3317308,0.3713708,1.002117,357.1333,6.430408,357.6749,-0.001073824,-0.0004120491,0.0001756528,-0.01267452,-0.03261266,0.01317224,-0.4085703,0.5310353,1.642029,63.60763,59.02985,285.0882,0.006361802,-5.985967E-05,0.001393142,0.1670145,0.09294797,-0.05232748,-0.3683111,0.623579,2.035678,84.85829,341.7852,49.798,
137.501,-0.002815738,0.001790452,-0.008447566,0.01616314,-0.02103436,-0.005761107,-0.3317637,0.3714033,1.002006,357.1186,6.440124,357.686,0.001314753,0.0002681737,-0.001144409,-0.02430452,0.0165205,0.02528464,-0.4083354,0.5310934,1.64189,63.59884,59.09179,285.1286,0.002957934,0.0002885664,0.004284461,0.1272258,0.04366536,0.02639265,-0.3682773,0.6235951,2.035679,84.76154,341.8152,49.82323,
151.497,-0.003166005,0.001771586,-0.00800257,0.01594452,-0.0211298,-0.006801611,-0.3317977,0.3714401,1.001905,357.1057,6.457314,357.6879,-0.000132759,-5.251954E-06,0.0002013296,-0.006697925,-0.007390678,0.0008288478,-0.4081218,0.5311417,1.641786,63.59312,59.11237,285.1426,0.0008097666,0.0002659055,0.003312421,0.0389197,0.01638469,0.04786095,-0.3682657,0.6236122,2.035674,84.74491,341.7111,49.75616,
165.497,-0.003252566,0.001518298,-0.007572061,0.01563798,-0.01920111,-0.00909989,-0.3318287,0.3714653,1.001809,357.0909,6.468318,357.6967,0.0003579853,2.125186E-05,-0.0005156834,-0.01305336,0.0007717116,0.0146784,-0.4079491,0.5311702,1.641706,63.5891,59.14036,285.1608,-0.0005434407,0.000144336,0.001467538,0.003752658,-0.007023188,0.02820302,-0.3682663,0.6236248,2.035669,84.72705,341.733,49.7859,
179.417,-0.003480684,0.001451161,-0.007044429,0.01324258,-0.01711791,-0.01097944,-0.3318833,0.3714839,1.001724,357.0809,6.477623,357.7061,-0.0005325465,-0.0002615554,-0.000135598,-0.0007523693,-0.01252935,0.007984018,-0.4078388,0.5311713,1.64164,63.59259,59.149,285.1652,-0.005151987,6.321466E-05,-0.001081767,0.005280931,-0.09759462,-0.01676803,-0.3682573,0.6236272,2.03567,84.7148,340.6834,48.71548,
193.679,-0.003712944,0.001476377,-0.006569154,0.01184051,-0.01253885,-0.008923263,-0.3319413,0.3715043,1.001645,357.0724,6.48096,357.7071,-0.0004063373,-0.0002745687,-0.0003983712,-0.006765404,-0.01303039,0.0156113,-0.407781,0.5311547,1.641561,63.59972,59.15816,285.1648,-0.004281748,-1.808904E-05,-0.001767631,-0.004517279,-0.08171271,-0.02741703,-0.3682399,0.6236247,2.035675,84.72266,339.9907,48.0079,
207.772,-0.004054687,0.001271244,-0.005702678,0.00942597,-0.01096031,-0.005284236,-0.3320051,0.3715215,1.001614,357.068,6.486256,357.7066,-0.0001007297,-0.0001562091,-0.0004453237,-0.009277038,-0.007507887,0.01524103,-0.4077601,0.5311693,1.641578,63.60381,59.1678,285.1665,-0.001260324,-1.309447E-05,-0.0006106117,-0.01955574,-0.02126528,-0.002002272,-0.3682369,0.6236226,2.035677,84.72251,339.96,47.99289,
221.362,-0.003911155,0.0007002863,-0.005222692,0.007323791,-0.004088746,-0.002203231,-0.3320549,0.3715252,1.001589,357.0667,6.478742,357.7042,0.0002235761,7.209649E-05,-9.128393E-05,-0.006391264,0.001306057,0.003453331,-0.4077347,0.5311875,1.641484,63.60181,59.18432,285.1801,0.00091215,-6.093338E-05,-0.0003712652,-0.008318809,0.01715658,-0.004990451,-0.3682415,0.62362,2.035677,84.73046,340.0152,48.05765,
235.475,-0.003805369,-4.087456E-05,-0.004655539,0.001032673,-0.0005439646,-0.002312223,-0.3321064,0.3715131,1.00157,357.0757,6.474566,357.7077,0.0005140685,0.0001849752,-0.0001348781,-0.007138258,0.007561447,0.002156715,-0.4077025,0.5312248,1.641406,63.59324,59.20286,285.1975,0.001384165,-7.107498E-05,-0.0003220718,0.006073726,0.0235372,-0.01084208,-0.3682433,0.6236166,2.035678,84.74182,340.1815,48.2208,
249.536,-0.003473104,-0.000382877,-0.004073258,-0.003655259,0.005231804,-0.0007768517,-0.3321466,0.3714979,1.001529,357.0859,6.462653,357.7082,0.0002076023,0.000147593,0.0002320809,-0.005103285,0.001366427,-0.00375356,-0.4076435,0.5312538,1.641355,63.5855,59.21356,285.2085,0.002377973,-9.164439E-05,-0.0002192206,0.007540472,0.04170332,-0.01076016,-0.368245,0.6236126,2.035679,84.75753,340.5432,48.57532,
263.249,-0.003545229,-0.0007954392,-0.003270447,-0.0004775907,0.005555736,0.003998351,-0.3321976,0.3714776,1.001504,357.0851,6.459451,357.6971,0.000280403,0.0001556032,0.0001412025,-0.005170955,0.003097777,-0.002508228,-0.4075963,0.5312793,1.64131,63.57854,59.22334,285.2197,0.002511374,-5.631358E-05,0.0002168354,0.01353412,0.04419991,-0.00487887,-0.3682476,0.6236094,2.03568,84.76808,340.9442,48.96881,
277.275,-0.003448962,-0.0006963811,-0.002577821,0.001219934,0.005765533,0.006905657,-0.3322296,0.3714817,1.001481,357.0846,6.455302,357.6859,0.000192415,0.0001420644,0.0002355315,-0.00333592,0.002100446,-0.004680812,-0.407555,0.5313227,1.64127,63.5714,59.22781,285.2283,0.002531551,-3.13848E-05,0.0004912216,0.008199302,0.0460843,0.002804938,-0.3682511,0.6236083,2.03568,84.77318,341.3734,49.39513,
291.224,-0.002770762,-0.0004625906,-0.002358803,-0.0008969971,0.009000553,0.005953086,-0.3322387,0.3714925,1.001449,357.09,6.444368,357.6818,-0.0005441468,-0.0001630952,0.0002724151,0.008186681,-0.007762149,-0.005285788,-0.4076639,0.5313242,1.641213,63.57167,59.22613,285.2337,0.002069817,-2.212662E-05,0.0004298725,-0.004367695,0.03953171,0.007577938,-0.3682576,0.623608,2.035678,84.77625,341.6933,49.72327,
305.031,-0.002725192,-0.0003074223,-0.001896057,-0.003295777,0.003864119,0.006931135,-0.3322723,0.3714958,1.001433,357.0977,6.45052,357.6765,-0.0009671412,-0.0003872822,0.0001004091,0.01654535,-0.01213727,-0.002654356,-0.4077911,0.5313059,1.641163,63.58019,59.2174,285.2353,0.001423871,-3.723499E-05,3.603143E-05,-0.0161388,0.0286892,0.005667805,-0.3682666,0.6236079,2.035676,84.77903,341.9264,49.97213,
318.794,-0.002187299,-0.0006157379,-0.001780077,-0.007015678,0.004870102,0.004332473,-0.3322886,0.3714799,1.00141,357.1091,6.445269,357.6792,-0.001478254,-0.0006246427,2.221704E-05,0.02673551,-0.01751542,-0.002186968,-0.4079544,0.5312579,1.641117,63.60049,59.19821,285.2344,0.001352906,-7.918146E-05,-0.0004753739,-0.01105233,0.0253549,-0.00653854,-0.3682735,0.6236049,2.035676,84.78962,342.0941,50.14904,
332.702,-0.002090277,-0.0007554619,-0.001328917,-0.007422986,0.001601116,0.003626367,-0.3323165,0.3714639,1.001405,357.1164,6.44926,357.6784,-0.001168415,-0.0004827161,5.942921E-05,0.03187233,-0.007295083,-0.008603632,-0.4080945,0.5311843,1.6411,63.61403,59.18517,285.2459,0.001475698,-7.25757E-05,-0.0003669997,-0.013937,0.0283067,-0.003339163,-0.3682805,0.6236,2.035676,84.80428,342.3075,50.37365,
