time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.476,0.002767027,-0.0009153752,0.01023388,-0.01519046,0.005217085,0.02124897,-0.2354994,0.06686985,-0.1630378,353.7911,1.347937,359.0949,0.004695473,3.278349E-05,-0.0003544267,0.02617387,-0.0283676,-0.01929294,0.1848684,-0.1853877,0.06728546,356.0392,56.22432,328.2826,-0.01738516,-0.009731513,-0.01483478,-0.07899048,-0.2207686,0.1396538,-0.3029205,-0.04924406,-0.02848229,306.0202,267.6635,354.4182,
13.462,0.003088262,-0.000545806,0.01097309,-0.007141619,-0.005068259,0.01441051,-0.235446,0.066872,-0.162869,353.791,1.361804,359.0936,0.005205149,-0.001737661,0.0002754442,0.02815254,-0.02884247,-0.01495743,0.1849114,-0.1854136,0.06729826,356.0274,56.23985,328.2467,-0.0030257,-0.005685487,-0.01570305,-0.009954583,-0.03967913,0.1296629,-0.3028155,-0.04934813,-0.02834442,305.8624,267.4865,354.3312,
27.049,0.003024798,-0.0008071737,0.0115487,-0.004251185,-0.0114376,0.01020176,-0.2353983,0.0668534,-0.1626816,353.7903,1.379583,359.0936,0.004703754,-0.002255176,0.002675628,-0.005809653,0.001171642,0.008045308,0.1849373,-0.185429,0.0673226,356.0293,56.24117,328.2457,0.006474311,-0.001559274,-0.008863282,-0.03125271,-0.01291108,0.07999018,-0.3027554,-0.04932906,-0.02837777,305.8298,267.4725,354.3532,
40.481,0.002865287,-0.002392808,0.0115316,-0.01614916,-0.01468153,0.009126657,-0.2353106,0.06675887,-0.1624413,353.8299,1.400383,359.0918,0.003747565,-0.002423769,0.005098963,-0.03916689,0.02868027,0.02946329,0.1849994,-0.1854506,0.06741019,356.0449,56.2375,328.2918,0.01410933,0.002049759,-0.003873491,-0.04943818,-0.008477772,0.05671373,-0.3025178,-0.04925175,-0.02841642,305.8123,267.4511,354.4303,
54.49,0.002792342,-0.004483186,0.01132399,-0.0431765,-0.01941794,0.004563149,-0.2352209,0.06662345,-0.1622066,353.911,1.419948,359.1033,0.002575004,-0.001583911,0.007739171,-0.0421782,0.04421407,0.004071335,0.1849944,-0.1854997,0.06750195,356.0461,56.21088,328.3453,0.02623315,0.005545574,-0.002385182,-0.04651107,0.07223257,0.06265792,-0.3018488,-0.04923127,-0.02833639,305.6914,267.3057,354.5708,
68.706,0.002621639,-0.005890861,0.01117535,-0.06364676,-0.02076219,0.001247771,-0.2351713,0.06650114,-0.1620359,353.9892,1.436855,359.1118,0.00203686,-0.003111562,0.007955675,-0.01640272,0.0442485,-0.01182846,0.1850976,-0.1855546,0.06760129,356.0437,56.17501,328.3641,0.03625903,0.006314359,-0.0007590167,-0.002339203,0.1824256,0.06569891,-0.3010597,-0.04936016,-0.02803694,305.4287,266.9417,354.7256,
82.156,0.002187876,-0.005993334,0.01115047,-0.06712911,-0.01862563,-0.009928239,-0.2351561,0.06641293,-0.1618834,354.029,1.438003,359.1447,0.002595379,-0.004144854,0.003758499,0.009889923,0.006720883,-0.01742784,0.1850657,-0.185609,0.06762337,356.0402,56.16722,328.3536,0.02162054,0.005668465,0.004005321,0.09502968,0.02846669,0.05901563,-0.301183,-0.04856721,-0.02800814,305.6851,266.9426,354.7003,
96.289,0.001645328,-0.005642115,0.01113306,-0.05766171,-0.0124173,-0.02132765,-0.2351484,0.06633544,-0.1617494,354.0531,1.429659,359.1793,0.003560471,-0.005429117,-0.001084689,-0.005023582,-0.03267234,0.01544199,0.185111,-0.1856853,0.06764254,356.0369,56.19358,328.3454,0.034432,0.005392148,0.01362207,0.09414832,0.2262644,-0.008048184,-0.3002101,-0.0495456,-0.02699759,305.3485,266.6797,354.5401,
110.427,0.001333579,-0.005169784,0.01064047,-0.05183337,0.001031593,-0.01882931,-0.2351656,0.06624734,-0.1616826,354.086,1.407032,359.1787,0.004271372,-0.00721718,0.0004839089,0.01664417,-0.006631707,0.02865592,0.1851095,-0.1857802,0.06764667,356.0601,56.21181,328.3365,0.03879468,0.00576575,0.02300644,0.07265453,0.3013306,-0.08561411,-0.3004421,-0.04896954,-0.02705017,305.0367,266.7634,354.1852,
124.068,0.0008571418,-0.005151411,0.01058485,-0.04586134,0.006082719,-0.00377251,-0.2351923,0.06614763,-0.161602,354.115,1.403316,359.154,0.003482969,-0.006225438,0.002282489,-0.002577526,-0.002488152,0.01777162,0.1851463,-0.185864,0.06767777,356.0676,56.22068,328.3434,0.02983731,0.007402817,0.02039984,0.06188913,0.1497697,-0.06991021,-0.2998487,-0.04895218,-0.02698662,305.1598,266.8594,354.1373,
