time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.583,0.01947195,-0.00219137,0.005913024,-0.0342893,-0.05779229,0.03716617,0.07025202,0.3622431,1.665019,354.1434,356.9148,357.7663,0.05491132,-0.02233961,0.03491958,-0.09362521,0.1940332,0.09651145,-0.1931637,0.3925217,1.764029,277.532,123.531,314.5456,0.06489991,-0.05515594,0.06317312,0.04633713,0.2678188,0.254684,-0.4125501,0.0709819,1.603111,19.03804,265.6861,55.68871,
13.197,0.01818362,-0.001810371,0.005096945,-0.02492637,-0.05656921,0.02498709,0.07051542,0.3621863,1.665097,354.1417,356.9592,357.763,0.05106443,-0.02215212,0.02939088,-0.002121586,0.1742681,0.05200049,-0.1927578,0.3922409,1.76437,277.6614,123.4075,314.7925,0.06408849,-0.06485084,0.06194352,0.1264949,0.2880036,0.2181957,-0.4120071,0.07031713,1.603762,19.36734,265.7365,55.86721,
26.446,0.01680674,-0.001395629,0.003908321,-0.02169036,-0.05925356,0.02376501,0.07070193,0.3621547,1.665108,354.1517,357.0164,357.7418,0.04173388,-0.02201275,0.02528302,0.08351958,0.1200066,0.01874046,-0.192489,0.3919878,1.76477,277.7352,123.9201,314.4669,0.0607811,-0.05900149,0.05848833,0.0680292,0.269394,0.1972965,-0.4114396,0.06986649,1.604241,19.42563,265.8168,56.1048,
40.397,0.01580388,-0.001409612,0.002711579,-0.018444,-0.06194479,0.02253179,0.07088016,0.3621057,1.665098,354.1618,357.075,357.7287,0.03314083,-0.01964851,0.02207988,0.1538588,0.1004554,-0.01522194,-0.192331,0.3919358,1.765134,277.8594,124.4633,314.1373,0.05770715,-0.04533277,0.05352033,0.005468583,0.1904012,0.141306,-0.4106975,0.06978867,1.604782,19.35672,265.8393,56.18364,
54.145,0.01437152,-0.001561106,0.0009849399,-0.02337168,-0.0629473,0.02649219,0.07103036,0.3620582,1.665054,354.1895,357.1296,357.7012,0.02288776,-0.0170513,0.02483152,0.08996517,0.06469133,0.001359531,-0.192301,0.3919328,1.765419,277.8156,124.4113,314.15,0.05290992,-0.02808214,0.04853959,-0.05659205,0.08395612,0.1008072,-0.4106331,0.0696177,1.605003,19.19055,265.8828,56.1722,
67.94,0.01326089,-0.002095661,-0.0009351902,-0.02675615,-0.05879292,0.0296195,0.07118565,0.3620169,1.664992,354.2102,357.1768,357.6768,0.01579512,-0.01330763,0.03067348,-0.0274317,0.06761265,0.04529502,-0.1923548,0.3916602,1.765735,277.7691,123.5881,314.8476,0.04875784,-0.00880767,0.04252032,-0.1438353,-0.005985688,0.05940299,-0.4095183,0.07005581,1.605438,18.90151,265.904,56.14379,
82.002,0.01208768,-0.002373405,-0.003353975,-0.02762685,-0.05952044,0.01980202,0.07132452,0.3619767,1.664884,354.2315,357.2267,357.6855,0.005632413,-0.01313815,0.03798694,-0.1185526,0.02421949,0.1093955,-0.1923652,0.3909586,1.766518,277.6039,122.1434,316.1174,0.04618322,0.003418555,0.03595561,-0.1632062,-0.07669036,0.04321459,-0.4097043,0.06982704,1.60531,18.68653,265.9619,56.07599,
96.085,0.01089946,-0.001825185,-0.005548301,-0.02381628,-0.062,0.0142078,0.07152466,0.3619465,1.664751,354.2359,357.279,357.6833,-0.0038635,-0.01362354,0.04293714,-0.1192542,0.006927118,0.1703402,-0.1926577,0.391354,1.766948,277.4308,120.5234,317.685,0.04288489,0.007007447,0.03044112,-0.08201878,-0.1620031,0.05707834,-0.4087793,0.07030596,1.605547,18.65028,266.0955,55.88117,
110.257,0.009764464,-0.001135488,-0.007632007,-0.007327836,-0.06044345,0.01256624,0.07171269,0.3619285,1.664593,354.2101,357.3259,357.6784,-0.01589867,-0.01437878,0.04265653,-0.02887397,-0.0432742,0.2044601,-0.1931194,0.3904732,1.767446,277.2379,119.9122,318.462,0.03731152,0.009548892,0.02981261,-0.03231592,-0.2639444,0.1103446,-0.4092061,0.07001781,1.605558,18.58171,266.3669,55.66028,
123.683,0.008306828,0.0005541263,-0.009690947,0.005688584,-0.06058151,0.01191864,0.07182762,0.361969,1.664407,354.1836,357.3741,357.6765,-0.02787108,-0.01805826,0.03400211,0.112364,-0.1335624,0.1547336,-0.1933101,0.3901243,1.76776,277.0656,121.303,317.3911,0.03030614,0.005988364,0.03260838,0.008353882,-0.2989983,0.2107993,-0.4092545,0.06978885,1.605632,18.57116,266.7902,55.58481,
137.754,0.006806967,0.001916982,-0.01198834,0.0205468,-0.05974173,0.005791065,0.07188456,0.3620288,1.664184,354.1435,357.4151,357.6929,-0.03138921,-0.01847589,0.0248044,0.1480921,-0.1371861,0.09430747,-0.1936434,0.3904035,1.767923,277.0206,122.3393,316.5331,0.02130849,-0.00638903,0.04194332,0.05212855,-0.2651528,0.3692163,-0.4096541,0.06919035,1.606235,18.65656,267.3935,55.72858,
151.779,0.005021527,0.0024199,-0.01439465,0.03104572,-0.05844299,0.0001388156,0.07190109,0.3620679,1.663921,354.1072,357.4537,357.7097,-0.03058544,-0.01817401,0.02163003,0.07474302,-0.1295861,0.08479471,-0.1938276,0.390072,1.768083,276.9122,122.4015,316.4265,0.01795596,-0.02060604,0.04287344,0.06626867,-0.1328626,0.4484388,-0.411117,0.06870557,1.604934,18.80559,267.9079,56.10104,
165.987,0.003163982,0.00238879,-0.01669287,0.04115053,-0.05103735,-0.007894419,0.07186778,0.3620765,1.66362,354.0594,357.4733,357.7345,-0.02378069,-0.01594456,0.02300467,-0.06134578,-0.06972627,0.1246322,-0.1938374,0.3898352,1.768268,276.8369,120.9115,317.7137,0.02433005,-0.0197391,0.02426137,-0.009445801,-0.07257818,0.1934077,-0.4117548,0.06850392,1.604607,18.69745,267.6411,56.02977,
179.6,0.0009322655,0.00256025,-0.01907757,0.0543085,-0.03756061,-0.01138338,0.07179368,0.3620932,1.663283,353.9986,357.4744,357.7526,-0.01774287,-0.01464971,0.02436954,-0.1030479,-0.01342334,0.1593515,-0.1940259,0.3895551,1.768431,276.7608,119.0627,319.4617,0.02804736,-0.01848266,0.01589225,-0.1002856,0.009176835,0.1457781,-0.411911,0.0682898,1.604041,18.54205,267.6345,56.23987,
193.605,-0.001545303,0.003651773,-0.02132099,0.06496482,-0.02081504,-0.0103754,0.0716193,0.3622103,1.66286,353.9291,357.46,357.7615,-0.0125596,-0.01630188,0.02304344,-0.08054117,0.0332839,0.1637829,-0.1941472,0.3891668,1.768658,276.7709,117.7168,320.8062,0.02849957,-0.01840485,0.01126738,-0.1947671,0.09199101,0.1977572,-0.4119431,0.06819852,1.603221,18.33563,267.8177,56.65724,
207.492,-0.004406127,0.004802693,-0.0232608,0.08346517,-0.007042874,-0.004652677,0.07147995,0.3623116,1.662499,353.8307,357.4436,357.761,-0.012101,-0.02181666,0.01998163,-0.05120263,0.015879,0.1416819,-0.1942037,0.3886286,1.76879,276.7256,117.2836,321.2585,0.03036783,-0.01772866,0.003737409,-0.2561139,0.1599731,0.1929381,-0.4122595,0.06826739,1.602462,18.13639,267.8982,57.04064,
220.806,-0.006671903,0.00571823,-0.02507687,0.1040631,0.009569275,-0.005889741,0.0713626,0.3623953,1.662115,353.72,357.4029,357.7788,-0.01020883,-0.02753744,0.01689855,-0.01682276,0.01733495,0.1182755,-0.1942454,0.3882706,1.768913,276.7177,116.9005,321.6863,0.03451195,-0.01562962,-0.006250714,-0.309181,0.2058759,0.1332593,-0.4125154,0.06825837,1.601877,17.90278,267.8371,57.3547,
235.063,-0.009263612,0.006693734,-0.02685536,0.1217665,0.0204816,-0.004085761,0.07121421,0.3624931,1.661718,353.6036,357.367,357.7853,-0.007886733,-0.03319519,0.01264338,0.003776576,0.005706431,0.0843142,-0.1942139,0.3877142,1.768991,276.7021,116.8423,321.7768,0.03511005,-0.01599088,-0.01157351,-0.3221455,0.2191981,0.1231941,-0.4128462,0.06821395,1.601399,17.70891,267.8589,57.65521,
248.864,-0.0117668,0.007440447,-0.02889456,0.1367039,0.03322165,-0.005189435,0.0710349,0.3625905,1.661282,353.4747,357.3143,357.7988,-0.003050763,-0.03682057,0.009115474,0.01311391,0.0240959,0.05709864,-0.1940413,0.3871966,1.769079,276.7296,116.6167,322.0229,0.03420844,-0.0170148,-0.01311474,-0.3280739,0.2250692,0.1479602,-0.4132346,0.06819972,1.60106,17.52386,267.97,57.98845,
262.844,-0.01422139,0.0079101,-0.03108356,0.1511673,0.04364986,-0.01244015,0.07078752,0.362708,1.660795,353.3369,357.2515,357.8344,0.003082182,-0.03964426,0.007616394,0.001234261,0.05211768,0.03194056,-0.1938063,0.3865477,1.769224,276.7882,116.2962,322.3295,0.0360101,-0.01708012,-0.01947204,-0.3257032,0.2113014,0.08836494,-0.4134111,0.06827827,1.600634,17.32724,267.9044,58.18575,
276.967,-0.01628224,0.00838091,-0.03324534,0.1706599,0.05343846,-0.02560647,0.07051229,0.3628493,1.660277,353.1787,357.1786,357.8844,0.007641437,-0.04119005,0.01106333,-0.05205974,0.0776836,0.05076131,-0.1936143,0.3857657,1.769451,276.8294,115.0593,323.4711,0.03718402,-0.01766607,-0.02599912,-0.2859974,0.1537938,-0.003253524,-0.4140435,0.0684555,1.600525,17.17239,267.7368,58.18459,
290.943,-0.01820143,0.009882695,-0.03531008,0.1868372,0.06000874,-0.03955347,0.07021917,0.3630277,1.659734,353.0123,357.1046,357.9492,0.008949404,-0.04211238,0.01535776,-0.09228964,0.08818157,0.06656776,-0.1935234,0.3849746,1.76977,276.8572,113.6797,324.7218,0.0384567,-0.0229436,-0.02871796,-0.1883122,0.08672278,-0.06924918,-0.4143172,0.06841956,1.60055,17.15467,267.5796,58.06166,
304.698,-0.02049605,0.01256844,-0.03751072,0.2161348,0.06463543,-0.04712119,0.06982446,0.3632985,1.659118,352.7997,357.0279,358.0048,0.005285815,-0.04353696,0.02230388,-0.1449294,0.05971083,0.1082697,-0.1935486,0.384283,1.770116,276.7637,112.1402,326.1063,0.03887276,-0.02974195,-0.02422289,-0.06765571,0.008681932,-0.1025153,-0.4148137,0.06837608,1.600957,17.24319,267.4735,57.83972,
318.956,-0.02389896,0.01716812,-0.0395849,0.2481795,0.06270817,-0.0538164,0.06936367,0.3636592,1.65852,352.5581,356.9569,358.0779,-0.0002700327,-0.04500358,0.02885379,-0.1430385,0.02443372,0.1542097,-0.1936389,0.3835757,1.770491,276.6341,110.5559,327.6319,0.03748914,-0.03697909,-0.01213281,0.01668376,-0.04811287,-0.06188016,-0.4153244,0.06823698,1.601671,17.34499,267.5269,57.68908,
332.817,-0.02711461,0.02259832,-0.04235839,0.2768067,0.07070958,-0.07094324,0.06892184,0.3640952,1.657841,352.3097,356.8492,358.1869,-0.005671526,-0.04550407,0.03329438,-0.0844592,0.001261875,0.1917181,-0.1937671,0.3829423,1.770899,276.5293,109.107,329.1598,0.03556802,-0.04499621,0.002762983,0.05099221,-0.03225718,0.0484082,-0.4156621,0.06788866,1.602279,17.44821,267.7419,57.76421,
