time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.637,-0.001815743,0.0005253199,-0.009757727,0.001949086,-0.004542477,0.01068383,0.1855827,0.06156769,-0.2359722,358.1443,356.8413,358.8394,-0.00402459,0.002421282,-0.00852803,-0.01152561,0.00672345,-0.009410976,0.5715504,-0.247363,-0.08731316,9.395489,37.368,343.1974,0.01229763,-0.004187376,0.005322604,-0.1578969,0.08464886,0.02077247,0.1962342,-0.07875241,-0.09637948,325.4881,339.8324,351.2812
13.367,-0.001876186,0.0006031631,-0.01017588,0.003973925,-0.009960044,0.0102246,0.1855522,0.06154659,-0.2361175,358.1365,356.8581,358.8327,-0.003632635,0.003773338,-0.01013414,-0.01109414,0.001447085,-0.01407147,0.5714877,-0.2473009,-0.08748785,9.384165,37.37238,343.2102,0.008445645,-0.002734251,0.00363507,-0.108307,0.03696534,0.0008736828,0.1963004,-0.0787478,-0.09632199,325.5046,339.812,351.3182
26.371,-0.002169931,0.0006822359,-0.0104291,0.004802556,-0.01528706,0.01068336,0.1855153,0.06155771,-0.2362695,358.1288,356.8777,358.8246,-0.003297148,0.003705589,-0.0110193,-0.006390471,0.004036579,-0.003907378,0.5714445,-0.2472449,-0.08764583,9.380868,37.37255,343.2156,0.009891219,0.00140166,0.0009980298,-0.08069431,-0.04994636,0.05381725,0.1963478,-0.07871128,-0.09638458,325.5019,339.9319,351.297
40.18,-0.002333991,0.001031542,-0.01075493,0.006416103,-0.01731224,0.01425785,0.1854776,0.06158204,-0.2364287,358.1172,356.8988,358.8077,-0.002296773,0.004486409,-0.01324467,-0.01571657,-0.01131787,-0.007608237,0.5714126,-0.2471863,-0.08784547,9.377929,37.38496,343.2252,0.005830234,0.003787911,-0.003588963,-0.04676735,-0.04770572,0.04962405,0.1963552,-0.07868181,-0.09649476,325.4968,339.9978,351.2809
53.907,-0.002698442,0.001724365,-0.01106163,0.008938082,-0.0240083,0.009642879,0.1854499,0.06163128,-0.2365876,358.1034,356.9282,358.8153,-0.00133952,0.004988368,-0.01426123,-0.01584643,-0.01807734,0.005061875,0.5713836,-0.2470886,-0.08807193,9.3823,37.40708,343.2326,-0.002048025,0.005015083,-0.01249626,0.01458031,0.02970751,0.02618407,0.1963036,-0.07866015,-0.0966299,325.4676,339.975,351.2658
67.969,-0.002898169,0.002307403,-0.01135414,0.01181648,-0.0254733,0.003644873,0.1854395,0.06169055,-0.2367487,358.0905,356.9476,358.8217,-0.002476712,0.009142226,-0.01534971,-0.02052663,-0.02303219,-0.05133818,0.5713182,-0.2469941,-0.08831414,9.326839,37.43834,343.2574,-0.01170856,0.003271588,-0.01709366,0.0170444,0.09534102,-0.0606914,0.1960573,-0.07851438,-0.09700686,325.5027,339.8121,351.2496
82.117,-0.00328782,0.00233725,-0.01173112,0.0165842,-0.02584521,-3.078909e-05,0.1854115,0.06173369,-0.2369177,358.0683,356.9664,358.829,-0.003363863,0.006583236,-0.01263742,-0.01367035,0.009468794,-0.001011376,0.571314,-0.2468964,-0.08845188,9.347163,37.42618,343.261,-0.01765902,0.003008562,-0.02418097,0.06984385,0.1127592,-0.06891951,0.1959477,-0.07875509,-0.09776062,325.4609,339.5827,351.291
95.708,-0.00389477,0.001768867,-0.01225422,0.01680406,-0.02701627,-0.00208354,0.1853419,0.06174317,-0.2371019,358.0606,356.9891,358.8332,-0.004488244,0.008142828,-0.01282777,-0.03667741,0.01292585,-0.05014161,0.5711941,-0.2467986,-0.08870976,9.301429,37.4312,343.3166,-0.01884865,0.003471869,-0.02634564,0.07897386,0.06061035,-0.04968236,0.1956958,-0.07863288,-0.09783917,325.4406,339.535,351.3605
110.031,-0.00457716,0.001102471,-0.01283494,0.01557093,-0.02475126,-0.0002369132,0.1852607,0.06174051,-0.2372957,358.0501,357.0034,358.8292,-0.004125156,0.002034509,-0.01087772,-0.02766382,0.03357497,0.03160496,0.5712566,-0.2467665,-0.08879401,9.360485,37.40965,343.3264,-0.01913843,0.003546317,-0.0229483,0.04324209,-0.03919785,-0.06827711,0.1953589,-0.07831293,-0.09782051,325.5024,339.539,351.4947
123.867,-0.005393044,0.0003788697,-0.01345059,0.01368284,-0.02261865,-0.001694126,0.1851668,0.06172645,-0.2374974,358.0412,357.0174,358.8359,-0.004523571,0.0007109169,-0.01124708,-0.01912602,0.03158528,0.03171781,0.5711855,-0.246717,-0.08900407,9.36619,37.40306,343.3451,-0.01514223,0.004918983,-0.02271786,0.05277523,-0.07087508,-0.02041592,0.1955164,-0.07859311,-0.0985323,325.4511,339.5684,351.5661
