time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.473,-0.3604876,0.00960952,0.3344578,0.3901192,4.607123,0.5790683,0.1280526,0.353715,1.824659,7.911819,27.05296,358.9697,-1.426852,0.05136532,0.4043271,0.2192322,4.890619,-1.37439,0.02880067,0.02875726,1.993783,353.8544,75.86214,349.2641,-0.9879013,0.0799382,1.157288,-1.759163,4.607936,0.09028772,0.3010904,0.001339989,1.919244,4.461841,343.3443,20.01843,
12.356,-0.3884268,0.00718705,0.3093461,0.3772509,4.647806,0.6102376,0.1220047,0.3537419,1.82821,7.926003,23.2358,358.9001,-1.466573,0.06798042,0.2937529,0.1620667,4.907637,-1.295022,0.009268925,0.0300941,1.991279,353.8356,71.81792,349.1567,-1.074622,0.03398473,1.106786,-1.976208,4.491133,-0.2676087,0.2870887,0.001539563,1.934927,5.214151,339.4683,20.12058,
25.394,-0.41284,0.004123817,0.2821584,0.3343686,4.682948,0.643638,0.1156434,0.3536817,1.831274,7.951233,19.39823,358.8769,-1.495202,0.07681573,0.1981263,0.1026841,4.951999,-1.161586,-0.009915069,0.0313265,1.987841,353.8474,67.71787,349.2754,-1.145846,0.01633213,1.045064,-1.849614,4.526427,-0.5666952,0.272369,0.001760649,1.948991,5.425632,335.5751,20.5548,
39.07,-0.4376964,0.0007751752,0.2503179,0.2617581,4.721718,0.6678723,0.1089454,0.3536134,1.834052,8.004654,15.53131,358.8873,-1.51732,0.08034702,0.07087973,-0.03133857,5.021856,-0.9985584,-0.02910303,0.03239735,1.981899,353.8374,63.5273,349.6763,-1.248302,0.01512909,0.9425104,-1.521289,4.747495,-0.8115402,0.2552983,0.001891321,1.961131,5.106142,331.4485,21.43199,
53.185,-0.4604694,-0.002100848,0.2165819,0.1894111,4.770662,0.6931596,0.1020044,0.3535598,1.836303,8.08478,11.59588,358.8823,-1.527673,0.07618448,-0.04523793,-0.1000861,5.065215,-0.9089947,-0.0479431,0.03330705,1.974831,353.8618,59.34433,350.0278,-1.330333,0.01026535,0.8363975,-1.39994,4.888753,-0.9622298,0.2380026,0.002029749,1.97214,4.976604,327.2167,22.06541,
67.09,-0.4818193,-0.00540685,0.1794381,0.1581335,4.807475,0.7142244,0.09489679,0.3534254,1.83798,8.092006,7.665082,358.8174,-1.529326,0.07045517,-0.1656024,-0.1294189,5.092708,-0.9509311,-0.06643996,0.03387536,1.966129,353.7565,55.13165,350.268,-1.399385,0.007777392,0.7267326,-1.529593,4.937355,-1.002517,0.2197523,0.002324895,1.982715,5.009437,322.8541,22.04944,
81.289,-0.497777,-0.007502047,0.1438238,0.1413941,4.818944,0.7355549,0.08766547,0.3532861,1.83905,8.069759,3.76218,358.7361,-1.512196,0.06037563,-0.3031381,-0.06439131,5.113509,-1.010873,-0.08368998,0.03445832,1.955639,353.6696,50.91367,350.3746,-1.451095,0.01569322,0.6184538,-1.763276,4.88115,-0.9793866,0.2017211,0.00303875,1.99117,5.025902,318.5412,21.45075,
95.375,-0.5105284,-0.008776207,0.106979,0.1089795,4.809739,0.7575199,0.08046372,0.3531416,1.839612,8.075151,359.8893,358.668,-1.489017,0.05028719,-0.4246206,0.003220707,5.115509,-1.080351,-0.1005009,0.03460527,1.944207,353.5249,46.70877,350.4724,-1.488221,0.03085057,0.5136471,-2.022133,4.772354,-0.9794106,0.1822051,0.003877796,1.999542,5.014636,314.3,20.41847,
109.782,-0.519396,-0.0101707,0.06984241,0.05290539,4.813668,0.7467301,0.07368159,0.3528282,1.839787,8.081328,356.0105,358.6686,-1.453415,0.0345103,-0.5410869,0.01984669,5.107126,-1.053403,-0.1157521,0.03477236,1.931915,353.5018,42.54676,350.7069,-1.51308,0.04878841,0.408029,-2.257054,4.691626,-1.00635,0.1637574,0.004697309,2.005235,4.828912,310.0517,19.0657,
123.153,-0.526431,-0.01129535,0.03306237,-0.0006555859,4.831845,0.725736,0.06676216,0.3525385,1.83948,8.09584,352.1035,358.6746,-1.409505,0.01656854,-0.6506709,0.01910517,5.092792,-1.043765,-0.1310852,0.0339979,1.917995,353.4652,38.40106,351.0042,-1.537648,0.04653057,0.3022889,-2.23898,4.639697,-1.218466,0.1431766,0.004924458,2.010789,4.922444,305.8613,18.01371,
