time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.486,-0.1129927,-0.03743091,-0.4648938,-0.1742594,4.366783,0.03808767,0.6101973,0.591755,0.2252182,6.735139,266.6187,359.3661,0.03439504,-0.06795847,-1.584383,1.658994,4.92192,-0.1940291,0.4729139,0.2596181,0.1339654,347.45,306.0794,351.7089,-0.637655,-0.01095279,-1.248212,0.753189,4.371119,-2.808038,0.5134587,0.2770252,0.3566496,0.4306048,258.6359,33.14655,
12.305,-0.08736621,-0.035875,-0.4701668,-0.2112044,4.314287,0.0435141,0.6096146,0.591336,0.2185847,6.959163,263.2519,359.3741,0.140002,-0.08216406,-1.575622,1.691804,4.891771,-0.1007413,0.4790734,0.2584132,0.1159513,347.733,301.928,352.0553,-0.564007,-0.007646942,-1.263194,0.9674176,4.028186,-2.747854,0.5067832,0.2773005,0.3417458,0.6376045,255.1549,32.52892,
25.483,-0.06289153,-0.03546464,-0.4734365,-0.2434071,4.265167,0.02703656,0.6094038,0.5908298,0.2119882,7.188957,259.9162,359.3492,0.2304825,-0.09397879,-1.564964,1.719059,4.885996,0.0001428425,0.4859567,0.2572286,0.09844795,348.0737,297.7434,352.4254,-0.4790845,0.007614451,-1.289068,1.092257,3.936952,-2.712777,0.5004021,0.2776956,0.3267766,0.5957766,251.343,32.04186,
39.058,-0.03587703,-0.03474925,-0.4742694,-0.2469373,4.196277,-0.0006239265,0.6095607,0.5903609,0.2054585,7.4334,256.6818,359.2569,0.3328696,-0.1043098,-1.544848,1.728542,4.888275,0.1276206,0.4945585,0.2558495,0.08135645,348.4151,293.544,352.8251,-0.4018729,0.02102616,-1.304665,1.084007,3.737766,-2.550312,0.495326,0.277919,0.310933,0.3491034,247.9966,31.78298,
53.267,-0.01033726,-0.03412593,-0.4710014,-0.2507176,4.101717,-0.02230428,0.6099961,0.5898347,0.1988949,7.641652,253.5553,359.2026,0.4332566,-0.1125837,-1.515504,1.7164,4.883095,0.2543991,0.5037448,0.2546284,0.06540526,348.7892,289.3727,353.2277,-0.3188058,0.01165368,-1.323008,1.185138,3.644263,-2.321826,0.4914619,0.2774487,0.2949023,0.3794463,244.6741,31.60177,
67.258,0.01365465,-0.03183037,-0.4636327,-0.2772324,3.987251,-0.009967938,0.6107717,0.5894679,0.1925136,7.862478,250.5459,359.2653,0.5316558,-0.117713,-1.476312,1.668407,4.851433,0.4010589,0.5147443,0.2532004,0.04958864,349.1242,285.2786,353.665,-0.2421857,-0.01767206,-1.342428,1.309917,3.708529,-1.942366,0.4878379,0.2769246,0.2782622,0.9589461,241.3191,31.75042,
80.904,0.03524171,-0.02920776,-0.4552723,-0.3406557,3.862128,0.0009092689,0.6117311,0.5890192,0.1862639,7.948723,247.6301,359.3694,0.6241991,-0.1216227,-1.424616,1.600957,4.817159,0.5255511,0.5253644,0.2519082,0.03565238,349.49,281.2321,354.0827,-0.175375,-0.05200355,-1.351448,1.264895,3.718686,-1.476222,0.4852115,0.2765636,0.2612821,1.847545,238.3344,32.2625,
94.966,0.0557773,-0.02652683,-0.4478348,-0.4090873,3.759597,-0.01971781,0.6130147,0.5887361,0.180183,8.027442,244.7383,359.4675,0.7095798,-0.1218709,-1.357964,1.479207,4.733849,0.62952,0.5381622,0.2505602,0.02202879,349.7863,277.3693,354.4507,-0.08985555,-0.09416753,-1.343992,1.307344,3.74486,-1.147148,0.4853813,0.2747655,0.2458596,2.953527,235.341,32.52135,
109.23,0.07670894,-0.02456788,-0.4411964,-0.4452596,3.677402,-0.05434164,0.6145902,0.5883671,0.1742038,8.10941,241.9039,359.5529,0.7842083,-0.1247636,-1.28266,1.376343,4.624535,0.7165582,0.5497094,0.2490918,0.01021568,350.1396,273.6405,354.8411,0.02139574,-0.1204956,-1.346891,1.284595,4.128009,-1.009524,0.4854639,0.274569,0.2291615,4.212239,231.5876,33.18516,
122.568,0.09759767,-0.02408846,-0.4330393,-0.4460465,3.593073,-0.08112498,0.6164854,0.5880371,0.168261,8.254642,239.1574,359.611,0.84709,-0.1281374,-1.201443,1.302588,4.512071,0.7520879,0.5634451,0.2478706,-0.001170781,350.6274,270.0336,355.1282,0.1403933,-0.07580215,-1.3255,1.478785,4.260014,-1.436312,0.4878255,0.2756569,0.2151687,4.208163,227.229,33.17791,
136.264,0.1170776,-0.02495215,-0.4220217,-0.4368339,3.496791,-0.08603979,0.6185527,0.5876054,0.162538,8.409204,236.5047,359.6792,0.9022018,-0.1261022,-1.121238,1.176543,4.454007,0.7673241,0.5757796,0.2464648,-0.011115,350.9811,266.438,355.3076,0.222625,-0.0123536,-1.282485,1.783714,3.934628,-1.73774,0.489419,0.2761489,0.2000785,3.476006,223.4928,32.58701,
150.437,0.1343955,-0.02662865,-0.4090317,-0.4154025,3.393863,-0.09929802,0.6207926,0.5872065,0.1571752,8.563935,233.9245,359.7033,0.9437513,-0.1244376,-1.039675,1.098374,4.412773,0.7415375,0.5895177,0.2453102,-0.02022471,351.4055,262.8824,355.3136,0.2852387,0.003699685,-1.240814,1.949027,3.73824,-1.563443,0.4927557,0.2763319,0.1861337,3.45031,220.1474,32.06392,
164.473,0.1492466,-0.026961,-0.3944423,-0.4093984,3.306383,-0.1067987,0.6231503,0.5868676,0.1520758,8.728557,231.3872,359.792,0.9735871,-0.1215488,-0.9567662,1.021488,4.370574,0.7243626,0.602269,0.2440598,-0.02805515,351.7973,259.3794,355.2544,0.3547419,-0.0134461,-1.193547,1.887829,3.843688,-1.316768,0.4961812,0.2760175,0.1722656,3.957579,216.6141,32.05117,
178.226,0.1608053,-0.02629562,-0.3797176,-0.4303418,3.242214,-0.1249672,0.6256509,0.5865341,0.1471874,8.862827,228.8832,359.8973,0.9885622,-0.119479,-0.8689792,1.001738,4.273997,0.7320468,0.615216,0.2431351,-0.03473326,352.3537,256.033,355.1318,0.4162292,-0.03115004,-1.135307,1.529047,3.935163,-1.347192,0.5005938,0.2759411,0.1596237,4.401114,213.2389,32.96495,
192.134,0.1717575,-0.0244802,-0.3632593,-0.4221607,3.169316,-0.1465188,0.6285081,0.58626,0.1425954,9.019563,226.4597,359.9184,0.9912079,-0.109575,-0.7759312,0.9208038,4.103206,0.7365272,0.6275777,0.2424281,-0.04035224,352.8116,252.9571,355.0182,0.4630955,-0.0304407,-1.06806,1.160325,3.863132,-1.668994,0.5055492,0.2761829,0.1476948,4.439977,210.1519,34.57506,
205.99,0.1802745,-0.02377291,-0.3455611,-0.388716,3.072968,-0.1671022,0.6313994,0.5858139,0.1382691,9.13592,224.1601,359.9165,0.9809012,-0.09251654,-0.6840138,0.8110477,3.916729,0.7327908,0.6395789,0.2420886,-0.04494897,353.1812,250.0638,354.9156,0.4950512,-0.009213636,-0.9933002,1.150223,3.652998,-1.915081,0.5103285,0.2770079,0.1370122,4.182788,207.1397,35.89243,
219.791,0.1858779,-0.02358838,-0.3260018,-0.3459018,2.962221,-0.1643516,0.6341012,0.5854982,0.134294,9.324703,221.9491,359.8705,0.9578929,-0.07016307,-0.5958699,0.6592178,3.706283,0.7339253,0.6507925,0.2420531,-0.04872816,353.4537,247.3719,354.9284,0.4927867,0.03064995,-0.914418,1.430611,3.189845,-1.733243,0.5142531,0.2783797,0.1271275,3.740442,204.5584,36.13241,
233.994,0.1881464,-0.02501571,-0.3056028,-0.3134142,2.82912,-0.1608996,0.6366739,0.5850705,0.1305429,9.472119,219.8911,359.8415,0.9297558,-0.04740541,-0.5241102,0.4965313,3.533848,0.7120673,0.6613725,0.2421964,-0.05194432,353.6041,244.7742,355.0052,0.4704299,0.06401111,-0.8471361,1.736329,2.735155,-1.229636,0.5178524,0.2797203,0.1179212,3.382881,202.3128,35.46935,
247.927,0.1871905,-0.02649842,-0.2846795,-0.2853708,2.682886,-0.1587621,0.6392264,0.5846782,0.1271255,9.606017,217.9464,359.7852,0.8830882,-0.02091546,-0.445454,0.3285278,3.315225,0.659808,0.6708829,0.2426945,-0.05412814,353.639,242.4438,355.1631,0.4341714,0.08849534,-0.7721702,1.955099,2.305528,-0.534808,0.5209739,0.2810185,0.1097297,3.164517,200.4695,34.02708,
261.665,0.1838235,-0.02747747,-0.2635084,-0.26761,2.534329,-0.155129,0.6417804,0.5843371,0.1239933,9.757564,216.1228,359.7528,0.8241775,0.00464213,-0.3698622,0.1726469,3.071235,0.578805,0.6793434,0.2433797,-0.05556252,353.5757,240.3572,355.3717,0.4012945,0.09504393,-0.7071896,1.976156,2.040273,-0.02871011,0.5240345,0.282097,0.1022109,3.080273,198.7619,32.66798,
275.777,0.1789437,-0.02734077,-0.2426163,-0.2577462,2.389406,-0.1381954,0.6442442,0.5840064,0.1211448,9.921491,214.3978,359.6958,0.7537596,0.02642592,-0.2972479,0.05009738,2.781115,0.4764833,0.6866418,0.2441406,-0.05641034,353.4471,238.5905,355.5843,0.3679996,0.08640082,-0.6315924,1.850415,1.839118,0.2747934,0.5269684,0.2825377,0.09600629,3.052337,197.2637,31.53495,
289.83,0.1728276,-0.02523885,-0.2224538,-0.240466,2.251713,-0.1142011,0.6464734,0.5837626,0.1184817,10.09778,212.7995,359.6267,0.6732512,0.04224132,-0.2321616,-0.03030577,2.492157,0.3833113,0.6926615,0.2449374,-0.05681046,353.3108,237.0595,355.7878,0.3427302,0.0602402,-0.5572962,1.54365,1.747051,0.2481621,0.5297732,0.2825652,0.09056623,3.165545,195.8389,31.18647,
303.724,0.1642857,-0.02288299,-0.2024627,-0.2163055,2.109188,-0.09977618,0.6484644,0.5834584,0.116152,10.22645,211.3095,359.5368,0.5838543,0.0525532,-0.1743639,-0.08812026,2.182969,0.2992887,0.6973806,0.2457501,-0.05683509,353.1732,235.81,355.9919,0.3126822,0.03661336,-0.4803687,1.218107,1.54435,-0.02757784,0.5323849,0.2824118,0.08620401,3.078389,194.7684,31.51562,
317.464,0.1528157,-0.02048515,-0.1818494,-0.1990233,1.952269,-0.08500095,0.6502242,0.5832133,0.1140857,10.38076,209.974,359.4635,0.488727,0.0566504,-0.1244418,-0.1157938,1.868626,0.2341651,0.7008291,0.2464543,-0.05659401,353.07,234.8217,356.1646,0.279958,0.01754141,-0.4068236,0.9542724,1.314513,-0.3098898,0.5345772,0.2821363,0.08265893,2.890644,193.9288,32.10018,
