time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.468,-0.06403399,-0.2676501,0.1494282,0.2932738,-0.1276037,0.1217383,-0.1242304,0.1243557,-0.09829092,348.0881,6.902751,355.6018,-0.2094406,-0.6235693,0.3134747,0.7542026,-2.450989,-1.967101,-0.2705469,-0.2222288,0.03721654,313.2781,308.0229,31.77571,0.05608261,-0.6757021,0.2585529,-1.373104,-0.9403481,-0.08869691,0.003233972,-0.2183342,0.06096386,343.4428,3.118359,344.7574,
13.048,-0.06949528,-0.3320611,0.1449209,0.3316647,-0.120922,0.07869026,-0.1252611,0.1187868,-0.09628201,347.8277,6.998182,355.524,-0.1860252,-0.7568738,0.305319,1.006562,-2.50057,-1.9936,-0.270564,-0.2332134,0.04076315,315.8987,306.8456,33.25468,0.04502,-0.7590281,0.2434273,-1.450918,-0.8133144,0.1118483,0.002856652,-0.2293859,0.06351575,344.506,4.007555,344.7723,
26.432,-0.07395683,-0.3959653,0.1361965,0.2520812,-0.1143064,0.03722984,-0.1263516,0.1123022,-0.09459758,347.7562,7.071245,355.5335,-0.1380086,-0.8763326,0.3069679,0.9103859,-2.54141,-1.739238,-0.2702363,-0.2453031,0.04418523,318.2587,306.6976,34.0921,0.03735998,-0.851099,0.2144244,-1.508438,-0.4586057,0.4125929,0.003053586,-0.2413054,0.06593806,345.7434,4.642235,344.3219,
40.469,-0.07739204,-0.4602884,0.1183113,0.04947114,-0.09049396,-0.03982974,-0.1274853,0.1048562,-0.09342647,347.9051,7.064103,355.7047,-0.08584273,-0.9601414,0.3020272,0.6793313,-2.436858,-1.319047,-0.270398,-0.2577417,0.04741795,320.0828,307.2121,34.48776,0.06378367,-0.9124176,0.1892334,-1.552019,-0.1687789,0.8693382,0.004492866,-0.2530887,0.06806336,347.115,5.332868,343.42,
54.645,-0.08091438,-0.5291031,0.0935159,-0.1802711,-0.05004925,-0.1422183,-0.128613,0.09641892,-0.09249759,348.2183,6.967734,356.0052,-0.06339513,-1.010506,0.2720504,0.5309875,-2.082478,-1.163904,-0.2704725,-0.2709737,0.04955833,321.5612,307.3646,34.74076,0.1171728,-0.9499826,0.1618627,-1.306652,0.3044923,1.648375,0.006817044,-0.2658011,0.06945942,348.3495,5.897938,341.4147,
68.166,-0.08382346,-0.5964662,0.06657866,-0.3636651,0.003150473,-0.204608,-0.1297238,0.0872691,-0.09177995,348.5929,6.836007,356.2855,-0.08594085,-1.029923,0.2069081,0.6703389,-1.490207,-1.191995,-0.2723389,-0.283502,0.05132911,322.6714,306.5861,35.39312,0.1538186,-1.001035,0.1522446,-1.187135,1.104272,2.209069,0.01010665,-0.2790176,0.07185331,349.9595,5.582333,338.9937,
82.031,-0.08432899,-0.6412044,0.04961194,-0.4851868,0.04791267,-0.1703497,-0.1308234,0.07828954,-0.09101129,349.0281,6.747892,356.437,-0.1828929,-1.026029,0.07525052,1.339231,-0.5368156,-1.596488,-0.2748834,-0.2965915,0.05123673,323.5773,303.8196,37.15039,0.2372834,-1.052427,0.1271219,-1.468802,1.333812,2.497303,0.0161333,-0.2922852,0.07249944,352.1117,5.548341,336.9005,
96.149,-0.08099932,-0.6520905,0.03908652,-0.4596616,0.05745048,-0.1526745,-0.1318319,0.06957971,-0.09057498,349.2594,6.654371,356.6218,-0.2644086,-0.9840858,-0.03806827,1.715064,0.3960408,-1.781511,-0.2781751,-0.3080927,0.05137803,324.0451,300.5432,38.95224,0.4283138,-1.066933,0.08097663,-2.096832,0.6664155,2.922782,0.02474536,-0.3031295,0.07315139,354.729,7.152232,334.88,
110.822,-0.0754282,-0.6291329,0.03742598,-0.3051036,0.0551674,-0.1608427,-0.132755,0.06180058,-0.08986092,349.3154,6.557915,356.7593,-0.298165,-0.8719428,-0.103061,1.396833,1.379649,-1.437787,-0.2819769,-0.3184149,0.05126494,323.1656,297.8589,39.9742,0.6726746,-1.012199,-0.007198259,-2.126788,-0.383724,3.839801,0.03576094,-0.313659,0.07031006,356.7943,9.990426,331.8452,
123.691,-0.06773348,-0.568954,0.04239583,-0.1855478,0.07453077,-0.1424974,-0.1335406,0.05539894,-0.08908844,349.3532,6.448492,356.8383,-0.3304011,-0.7006618,-0.1417953,0.6475639,2.371037,-1.385906,-0.2884492,-0.324542,0.0512314,321.4185,295.4436,39.78123,0.8545943,-0.9053689,-0.1156955,-1.474192,-1.196362,4.832534,0.04683698,-0.3221126,0.0679726,358.0713,12.9642,327.6387,
