time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.459,-0.02704078,-0.001723773,-0.0008773586,0.03817599,-0.0346971,0.03182155,0.1415963,0.1111073,1.003846,6.1981,219.7719,359.7562,-0.02237749,0.02875718,-0.01556853,-0.04387716,-0.009988554,0.004657095,0.02164667,-0.2917294,0.7378379,2.974915,227.983,28.99311,-0.03302611,0.03466129,-0.002984119,0.2001075,-0.1340172,0.03515995,-0.09402952,-0.2863413,0.8392069,355.8985,212.963,341.7502,
13.104,-0.02762927,-0.0004335984,-0.0007188356,0.04609019,-0.04222929,0.01868594,0.1411941,0.1111354,1.003835,6.183665,219.8106,359.7172,-0.01999437,0.02728596,-0.01865931,-0.04923757,0.01377258,-0.007215119,0.02137924,-0.2914292,0.7375225,2.964634,227.9755,29.04476,-0.02440331,0.03602037,-0.008029077,0.1891031,0.001337593,0.06441768,-0.09434824,-0.2858819,0.8389751,355.871,212.8615,341.5705,
26.576,-0.02786867,0.0004242904,-0.0009369716,0.05953813,-0.04385712,0.0007794485,0.1408102,0.1111438,1.00381,6.153858,219.8418,359.6606,-0.01754777,0.02351771,-0.02261333,-0.008971417,0.05039261,-0.006321581,0.02110908,-0.2911584,0.7372077,2.985419,227.9172,29.05186,-0.02167203,0.03312935,-0.01508806,0.1860179,0.0844779,0.1209995,-0.09495986,-0.2855323,0.8385798,355.8937,212.7158,341.3536,
40.635,-0.02790925,0.001297842,-0.0008668059,0.05689196,-0.03884948,-0.00669788,0.1404268,0.1111692,1.003807,6.136462,219.8623,359.6285,-0.01795949,0.02180695,-0.02277775,0.00301864,0.04455323,-0.003349103,0.02081865,-0.2909384,0.7369112,2.999437,227.8889,29.05025,-0.03301046,0.02305593,-0.01718794,0.1176094,-0.04328871,0.1599107,-0.09557376,-0.28532,0.8382832,356.0847,212.8389,341.2771,
54.139,-0.02786715,0.001534879,-0.0003907961,0.04236761,-0.02767403,-0.008275016,0.1400172,0.1112155,1.003823,6.130071,219.8714,359.6152,-0.02163669,0.01892316,-0.02104192,-0.01420222,0.01683404,0.03851426,0.020502,-0.290668,0.7365652,3.041408,227.9133,29.06916,-0.04673372,0.01279959,-0.01729435,0.05443293,-0.2117973,0.1982258,-0.09616936,-0.2848086,0.8378708,356.3831,213.1287,341.2612,
68.165,-0.02735051,0.002269298,-0.0001100958,0.03976798,-0.01661474,-0.00417974,0.1396306,0.1112996,1.003819,6.126531,219.8744,359.5785,-0.02146951,0.01965103,-0.01956771,-0.02698307,0.007160073,0.00961022,0.02026442,-0.2904915,0.7363491,3.033733,227.9223,29.09383,-0.05141346,0.013117,-0.01622981,0.09529492,-0.2243952,0.1848495,-0.09652694,-0.2845457,0.8380232,356.519,213.3273,341.127,
82.17,-0.02658653,0.003288009,-0.0006719223,0.05556195,-0.01122633,-0.0112204,0.1392622,0.1113837,1.003792,6.092979,219.8768,359.514,-0.02450829,0.01652841,-0.01876013,-0.04330773,-0.01183426,0.05591613,0.01973584,-0.2901756,0.7358643,3.090416,227.9858,29.13722,-0.04786063,0.01392614,-0.01974728,0.1274193,-0.14046,0.2046681,-0.09732082,-0.2841947,0.8369848,356.6382,213.3533,340.9271,
95.615,-0.02637455,0.004307774,-0.001284826,0.05721992,-0.007796369,-0.02420575,0.1388906,0.1114491,1.003762,6.052101,219.8789,359.4835,-0.0221278,0.0171906,-0.01948716,-0.01651013,0.001668083,-0.00222244,0.01970865,-0.2900826,0.735809,3.060289,227.9601,29.13434,-0.04135671,0.0115214,-0.02664916,0.08940908,-0.06254078,0.2042878,-0.09748284,-0.2841858,0.8371152,356.7524,213.2943,340.8201,
110.101,-0.02662782,0.005293962,-0.001977073,0.04345631,-0.006631238,-0.03139796,0.1385071,0.1115369,1.003722,6.021338,219.8807,359.4724,-0.02397005,0.01248484,-0.01983239,0.02892415,0.003550705,0.01901191,0.01912356,-0.2899401,0.7353705,3.089135,227.9515,29.09725,-0.03351618,0.003837453,-0.0353571,-0.0372329,-0.04046244,0.1891909,-0.09806027,-0.2840125,0.8358362,356.9364,213.2226,340.9132,
123.702,-0.02716175,0.005360882,-0.003005637,0.03554397,-0.001818186,-0.0452893,0.138089,0.111588,1.003672,5.96694,219.8733,359.4586,-0.02705744,0.007493789,-0.01894376,0.06006436,-0.001323874,0.03083345,0.01890438,-0.2898355,0.7352415,3.126741,227.9429,29.03,-0.02972623,-0.003127174,-0.04331939,-0.1830576,-0.06403673,0.157903,-0.09834116,-0.283935,0.8355454,357.1546,213.1844,341.1645,
137.322,-0.0274948,0.005806356,-0.004395256,0.03313904,0.0005252247,-0.04376161,0.1376789,0.111673,1.003594,5.935431,219.8689,359.4376,-0.03130512,0.0006962215,-0.01602165,0.06295493,-0.01735952,0.06021468,0.01806398,-0.2899333,0.7348145,3.191529,227.9742,28.96737,-0.0299923,-0.005893006,-0.0413763,-0.2130881,-0.1045698,0.06653742,-0.09874588,-0.2840131,0.835068,357.2243,213.2556,341.3905,
151.531,-0.0284738,0.005391182,-0.005784421,0.02529847,0.003065492,-0.04224516,0.1372434,0.1117309,1.003506,5.902834,219.8622,359.4313,-0.03465638,-0.007184754,-0.01420657,0.04553061,-0.01589897,0.1005221,0.01779338,-0.2900214,0.734706,3.301248,228.0263,28.93623,-0.03458289,-0.005152682,-0.0349792,-0.1512243,-0.1392648,0.01652147,-0.09917888,-0.2839189,0.8349114,357.264,213.3851,341.49,
165.361,-0.02981891,0.004531922,-0.007238692,0.02368184,0.004386386,-0.03939556,0.1367981,0.1117712,1.00337,5.870224,219.8554,359.417,-0.03477563,-0.01275742,-0.01226685,-0.004598497,-0.002852228,0.09723645,0.01719487,-0.290264,0.7344611,3.361139,228.0605,28.9797,-0.03742674,-0.001326708,-0.02625959,-0.01467983,-0.1425322,-0.00296106,-0.09973766,-0.2839952,0.8342081,357.225,213.53,341.399,
179.063,-0.03157152,0.003849888,-0.009355289,0.02112645,0.003529694,-0.03766725,0.1363234,0.1118286,1.003199,5.840328,219.8526,359.4078,-0.03708274,-0.01959581,-0.008754039,-0.0503478,-0.01287385,0.1147307,0.01668793,-0.2906758,0.7343582,3.453952,228.1572,29.05765,-0.03595161,-0.007119286,-0.02441236,0.009568599,-0.110943,0.000919458,-0.09991739,-0.2843303,0.8341099,357.2258,213.5774,341.3704,
193.202,-0.03389972,0.003642162,-0.01184503,0.02070874,0.003364307,-0.04099819,0.1357777,0.1118895,1.003007,5.798985,219.8484,359.3969,-0.03957311,-0.02838037,-0.005484212,-0.02734907,-0.02182886,0.1230217,0.01592549,-0.2912798,0.7342172,3.550713,228.2305,29.06002,-0.02956771,-0.02106748,-0.02824218,-0.04351276,-0.05286732,0.01073902,-0.1002541,-0.284677,0.8335706,357.2631,213.5459,341.4278,
207.084,-0.03648055,0.003687928,-0.01455453,0.0213392,0.003494901,-0.03870257,0.1352132,0.1119537,1.002775,5.771713,219.8445,359.3826,-0.0427906,-0.0404225,-0.003217761,0.03915644,-0.01926651,0.1482036,0.01529574,-0.2920215,0.7342176,3.700468,228.2691,28.96567,-0.02778864,-0.02907902,-0.02754102,-0.09444458,-0.06955096,-0.05362766,-0.1006974,-0.285388,0.8331358,357.2496,213.602,341.6131,
221.046,-0.03883355,0.003944261,-0.01712303,0.02196343,0.008265668,-0.03020469,0.1346372,0.1120193,1.002493,5.755654,219.8302,359.3669,-0.04583107,-0.05356187,-0.0007434736,0.09493584,-0.0178595,0.161548,0.01455279,-0.2929632,0.734204,3.846812,228.2909,28.835,-0.02786275,-0.04163179,-0.02623616,-0.1043213,-0.09276868,-0.07224967,-0.1010114,-0.2863718,0.8327312,357.2362,213.6895,341.7429,
234.775,-0.04129369,0.003910863,-0.01975012,0.0223203,0.01204054,-0.02060041,0.1340218,0.1120668,1.00219,5.746727,219.8161,359.3494,-0.05060384,-0.07223181,0.002953487,0.09350863,-0.01803569,0.2066468,0.01381586,-0.2942079,0.7342055,4.045977,228.363,28.76494,-0.0238539,-0.06634832,-0.03034867,-0.1630139,-0.04346729,-0.01475487,-0.1013266,-0.2879221,0.8321618,357.3421,213.6182,341.8942,
