time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.402,-0.03935215,0.04040869,0.08257794,0.3770519,0.5462906,-0.2444301,-0.2286312,0.075087,0.7513596,1.090189,12.63795,357.8599,0.9865355,0.6435754,0.9424093,3.041432,3.56723,0.4909749,-0.3982669,-0.8035386,0.855909,73.24406,329.7854,316.4552,-0.03533673,0.09322564,-0.09855261,0.9287742,0.3577028,1.14055,-0.1092828,-0.3679091,0.99732,6.039936,358.4976,355.8964,
14.713,-0.03571332,0.04460845,0.09501279,0.3603154,0.5594795,-0.2672582,-0.2291014,0.07579947,0.7528623,0.7690605,12.18795,357.9375,1.010119,0.8204312,1.047259,3.734536,3.786522,0.0003780723,-0.3858567,-0.7899454,0.8685457,71.49195,342.3376,331.0905,-0.005854439,0.1603214,-0.08290328,1.019999,0.3056896,1.190523,-0.1089202,-0.3668632,0.9964669,5.0898,358.051,354.9181,
26.961,-0.03378417,0.04938947,0.1068908,0.3599668,0.5568026,-0.2162293,-0.2295994,0.07656723,0.7545036,0.4780581,11.7291,357.9215,1.031155,0.9685251,1.075835,3.91875,3.88171,-0.6468584,-0.3732254,-0.7753828,0.8800686,68.92175,352.464,342.6924,0.02185029,0.1559778,-0.06399974,0.9109427,0.1634066,0.5050177,-0.1082131,-0.3661324,0.9960334,4.47992,358.0496,355.1823,
40.329,-0.03232929,0.05084006,0.1190073,0.3637581,0.5527788,-0.1806492,-0.2301378,0.07723685,0.7562979,0.1746164,11.27928,357.9351,1.05386,1.072484,1.025608,3.530177,3.764235,-1.421129,-0.3604829,-0.7607533,0.8906975,66.3556,0.5133589,351.3563,0.0517091,0.1036638,-0.05131785,0.7188261,-0.05033953,-0.1559433,-0.1076625,-0.3664704,0.9953537,4.10909,358.4303,355.9735,
54.408,-0.03155064,0.04769227,0.1307934,0.3744931,0.538383,-0.1381999,-0.2307068,0.0777933,0.7582811,359.8708,10.86046,357.8659,1.07345,1.140621,0.9382074,3.042498,3.24203,-2.287965,-0.3476733,-0.7454065,0.8999543,63.66866,6.90473,357.3535,0.08404148,0.0271616,-0.04180782,0.518385,-0.3995023,-0.4741761,-0.1066582,-0.3678167,0.9943876,3.884282,359.1688,356.6404,
68.281,-0.03163967,0.04104308,0.142873,0.4015675,0.5053634,-0.05979803,-0.23116,0.07824272,0.7604455,359.5854,10.4818,357.7102,1.095978,1.179364,0.8432877,2.719976,2.533416,-3.180477,-0.3343833,-0.7308596,0.9084314,60.63115,12.25895,1.44444,0.07945438,-0.03902423,-0.06023666,0.5537823,-0.4448882,-0.3095722,-0.1068195,-0.3708375,0.9923968,3.398724,359.5737,356.7204,
81.966,-0.03144185,0.03406856,0.1557652,0.4254862,0.4660373,0.008161976,-0.2315683,0.07860682,0.7628378,359.2722,10.13165,357.5376,1.127136,1.200572,0.7519357,2.628626,1.873572,-4.18137,-0.3211789,-0.7155021,0.9152207,56.90479,17.27253,4.460667,0.01385716,-0.1685584,-0.08733243,0.4265793,-0.09822939,-0.146492,-0.1083694,-0.3775145,0.9913156,3.18782,359.257,356.6517,
96.176,-0.02958599,0.02933401,0.1708538,0.4626647,0.4332516,0.0149614,-0.2319546,0.07899611,0.7655028,358.9015,9.79768,357.4034,1.154748,1.216425,0.6642224,2.682815,1.42347,-5.230838,-0.3084652,-0.7017261,0.9201758,52.24962,22.10704,6.86572,-0.08688499,-0.3874351,-0.105859,-0.1401437,0.3697731,-0.6074096,-0.1111811,-0.3876906,0.9894123,3.966427,358.6214,357.6301,
110.204,-0.02653279,0.02952991,0.1880298,0.5129876,0.417069,-0.006536328,-0.2323164,0.07951167,0.7684251,358.4821,9.452244,357.2717,1.160975,1.189656,0.5228915,2.50149,1.003525,-6.368909,-0.2968766,-0.6911113,0.9231409,46.90296,27.11106,8.871923,-0.1801377,-0.6624283,-0.1144991,-0.8974233,0.6956744,-1.330938,-0.1153024,-0.4008096,0.9886061,5.631646,358.0997,359.5088,
123.532,-0.02336473,0.03379543,0.2062337,0.5603645,0.4235438,-0.04338306,-0.2326306,0.08008132,0.7716075,358.0144,9.079578,357.1823,1.100796,1.059586,0.3447411,1.90552,0.4368136,-6.828367,-0.2876447,-0.68344,0.9238622,42.18309,31.52395,10.17585,-0.2623931,-0.9642146,-0.1328272,-1.720462,1.113905,-1.484499,-0.1187979,-0.4179728,0.9860067,8.017628,357.1075,0.8710566,
