time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.481,-0.04918361,0.007351748,-0.07271224,-0.01270927,0.0217573,-0.09931118,0.1305962,0.1089124,0.8037073,8.451193,226.1674,358.0071,-0.06040852,-0.1934721,-0.03633153,-0.1991046,0.2661337,0.4951615,0.07050222,-0.3721144,0.5839835,17.93317,224.3472,26.18091,-0.04906698,-0.2649833,-0.07727391,0.2597881,0.1056014,0.922909,-0.0717036,-0.3575124,0.7099591,13.51994,219.2387,340.2146,
12.731,-0.05229533,0.004771187,-0.07528242,-0.009050759,0.02382479,-0.08139963,0.1298301,0.1089401,0.8026234,8.402184,226.1422,358.0074,-0.06201969,-0.1981831,-0.02610422,-0.1140089,0.2029947,0.4923554,0.06957987,-0.3746302,0.5836749,18.31799,224.4522,26.14565,-0.03924587,-0.2780392,-0.07625046,0.10714,0.1037165,0.9021949,-0.07230396,-0.3607953,0.7088658,14.21394,219.0997,340.144,
26.231,-0.05501388,0.002242225,-0.07744806,-0.01188448,0.02647973,-0.06877921,0.1290207,0.1089239,0.8015151,8.358085,226.1144,358.018,-0.06343419,-0.2085938,-0.01485814,-0.03616403,0.1553918,0.5385613,0.06875297,-0.3774066,0.5834283,18.75088,224.601,26.04072,-0.035112,-0.2821194,-0.07380164,0.02819008,0.07939627,0.8462566,-0.07299744,-0.3640828,0.7078511,14.83365,219.0091,340.0717,
40.285,-0.05765261,-0.0001560843,-0.07942373,-0.0178753,0.03036892,-0.05518433,0.128178,0.1088966,0.8003828,8.328809,226.0839,358.035,-0.06023148,-0.225073,-0.007569143,-0.007280248,0.2084269,0.6352206,0.06775956,-0.3802672,0.5830628,19.38019,224.7019,25.95241,-0.03652201,-0.2750711,-0.06998533,-0.02740563,0.02048803,0.717768,-0.07366518,-0.3671207,0.7068912,15.29283,219.0164,340.0952,
53.821,-0.05995376,-0.002007985,-0.0813049,-0.0186652,0.03432044,-0.04920326,0.1273011,0.1088676,0.7992137,8.293072,226.0506,358.0412,-0.05631207,-0.2348498,-0.0002266031,-0.06277152,0.2254046,0.6668984,0.06736858,-0.3829247,0.583113,19.97337,224.867,26.00912,-0.03785493,-0.263548,-0.06405707,-0.004082161,-0.008368362,0.5131341,-0.07409312,-0.3704681,0.7063524,15.49283,219.0468,340.0623,
67.879,-0.06184923,-0.002453852,-0.0827876,-0.0142663,0.03565433,-0.0462176,0.1264123,0.1088523,0.798037,8.257902,226.021,358.0439,-0.05367175,-0.2388851,0.005576862,-0.169713,0.2041351,0.6250346,0.06630325,-0.3862208,0.5827826,20.44504,225.0967,26.23509,-0.03757452,-0.2625892,-0.06185346,-0.0392898,-0.01891102,0.3879164,-0.07490176,-0.3741134,0.7049822,15.68139,219.0517,340.0998,
81.856,-0.06378636,-0.003275861,-0.08374512,-0.01858898,0.03507895,-0.05249237,0.1254942,0.1087815,0.7968618,8.209279,225.9896,358.0605,-0.05509612,-0.2509957,0.0107746,-0.2787633,0.1992908,0.6657212,0.06581144,-0.389302,0.582773,21.01981,225.4259,26.5546,-0.03762324,-0.271331,-0.06450386,-0.19447,-0.08247225,0.2903281,-0.07506084,-0.3779722,0.7043951,15.85966,219.1266,340.4174,
95.514,-0.06518873,-0.003534428,-0.08430741,-0.02393248,0.03160282,-0.04664751,0.1245709,0.1087411,0.7956932,8.185935,225.9656,358.0809,-0.05575899,-0.2679591,0.01406137,-0.3417706,0.2118131,0.6719455,0.06485131,-0.3932044,0.5826324,21.57985,225.7226,26.87756,-0.03543763,-0.2981968,-0.07171054,-0.4423066,-0.1399213,0.2805676,-0.07587753,-0.3825254,0.7025597,16.16107,219.1934,341.0189,
109.923,-0.06611039,-0.004283682,-0.08433212,-0.0270662,0.03030179,-0.04002649,0.1236407,0.1086523,0.794508,8.162587,225.9399,358.1011,-0.06609488,-0.3043699,0.02010371,-0.5453001,0.2486007,0.8655239,0.06367736,-0.3974661,0.5821777,22.46104,226.3306,27.51514,-0.03629276,-0.3396108,-0.08364612,-0.6828056,-0.1736705,0.3990889,-0.07636996,-0.3874469,0.7012849,16.71369,219.2517,341.7738,
123.554,-0.06660668,-0.006406999,-0.08372499,-0.03235287,0.02822956,-0.03115325,0.1227105,0.1085185,0.7933216,8.147876,225.919,358.1276,-0.08200338,-0.3608781,0.02944002,-0.9927974,0.3234903,1.100967,0.06232983,-0.4028985,0.5815683,23.54338,227.3277,28.81355,-0.03549146,-0.3971326,-0.09582771,-0.8467582,-0.1699581,0.5821408,-0.07698381,-0.3930141,0.699514,17.47579,219.2716,342.5355,
