time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.471,0.05034489,0.007732294,0.1244714,0.1379002,-0.2364895,-0.07375829,-0.0573647,0.05629459,0.7237619,6.83581,6.784356,0.5725401,0.1615413,-0.1469192,-0.01521218,0.2595477,-0.8227029,0.174862,-0.1508401,-0.5401292,0.8772319,23.72344,11.65577,27.72203,0.1252369,-0.3332438,-0.1148241,-0.4925993,-0.6629385,0.3829181,0.02033485,-0.5051058,0.8803386,14.04916,347.2193,359.0354,
13.161,0.04969589,0.01678109,0.1230247,0.1681034,-0.2349248,-0.1047355,-0.05668706,0.05672719,0.7254642,6.646886,6.987936,0.6239667,0.1806975,-0.2610406,-0.0383286,0.1632361,-1.109974,0.4695846,-0.1480682,-0.5448177,0.8764731,24.37963,11.86713,26.626,0.1005357,-0.4532731,-0.1266158,-0.6018728,-0.5151459,0.04820956,0.0207814,-0.5127792,0.8784118,14.67472,347.522,358.9661,
26.742,0.04891316,0.02410761,0.1235088,0.2348117,-0.2231101,-0.1459642,-0.05602461,0.05714675,0.7271885,6.35974,7.173854,0.6976239,0.1995389,-0.367373,-0.06117936,0.02584725,-1.407244,0.6836662,-0.1451095,-0.5507914,0.8754932,25.26883,12.10782,25.40131,0.05547808,-0.5541651,-0.1450967,-0.7620699,-0.1540399,-0.09830713,0.02076549,-0.5219389,0.8762817,15.47449,347.304,358.8838,
40.271,0.04813242,0.02771152,0.1229122,0.3032925,-0.1953439,-0.190941,-0.05536085,0.05749627,0.72886,6.02298,7.326972,0.7989973,0.2127533,-0.4760338,-0.08648005,-0.1881908,-1.651271,0.8432165,-0.1420091,-0.5582539,0.8743775,26.43493,12.29498,24.11081,0.006766714,-0.6787898,-0.1697285,-0.9015065,0.2386501,-0.3931752,0.02037422,-0.5327461,0.873816,16.56396,346.9302,359.2011,
54.406,0.04671308,0.02684549,0.1213923,0.3573055,-0.1635939,-0.2209777,-0.05474401,0.05778847,0.7305156,5.659959,7.457969,0.892813,0.2217064,-0.5840058,-0.1134963,-0.4595067,-1.808049,0.8825837,-0.1388997,-0.5668229,0.87279,27.82527,12.48836,22.95438,-0.03210013,-0.8092839,-0.1962442,-1.025368,0.62655,-0.8125921,0.01977898,-0.5451313,0.8711078,17.93917,346.5357,-0.002204018,
68.11,0.04550316,0.0214998,0.1186638,0.3951024,-0.1255895,-0.2349251,-0.05402029,0.0579517,0.7321376,5.283183,7.550643,0.9803474,0.2269555,-0.6816382,-0.1424482,-0.6099471,-1.852309,0.890063,-0.1355826,-0.5769697,0.8708369,29.1656,12.62583,21.82978,-0.04175261,-0.926758,-0.2224143,-0.9805411,0.8532017,-1.350641,0.01927647,-0.5584438,0.8678442,19.38176,346.547,1.432948,
81.894,0.04429536,0.01219048,0.1153843,0.4177536,-0.09568088,-0.2262457,-0.05331129,0.05791109,0.7337264,4.902079,7.630512,1.036096,0.2329014,-0.7802804,-0.1731178,-0.7314114,-1.982514,0.9313344,-0.1320514,-0.5882681,0.8686265,30.63143,12.74979,20.53452,-0.03987347,-1.025957,-0.2449551,-0.9263213,1.006874,-1.772834,0.01835429,-0.5729221,0.8647195,20.83905,346.7608,3.162122,
96.044,0.04341104,-0.002806741,0.1125708,0.4601382,-0.08295843,-0.1805573,-0.05268002,0.05755731,0.7352775,4.484506,7.698839,1.007964,0.2385761,-0.8753738,-0.2076127,-0.7327328,-2.15279,1.03246,-0.1284065,-0.6008973,0.8655232,32.05054,12.76382,18.89054,-0.05384275,-1.116966,-0.279397,-1.129148,1.166622,-1.760416,0.01755369,-0.5882424,0.8601105,22.48156,346.5463,4.361195,
110.711,0.0433352,-0.02224932,0.1108513,0.4952292,-0.07060603,-0.1434808,-0.05206639,0.05688149,0.7368077,4.053499,7.74808,0.9877114,0.248318,-0.990428,-0.2480727,-1.008045,-2.384483,0.9903898,-0.1245333,-0.6153946,0.8628786,33.93146,12.98147,17.38318,-0.08746772,-1.202554,-0.3284968,-1.519397,1.396857,-1.511315,0.01612994,-0.6049898,0.8562305,24.42333,345.6688,4.973499,
123.667,0.04435251,-0.04554243,0.1085826,0.5168609,-0.03395217,-0.1433607,-0.05141848,0.05583013,0.738232,3.616187,7.735641,1.007047,0.2558047,-1.116067,-0.2939542,-1.587319,-2.319693,0.6543195,-0.1213242,-0.6310123,0.8591476,36.27877,13.60516,16.88007,-0.105255,-1.26422,-0.3732892,-1.631975,1.578012,-1.413649,0.01527742,-0.6216693,0.8508934,26.22301,344.8357,5.794235,
