time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
2.42,-0.01316234,-0.01793649,-0.0003082755,-0.184697,0.1968445,-0.05548808,-0.1202195,0.1253977,-0.1947956,357.8666,3.044722,359.3762,-0.002036057,0.005679053,-0.02556584,0.04093073,0.08302712,-0.0164837,-0.2230672,-0.178837,-0.04509321,320.9479,319.3312,21.67752,-0.03807347,-0.07004543,-0.006996652,-0.2869971,-0.07788979,-0.3108042,0.01614444,-0.1464782,0.009602305,346.7499,354.5164,336.4435,
27.479,-0.0167802,-0.0256509,0.005459215,-0.2276276,0.2282957,-0.04167132,-0.1209404,0.1243265,-0.1945744,358.4032,2.492606,359.5127,-0.006012087,0.0005508909,-0.01973949,0.03306045,0.01854607,-0.07041125,-0.2231866,-0.1787834,-0.04579837,321.0008,319.1139,21.75988,-0.01487174,-0.1002724,-0.004283128,-0.4102747,-0.227977,-0.1534568,0.01459931,-0.1499352,0.009139646,347.3654,355.8401,337.1265,
39.496,-0.01759607,-0.02813754,0.006414916,-0.252078,0.2329069,-0.04094445,-0.1214855,0.1234278,-0.1943533,358.8382,2.114401,359.6047,-0.004997057,-0.0004664571,-0.01927437,0.04265595,0.01450584,-0.06341426,-0.2231867,-0.178849,-0.04613893,321.0269,319.0131,21.82776,-0.04019032,-0.1127529,0.007063707,-0.3962955,0.1006547,-0.09982687,0.01301398,-0.1527824,0.009525418,348.1354,355.6314,336.9925,
54.198,-0.01816022,-0.03174014,0.007657297,-0.2794421,0.238772,-0.03705562,-0.1217608,0.122883,-0.1942184,359.1091,1.91448,359.6411,-0.002418646,-0.002169551,-0.01583993,0.0103012,-0.001040558,-0.05650521,-0.2232527,-0.1787266,-0.04617537,321.0578,319.0077,21.82006,-0.07321679,-0.1340229,0.01793664,-0.4256938,0.3743284,-0.2052432,0.01161725,-0.1546201,0.00973703,348.8869,354.9633,337.0764,
69.527,-0.01827648,-0.0355363,0.008744001,-0.3215124,0.2410116,-0.04279665,-0.1219945,0.1222811,-0.1940897,359.4485,1.722509,359.7163,0.002169414,-0.0024274,-0.01574237,0.004083815,0.03541863,-0.01877888,-0.2232085,-0.1787949,-0.04636698,321.0324,318.9922,21.8025,-0.09421955,-0.1464434,0.02314307,-0.4286331,0.5303092,-0.2516222,0.01009957,-0.1560065,0.01060985,349.5366,354.4132,337.1385,
84.891,-0.01787091,-0.03973662,0.00915888,-0.3631106,0.2404152,-0.04354261,-0.122215,0.1215871,-0.1939838,359.8036,1.537326,359.7624,0.006302088,-0.003514654,-0.0132709,-0.03174312,0.04518513,0.001058481,-0.2231198,-0.1788141,-0.04657384,321.0163,319.0105,21.73368,-0.1112612,-0.1429636,0.01724756,-0.2640973,0.6520555,-0.1679924,0.00882927,-0.1576975,0.01023168,349.7474,353.7458,336.9695,
99.24,-0.01706516,-0.04375778,0.008314114,-0.4147696,0.2305719,-0.0299778,-0.1223896,0.1209007,-0.1939116,0.219197,1.381232,359.7777,0.009799505,-0.003354999,-0.01333583,-0.05180991,0.07631969,0.02369037,-0.2228104,-0.1790929,-0.04706785,320.9532,319.044,21.62131,-0.1174491,-0.1357713,0.007227173,-0.1341436,0.678047,-0.1136671,0.007774377,-0.1592271,0.009986762,349.8511,353.1801,336.8482,
114.352,-0.01563557,-0.04687918,0.007322373,-0.4545953,0.2118254,-0.009063605,-0.1225147,0.120237,-0.1938066,0.634119,1.246088,359.7726,0.01156036,-0.003099259,-0.01427258,-0.05358228,0.1118939,0.03135791,-0.2228759,-0.1789537,-0.04690098,320.86,319.0576,21.49611,-0.1083337,-0.1265952,-0.002603117,-0.07173197,0.555202,-0.06848048,0.006845748,-0.1606996,0.009511739,349.8806,352.9558,336.7777,
129.153,-0.01361543,-0.04820788,0.007455485,-0.4588234,0.190294,0.0001665423,-0.1226261,0.1196182,-0.1936719,0.9825575,1.124061,359.7833,0.009558119,-0.002071151,-0.01676699,-0.01721913,0.1105382,0.02468496,-0.2227007,-0.1791071,-0.04730717,320.8058,319.0247,21.46879,-0.09893731,-0.1255662,-0.002818565,-0.1128337,0.5029809,-0.05879248,0.005916351,-0.1620695,0.009946261,350.1381,352.7351,336.707,
143.721,-0.01128627,-0.04584933,0.008275736,-0.4369076,0.168693,-0.004433271,-0.1227243,0.119142,-0.1935325,1.285841,1.020666,359.8162,0.005104056,-0.001355299,-0.01726029,0.01118093,0.05543509,-0.009408721,-0.2226497,-0.1791312,-0.047454,320.8291,318.9891,21.50573,-0.08230388,-0.1237334,7.739104E-05,-0.2035484,0.465811,0.004806553,0.005549374,-0.1632854,0.009726323,350.4961,352.6302,336.4833,
158.043,-0.008882083,-0.04185626,0.008959062,-0.3882358,0.150398,-0.009814955,-0.1228137,0.1186613,-0.1934044,1.499548,0.9300103,359.8362,0.002949549,0.0005451465,-0.01737954,0.03945998,0.01203034,-0.02196033,-0.2225848,-0.1791123,-0.04765378,320.8278,318.9303,21.5691,-0.06082464,-0.1172105,-0.000824925,-0.2691143,0.5201584,0.2687583,0.005362816,-0.1643854,0.009743333,350.7786,352.5138,335.7323,
172.454,-0.006421619,-0.03619825,0.00883905,-0.3340527,0.1220882,-0.003864595,-0.1228659,0.1183272,-0.1933291,1.697993,0.8769572,359.8351,0.0035859,0.002269565,-0.01618912,0.04125739,-0.02553141,-0.007882326,-0.222516,-0.1790759,-0.04787609,320.8391,318.9122,21.62489,-0.04982354,-0.1016646,-0.005491607,-0.1941483,0.616585,0.5380771,0.005149584,-0.1654878,0.009372871,350.8192,352.2088,334.7885,
186.79,-0.003534303,-0.02987303,0.008137497,-0.2713038,0.09342034,0.006001138,-0.1228473,0.1180813,-0.1932549,1.819089,0.8457082,359.8224,0.003798486,0.003203901,-0.01559034,0.04438449,-0.04892903,0.004287519,-0.222464,-0.1790123,-0.04808678,320.8543,318.9085,21.68756,-0.04694411,-0.08981894,-0.009721669,-0.1028667,0.7059683,0.6240525,0.004893842,-0.1664586,0.009465624,350.8444,351.7385,334.0415,
