time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.478,-0.03541902,0.006469977,0.03343156,0.1148098,0.04220046,-0.010814,-0.05121511,0.07237969,0.6227947,4.433875,3.798733,359.1768,-0.05165201,-0.03745457,0.0313738,0.156356,-0.1911447,0.294922,-0.1647897,-0.4606051,0.8533309,27.7349,17.57689,49.04798,-0.1048923,0.1318496,-0.04525941,1.394639,0.0876821,0.4967111,0.001946026,-0.4138772,0.8683641,6.727143,337.6917,342.909,
13.245,-0.03614182,0.007526524,0.03255153,0.1070201,0.0590497,0.000767121,-0.05173308,0.07254264,0.623251,4.371755,3.734118,359.1679,-0.05947028,-0.03294689,0.03869577,0.06486021,-0.139893,0.2008418,-0.1656083,-0.4609173,0.8539504,27.8114,17.52281,48.98194,-0.1033339,0.1140251,-0.0447345,1.523698,0.04953077,0.1169484,0.0007184409,-0.4133279,0.8679531,5.97702,337.6199,344.0561,
26.694,-0.03578258,0.01011459,0.03384908,0.1283166,0.07288215,-0.003659704,-0.05224353,0.0727211,0.6238089,4.233038,3.663045,359.1692,-0.06538692,-0.02876745,0.04433803,-0.03260564,-0.08715974,0.09706981,-0.1665336,-0.4611081,0.8545899,27.89956,17.50485,49.05772,-0.0941529,0.07438008,-0.02849695,1.444637,-0.01966561,-0.3346841,-0.0004640743,-0.413481,0.867866,5.662777,337.7922,345.3366,
40.428,-0.03514997,0.01434465,0.03670691,0.1694106,0.07986238,-0.01150461,-0.05276889,0.07293958,0.6244274,4.050218,3.594306,359.1686,-0.06917703,-0.02220967,0.04977463,-0.1026788,-0.04574861,-0.002662634,-0.1675135,-0.4611606,0.8554974,27.97405,17.53956,49.22955,-0.08893584,0.02777462,-0.007853918,1.189169,-0.01126368,-0.6298779,-0.001742074,-0.4136803,0.8683574,5.703396,337.9509,346.4161,
54.186,-0.0348316,0.01796379,0.03924007,0.1949222,0.09246857,-0.01652976,-0.05325294,0.07320578,0.625005,3.880344,3.504786,359.1703,-0.07589677,-0.01124059,0.05512569,-0.1377363,0.01188429,-0.004906886,-0.1685851,-0.4609693,0.8560649,28.01359,17.4659,49.33353,-0.0823646,0.00336182,0.007464357,0.8343148,0.02427306,-0.5274397,-0.002545131,-0.4136605,0.8687397,5.731424,337.9624,346.8614,
68.129,-0.03516799,0.01984671,0.0412286,0.1946842,0.09918269,-0.01102563,-0.05374485,0.07348907,0.6255995,3.73998,3.417952,359.1576,-0.0778272,0.001174519,0.06076132,-0.1320997,0.03826898,-0.007087444,-0.169449,-0.4607618,0.8572659,28.03398,17.40532,49.41062,-0.07314807,-0.003846867,0.01640367,0.3390509,0.1036982,-0.001114741,-0.002698863,-0.414068,0.8687747,5.592957,337.6794,346.246,
82.178,-0.0353517,0.0200504,0.04319703,0.1867191,0.09950019,0.003970254,-0.05425918,0.07375729,0.6262418,3.604006,3.336843,359.125,-0.07600565,0.0148875,0.06546253,-0.07432777,0.07399372,0.002515781,-0.1704133,-0.4602259,0.8580965,27.95537,17.34005,49.42326,-0.06183554,-0.02618471,0.03223588,-0.3015204,0.209466,0.4553672,-0.003219355,-0.4150575,0.8701227,5.724773,337.2849,344.9515,
95.679,-0.03535477,0.01965244,0.0459183,0.1847798,0.09372254,0.007633713,-0.05476725,0.07404261,0.6269478,3.460226,3.264505,359.1092,-0.07438546,0.03262478,0.07067484,0.03212436,0.1517608,0.09111404,-0.1712156,-0.459622,0.8586891,27.73298,17.14576,49.25057,-0.04795627,-0.05113147,0.04633202,-0.6306961,0.1750241,0.5959651,-0.003625777,-0.4160247,0.8708659,5.924373,337.134,343.903,
110.006,-0.03507817,0.01981122,0.04910005,0.1831784,0.08583765,-0.005269283,-0.05526125,0.07432932,0.627697,3.315415,3.203215,359.1192,-0.06683853,0.0420141,0.07699653,0.1106893,0.2045903,0.1476123,-0.171668,-0.4593048,0.8601527,27.47881,16.94867,49.05118,-0.0491154,-0.07585251,0.05198423,-0.7576774,0.2248109,0.6398603,-0.004563609,-0.4174613,0.8719589,6.110063,336.88,342.9679,
123.7,-0.03552033,0.02071183,0.05358332,0.1914302,0.07439051,0.005322176,-0.05577785,0.07465157,0.6285352,3.156304,3.14899,359.0789,-0.06070785,0.0502793,0.08437163,0.1651214,0.4151093,0.2959554,-0.1719648,-0.4588619,0.8605403,26.98348,16.4074,48.72797,-0.0699148,-0.123575,0.05236832,-0.7312365,0.388975,0.3857954,-0.005625386,-0.4200332,0.8724865,6.575341,336.4924,342.511,
