time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.491,-0.02211656,-0.2254781,0.09633013,0.317316,0.2429788,-0.1486317,0.1012876,0.01373136,0.3232681,2.522824,3.31847,359.0603,0.2492228,-0.6182775,-0.1958191,-1.00844,-0.857202,-0.7583237,-0.07906675,-0.7021388,0.3902409,47.09312,337.2956,356.1416,-0.2777651,-0.4216412,-0.02862016,-0.7443687,1.154488,0.8232964,0.3365591,-0.6651254,0.3472662,39.78231,20.55058,345.312,
13.244,-0.01888274,-0.3086368,0.0875902,0.4180894,0.2690161,-0.2153291,0.1010888,0.008006841,0.3242231,2.120692,3.091166,359.2554,0.2501401,-0.6697189,-0.1868545,-0.8797865,-1.046458,-0.7135112,-0.07583743,-0.7121643,0.388022,47.4522,337.4255,354.9862,-0.2926618,-0.4725285,-0.006167199,-0.6338326,1.317882,0.8219131,0.3328698,-0.6714966,0.3478093,40.46446,20.05787,346.2453,
25.703,-0.01652582,-0.3922563,0.07345684,0.4024459,0.2715136,-0.2346474,0.1009305,0.001229018,0.3248572,1.880129,2.901931,359.4044,0.2457016,-0.7337081,-0.1844761,-0.7190517,-0.9073594,-0.7350105,-0.07300003,-0.7233297,0.385535,47.86441,337.7923,354.4387,-0.2991371,-0.4927025,0.02401951,-0.1659753,1.196133,0.6472298,0.3292255,-0.6787687,0.3481146,40.40748,19.26988,346.5041,
39.926,-0.01521067,-0.474571,0.05300863,0.3170043,0.2199488,-0.1437543,0.1007724,-0.006461978,0.3251708,1.692822,2.7936,359.3633,0.2393678,-0.8130406,-0.1875362,-0.5546516,-0.4661698,-0.9169396,-0.07090062,-0.7358466,0.3832634,48.57449,338.6935,354.9011,-0.300057,-0.5343707,0.04478818,0.1725015,1.050082,0.5783408,0.325861,-0.687664,0.3489814,40.26456,18.32458,346.4748,
53.583,-0.01569555,-0.5384553,0.0360351,0.2551847,0.1272519,0.005132021,0.1005421,-0.01453719,0.325481,1.570098,2.776692,359.2035,0.2081611,-0.8903638,-0.1947922,-0.4791191,-0.0397888,-1.026725,-0.06987372,-0.7487019,0.3803864,49.408,339.6881,355.74,-0.2933044,-0.5995142,0.06374627,0.3343773,1.02038,0.5566084,0.32259,-0.6972037,0.3496354,40.16527,17.39835,346.5587,
67.774,-0.01734967,-0.5703869,0.02027597,0.1667189,0.0341894,0.1254047,0.1002364,-0.02239531,0.3254447,1.549238,2.823747,359.0006,0.1344247,-0.9529868,-0.2046232,-0.5396121,0.196605,-1.004288,-0.07089008,-0.7625855,0.3783187,50.31599,340.4056,356.3736,-0.2817056,-0.6581676,0.07615884,0.4656769,1.084947,0.5764228,0.3199118,-0.7076973,0.3505231,40.026,16.32442,346.6853,
81.765,-0.02027535,-0.5789104,0.005654634,0.1544526,-0.04217797,0.2119035,0.09988713,-0.03032199,0.3253984,1.4163,2.906852,358.7483,0.009076867,-0.9781657,-0.2131274,-0.7748955,0.1100602,-0.632726,-0.07430337,-0.7754328,0.3759386,51.0757,339.8421,355.7267,-0.2498811,-0.731876,0.08043717,0.446272,1.34084,0.6988763,0.3188732,-0.719437,0.3518243,40.09094,15.07139,347.1006,
95.658,-0.02281426,-0.5459284,-0.01632098,-0.1492735,-0.0626875,0.2310051,0.0996213,-0.03648275,0.3246074,1.991111,2.945827,358.6357,-0.2091949,-0.9572737,-0.2362319,-1.320042,-0.1019926,0.1104846,-0.0810532,-0.7856822,0.3726271,51.81214,337,353.1252,-0.1448759,-0.8051018,0.05580487,-0.1937454,1.769397,0.5663108,0.3205658,-0.7300401,0.3521951,40.82235,15.01412,349.0076,
109.626,-0.02646511,-0.4623896,-0.04243644,-0.5187908,-0.04342728,0.1753052,0.09928846,-0.04066867,0.3235857,2.749214,2.958715,358.6654,-0.5198625,-0.8343356,-0.2815682,-2.139513,-0.1326853,0.9344506,-0.09258585,-0.7922333,0.3698753,52.73623,332.155,349.1379,0.09933862,-0.8208708,0.01017862,-1.375211,1.956484,-0.001789706,0.3267605,-0.7396229,0.3526135,42.10503,17.1431,352.5689,
123.491,-0.0305598,-0.3229698,-0.06165688,-0.8173344,0.005194076,0.1121771,0.09886909,-0.04179662,0.3225037,3.673506,2.901275,358.7336,-0.8444431,-0.5991687,-0.3189001,-2.728266,0.1517147,1.981979,-0.1078009,-0.7945894,0.3673712,52.98122,325.8166,344.8777,0.4175037,-0.7333145,-0.05892121,-2.74755,1.635859,-0.7194489,0.3368464,-0.7446637,0.3524024,43.73775,21.47838,357.2025,
