time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.41,0.01758543,-0.9039348,0.01582177,-0.3670708,-0.007067286,-0.04355555,-0.6032455,0.07377014,0.3404045,344.1377,359.2339,1.133311,2.929273,0.469121,-1.263702,1.348663,6.605956,1.191627,-0.8788012,0.3872953,0.3470029,298.5994,166.4888,108.4992,-2.800295,0.7310311,-0.8300713,2.522106,-6.297368,-0.4831074,-0.3188142,0.3538714,0.392475,285.6175,152.9503,286.3183,
13.306,0.01820276,-1.032828,0.02358942,-0.256543,0.01001585,0.07628232,-0.6031129,0.05670559,0.3409245,344.1171,359.3328,0.8109004,3.003398,0.03522137,-1.265281,2.060683,6.649009,0.7862453,-0.8403551,0.3803651,0.3329085,303.3167,160.3121,115.0389,-2.846161,0.3593427,-0.7775332,2.018125,-6.105941,-0.0299691,-0.3528242,0.3511807,0.3833197,284.6693,171.3414,267.5887,
26.821,0.01495943,-1.140394,0.02963967,-0.1481587,0.0647983,0.2194216,-0.6031556,0.03819183,0.3415411,344.0717,359.4171,0.3781114,3.04583,-0.4261418,-1.213939,3.261768,6.841816,0.05480576,-0.8035955,0.3671717,0.3198882,308.764,153.5067,121.8847,-2.805828,0.02347646,-0.7304536,1.535925,-5.805719,0.3240993,-0.3842583,0.3451746,0.374157,284.8666,188.2246,249.8049,
40.499,0.009530788,-1.244871,0.03738479,-0.1377379,0.1121894,0.2857423,-0.6032054,0.01894334,0.3423078,344.2571,359.4223,0.09142777,3.003272,-0.8462119,-1.132251,4.639062,7.034922,-0.9562557,-0.7710191,0.3507631,0.3085768,315.2885,147.0372,129.1015,-2.683748,-0.2378563,-0.7284234,1.534035,-5.422857,0.1762583,-0.4125197,0.3377723,0.3650934,287.0475,199.9462,237.5357,
54.525,0.006059681,-1.312149,0.0469132,-0.3686527,0.110236,0.2097336,-0.6030421,0.000695914,0.3433704,345.1042,359.3348,0.1159712,2.843048,-1.215755,-1.010542,6.04353,6.741794,-2.11063,-0.7440418,0.3325523,0.2991455,322.3061,141.4194,136.2704,-2.44842,-0.4670855,-0.7282039,1.721182,-4.789166,-0.3566333,-0.4360776,0.3286075,0.3582042,290.2968,204.3992,233.0446,
68.487,0.01130852,-1.30296,0.06348605,-0.9268375,0.05984058,-0.07257871,-0.602417,-0.01446101,0.3445532,346.8306,359.0556,0.7331278,2.693107,-1.386395,-0.9268177,7.112758,5.891997,-2.715363,-0.7177047,0.316749,0.2900635,329.4136,137.6933,141.4677,-2.179215,-0.6083246,-0.662645,2.032999,-4.207886,-0.6757431,-0.4567293,0.3200925,0.3543258,293.4803,207.3214,230.7352,
82.171,0.01732946,-1.18506,0.07517606,-1.37037,-0.01411799,-0.4662987,-0.6022508,-0.02328336,0.3455157,348.5182,358.7176,1.583542,2.062617,-1.545222,-0.6683598,7.17162,4.508434,-3.316563,-0.7138662,0.301734,0.2882635,334.4152,134.4481,146.7737,-1.921988,-0.6838843,-0.4918321,2.644137,-4.131909,-0.245335,-0.4711097,0.3118064,0.3545869,296.6197,214.1945,224.8092,
96.319,0.009386588,-0.8913972,0.07487731,-0.8034059,0.1316728,-0.5129298,-0.6025841,-0.02346146,0.3453498,347.0179,358.1682,1.422033,1.479832,-1.312489,-0.4659671,5.508687,3.005914,-3.054888,-0.7111486,0.2949664,0.2870637,335.5515,132.924,149.3704,-1.563966,-0.644688,-0.2462344,3.184334,-3.487871,0.1975645,-0.4774977,0.3088205,0.3577122,298.8461,220.5231,220.162,
111.121,0.00268406,-0.5172768,0.07031025,0.8217133,0.4825278,0.3543962,-0.6029415,-0.02381539,0.3471682,344.5176,358.3685,359.4194,0.9410812,-0.9282158,-0.2468892,3.524014,1.390966,-3.134355,-0.7142587,0.2948319,0.288205,334.0399,130.599,152.5495,-1.060302,-0.4954516,0.02791399,3.694314,-2.168227,0.04984367,-0.4736998,0.3077868,0.3654781,300.1017,224.5745,219.377,
124.168,-0.01079541,-0.2190978,0.08176466,0.7776221,0.5217506,0.7637916,-0.6033254,-0.02069837,0.3492105,344.6564,358.3793,359.0021,0.388816,-0.411491,0.01525858,1.172904,-0.676991,-3.040999,-0.7232512,0.3003741,0.2913782,328.7744,127.6014,154.8453,-0.42048,-0.2490993,0.3082953,3.724057,-0.2214141,-0.2982849,-0.4622611,0.3115973,0.374941,298.8835,226.6062,221.6281,
137.918,-0.01857043,0.105286,0.07996786,0.4341451,0.3235521,0.2807291,-0.6036,-0.00995788,0.3495951,344.6764,358.0824,359.8436,-0.2781214,0.06398015,0.2939712,-0.3402654,-2.615784,-2.571799,-0.7429447,0.3063401,0.2991886,322.7384,125.0862,155.2716,0.2585444,-0.01839182,0.5396304,3.154319,1.307096,-0.1162832,-0.4432285,0.3144271,0.3854981,296.0278,227.6776,223.5785,
151.903,-0.02074069,0.4683028,0.06226875,0.3852834,0.1709931,-0.1311025,-0.603811,0.005010217,0.3499246,344.2292,357.8463,0.1712139,-0.8541459,0.3036207,0.5322403,-0.5675547,-3.643549,-3.047207,-0.7688538,0.3108407,0.3077035,318.0672,120.9641,157.8547,0.8829257,0.1411938,0.7293817,2.258533,1.884597,0.9016715,-0.4164574,0.3184795,0.3968611,292.8671,230.5683,221.4554,
165.885,-0.01967707,0.7840883,0.04180745,0.2774412,0.1480138,-0.09761686,-0.6040258,0.02116907,0.3500021,344.3459,357.7958,359.9692,-1.416179,0.3926754,0.7088009,0.2231607,-4.03257,-2.897782,-0.803465,0.3157496,0.3169912,315.4449,116.1657,159.978,1.49144,0.2389137,0.883055,1.58246,2.335706,1.861423,-0.3826152,0.3216648,0.4093909,289.1894,234.6188,217.7828,
179.555,-0.01293878,1.010323,0.01962388,-0.05489568,0.1696281,-0.05867889,-0.6038735,0.03794619,0.3496122,344.9367,357.6475,359.9138,-1.999008,0.4889828,0.8414423,1.140019,-4.962461,-2.062511,-0.8445093,0.3239124,0.3274198,312.4571,111.1622,160.2777,2.043746,0.2665469,1.017605,1.377014,2.473162,2.911905,-0.3418646,0.3238304,0.4225356,285.5493,243.3778,209.5747,
193.666,-0.002271222,1.152631,-0.0002503487,-0.3595658,0.201306,-0.0326102,-0.6035538,0.05522248,0.3492444,345.5948,357.4947,359.7856,-2.610677,0.632755,0.8722528,1.306587,-6.801301,-0.5307645,-0.8890818,0.3318658,0.3351904,306.0068,108.5306,156.921,2.629557,0.2273481,1.096625,0.6766012,3.242831,3.903318,-0.2946615,0.3242244,0.4347295,280.0542,254.8688,197.6357,
207.733,0.00862705,1.224293,-0.01201434,-0.4328428,0.2572217,0.04767084,-0.6031914,0.07195708,0.3490326,345.8067,357.3447,359.4868,-3.179,0.6362929,0.7565764,1.175321,-8.46851,0.9889286,-0.9371061,0.3334551,0.3405473,297.5235,110.9111,149.4799,3.215245,0.09206182,1.125467,0.358865,4.946042,4.85191,-0.2434137,0.3208537,0.4455997,273.0058,309.2478,142.6543,
221.547,0.01844219,1.234767,-0.01948346,-0.2817629,0.2849722,0.1811207,-0.6027424,0.08768401,0.3487494,345.6421,357.3128,359.0865,-3.624794,0.4033939,0.5773996,1.244286,-9.578399,1.308544,-0.9866165,0.3275423,0.3424083,288.5716,118.5416,139.0954,3.741925,-0.2003894,1.029612,1.374839,7.47431,4.77723,-0.1904199,0.3112112,0.4531776,279.4624,61.64429,30.11208,
235.369,0.02687917,1.193378,-0.0191951,0.03733794,0.2615507,0.3150159,-0.6021633,0.1019392,0.3487151,345.0662,357.373,358.6761,-3.895651,-0.04226275,0.3911432,1.524943,-10.16495,0.9164202,-1.035249,0.312431,0.3424344,280.6354,139.5461,117.2079,3.960872,-0.4754631,0.8905727,3.396003,8.4718,3.912404,-0.1402942,0.2995937,0.4600412,289.0433,74.39434,18.22702,
249.337,0.03394831,1.113107,-0.0120933,0.3743325,0.1803645,0.4183872,-0.6014974,0.1144431,0.3488407,344.2758,357.5809,358.2914,-3.97587,-0.6281137,0.2410119,1.920534,-10.2063,-0.03131628,-1.080759,0.2888527,0.3406529,276.9123,195.1363,62.04414,4.18599,-1.261335,0.4604861,7.533302,9.069004,-0.4538503,-0.09024599,0.2642074,0.461884,301.6061,92.54813,3.621058,
263.319,0.03858307,1.005666,-0.001348823,0.6382635,0.08779214,0.4902423,-0.6009037,0.1251696,0.3490851,343.4611,357.8261,357.9008,-3.870667,-1.262624,0.1093523,2.415946,-9.707837,-0.5742807,-1.121928,0.25755,0.3379214,280.7839,239.9893,17.65808,4.033719,-1.94825,0.2828565,9.693964,7.647121,-1.543229,-0.04842801,0.2266329,0.4653394,312.2991,95.54205,3.174801,
277.182,0.03887886,0.8806989,0.01070428,0.7453941,0.02288988,0.4839405,-0.6005228,0.1340229,0.3495214,342.8174,358.027,357.6576,-3.616701,-1.87544,-0.01613194,3.240543,-8.674325,-0.327209,-1.157872,0.2193506,0.3352484,286.3199,251.946,4.840644,3.708609,-2.544562,0.2496091,10.47838,6.342387,-0.8325966,-0.01375519,0.1847596,0.4687845,321.8823,94.24135,5.198162,
291.276,0.03551235,0.7471375,0.01993556,0.6623626,-0.03809747,0.3505499,-0.6001871,0.1411287,0.349875,342.5444,358.1168,357.7039,-3.289066,-2.439831,-0.1067954,4.372091,-7.512354,-0.02364349,-1.188906,0.1749375,0.3326264,291.7614,256.6778,357.933,3.087756,-3.203862,0.2967241,9.499959,5.981922,0.966753,0.007672127,0.132801,0.4708253,329.4125,89.7058,7.007614,
305.174,0.02991938,0.6154987,0.02526389,0.4979907,-0.07880165,0.1690749,-0.599957,0.1465713,0.3503134,342.3529,358.1276,357.8635,-2.88394,-3.040139,-0.174612,5.381253,-6.60599,-0.1204718,-1.213128,0.1226939,0.3286017,297.6135,260.4469,351.9374,2.435028,-3.64116,0.3133192,7.985391,5.858968,1.768875,0.02390645,0.07929432,0.4710703,335.1806,85.60619,7.007295,
318.899,0.02326814,0.4876021,0.03083967,0.4102485,-0.08602228,0.04049775,-0.5998583,0.1502273,0.3509235,342.0997,358.1017,357.9872,-2.495893,-3.53968,-0.2273345,5.809683,-6.154257,-0.5316184,-1.233201,0.06736733,0.3229086,304.01,263.8967,347.714,1.832131,-3.977636,0.2515849,7.188295,5.296971,1.584913,0.03565058,0.02234403,0.4702402,340.3501,83.19835,5.864667,
333.01,0.01647842,0.3616109,0.03436134,0.3512456,-0.05484319,0.002119879,-0.5998077,0.1519896,0.3514483,341.902,358.0629,357.9934,-2.080103,-3.983068,-0.3089768,6.26392,-5.728873,-0.4454618,-1.247588,0.007987518,0.3161178,310.7585,265.3078,345.7874,1.38424,-4.23624,0.1624533,7.239721,3.964878,1.556987,0.04400131,-0.03694704,0.4696445,345.9363,82.39357,5.389452,
346.963,0.009471085,0.2302871,0.03860139,0.2921579,-0.003403988,0.02831305,-0.5998602,0.1517394,0.3521647,341.7501,358.0413,357.8891,-1.641136,-4.365932,-0.4146711,6.795738,-5.015337,0.02737087,-1.25612,-0.05548432,0.3082596,317.3998,265.2182,344.9477,0.8703561,-4.560539,0.03986163,7.291789,1.993341,2.10956,0.04381054,-0.1025528,0.4680572,351.5885,82.80093,6.778932,
360.852,0.002581182,0.09088043,0.04326757,0.1839906,0.02052029,0.05264548,-0.5999942,0.1493645,0.3528361,341.7879,358.0652,357.8077,-1.203366,-4.702332,-0.5340348,7.445616,-4.16248,0.7662973,-1.259511,-0.1217863,0.299161,324.3511,264.198,344.7052,0.439238,-4.820107,-0.07802872,7.182261,0.08525917,2.808281,0.03982717,-0.1696897,0.4651401,357.4164,83.64634,9.302255,
374.902,-0.005303272,-0.06754528,0.04648601,0.05488066,0.02022886,0.08368369,-0.6002736,0.1446202,0.3535228,341.9142,358.1428,357.6895,-0.7659703,-5.001168,-0.6570938,8.240784,-3.122239,1.823744,-1.257228,-0.1905574,0.2893742,332.0443,262.3241,344.9362,0.008152373,-5.051569,-0.2059503,6.999272,-1.629277,3.325415,0.02988054,-0.2392661,0.4609252,3.4349,84.9203,12.47032,
388.731,-0.01308809,-0.2244903,0.04883524,-0.05558809,0.006221291,0.08710086,-0.6007156,0.1376407,0.3542914,342.1171,358.2072,357.6275,-0.3013325,-5.253527,-0.7504823,8.802231,-1.913976,2.85942,-1.24846,-0.2609589,0.2792864,340.1035,260.3317,345.3006,-0.3801265,-5.218459,-0.2959221,6.828124,-2.622476,3.541629,0.01589323,-0.309328,0.4559247,9.715239,85.57301,15.17515,
402.57,-0.02103087,-0.3856928,0.04910402,-0.1611783,-0.01871515,0.04233184,-0.6012287,0.1283911,0.3550134,342.3811,358.2365,357.6877,0.1986159,-5.439935,-0.8066057,8.996379,-0.5728393,3.826555,-1.233097,-0.331869,0.2692439,348.2473,258.3039,345.7814,-0.8382108,-5.378303,-0.3762935,6.91289,-3.155524,3.537975,-0.005015712,-0.3814937,0.448737,16.67684,85.30559,16.82104,
416.719,-0.02976861,-0.5470933,0.04959018,-0.2345572,-0.03859541,-0.02969334,-0.6018355,0.1169978,0.3556809,342.6557,358.2142,357.8262,0.6555693,-5.542229,-0.8192635,8.842723,0.7491978,4.663701,-1.213291,-0.4022268,0.2596271,356.436,256.4416,346.4633,-1.303242,-5.48186,-0.4674078,7.055241,-3.824264,3.318728,-0.0314623,-0.4535617,0.4397268,24.13787,84.81929,17.61162,
430.593,-0.03939112,-0.7055359,0.04924081,-0.2737373,-0.02011983,-0.07602905,-0.6026325,0.1035562,0.3563406,342.9153,358.1406,357.9008,1.182577,-5.602546,-0.7843121,8.574006,2.024402,5.479441,-1.185598,-0.4723062,0.2506942,5.149742,255.0091,347.661,-1.759561,-5.500632,-0.5988666,6.784788,-4.90165,3.150637,-0.06320642,-0.5236184,0.428201,31.62987,85.13329,18.94587,
444.384,-0.05045228,-0.8638532,0.04923259,-0.2269715,0.03251141,-0.06054638,-0.6036422,0.08781317,0.3569942,342.9667,358.0485,357.8407,1.711731,-5.562225,-0.7183936,7.998548,3.498159,5.676297,-1.151651,-0.5394691,0.2437036,13.38496,253.3178,347.7625,-2.176066,-5.397068,-0.7906349,5.692975,-6.023823,3.061856,-0.1000005,-0.5896569,0.4140885,38.02317,87.50945,22.35626,
458.137,-0.06204984,-1.021921,0.0456259,-0.2676794,0.09035932,0.0007323579,-0.6048203,0.07000011,0.3573692,343.3069,358.0062,357.6586,2.202603,-5.377974,-0.6324319,7.27992,4.701721,4.763157,-1.113602,-0.6004218,0.2392936,20.11658,251.0449,345.0692,-2.573084,-5.192866,-1.02145,4.349364,-7.462844,2.976098,-0.1408124,-0.6504326,0.39834,44.36934,92.74941,28.61743,
472.329,-0.07066169,-1.179326,0.03559308,-0.4372658,0.1146083,0.02924493,-0.6059389,0.05007938,0.3573594,343.9944,357.9889,357.562,2.58461,-5.017422,-0.5326992,6.459313,5.285476,3.527702,-1.074517,-0.6520005,0.2365488,25.18681,248.5063,340.8363,-2.959574,-4.869959,-1.164861,3.425292,-8.70712,2.628515,-0.1839247,-0.7027903,0.3844231,51.50025,98.88143,36.01718,
486.407,-0.07691969,-1.330233,0.02196562,-0.6757006,0.07163553,0.001577446,-0.607141,0.02838957,0.3573024,344.9115,358.0595,357.5898,2.81202,-4.458582,-0.3921693,5.006528,4.680113,3.445819,-1.037212,-0.6938759,0.2337774,29.1967,247.5629,340.4643,-3.267464,-4.309846,-1.15254,3.051613,-8.899334,1.618819,-0.2253011,-0.7419571,0.3707725,58.95566,102.2736,39.96074,
