time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.599,-0.07819457,-1.072248,-0.05953059,0.1424239,-0.04628188,0.1839887,-0.5048823,0.04507905,0.4510212,342.2584,2.093066,359.8151,3.203767,0.5148569,-1.572067,-2.215241,7.289926,-0.08875644,-0.7871183,0.3419125,0.5145503,300.9613,137.3274,107.1351,-3.029089,0.5608549,-0.2680925,-1.401651,-6.133399,0.4672925,-0.1958706,0.2924928,0.5119231,280.787,167.2713,278.4182,
13.242,-0.07429062,-1.204658,-0.05300996,-0.08630385,-0.1285935,0.1475197,-0.5058024,0.02571991,0.4504597,342.6472,2.285462,359.8174,3.193219,0.03942955,-1.712144,-2.454537,7.679155,-0.6236072,-0.746619,0.3346399,0.4922321,306.6313,140.2082,108.9096,-3.0659,0.2025144,-0.3166498,-1.823346,-5.958942,0.5257717,-0.2349397,0.2866571,0.5055581,280.1193,187.968,254.5101,
26.943,-0.07260931,-1.304269,-0.04768849,-0.3286451,-0.1391208,0.192552,-0.5068712,0.005825669,0.4499569,343.3004,2.492805,359.6048,3.086568,-0.3853051,-1.802877,-2.292709,8.323264,-1.311583,-0.7100894,0.3231418,0.4703517,312.7842,142.6869,111.7511,-3.069834,-0.1421911,-0.4008074,-2.253059,-6.019701,0.3522536,-0.2728353,0.2769012,0.4977102,281.1771,207.2949,231.2535,
40.476,-0.07261527,-1.370915,-0.04079879,-0.8752863,-0.07771435,0.3243021,-0.5079336,-0.01287732,0.4494822,345.0579,2.632033,359.241,2.842001,-0.8528595,-1.835919,-1.505249,9.342854,-2.549129,-0.6814832,0.3069586,0.4503304,319.9181,144.297,116.8384,-3.022576,-0.4589337,-0.4885063,-2.478122,-6.299951,0.1571648,-0.3076665,0.2642748,0.4894705,283.46,222.038,212.1971,
54.7,-0.06795681,-1.376065,-0.03449425,-1.587974,0.002661705,0.3759913,-0.5085685,-0.03030983,0.4491229,347.4616,2.596321,359.1447,2.42347,-1.154097,-1.743379,-0.5727108,9.586777,-3.639522,-0.6630225,0.2928244,0.4348298,326.4146,145.9388,122.0275,-2.900784,-0.7268146,-0.5426074,-1.942658,-6.727634,0.1114683,-0.3376807,0.2509033,0.4826311,287.0777,232.5397,198.1874,
68.487,-0.05601348,-1.297239,-0.02786033,-2.440612,0.05816574,0.2690214,-0.5088031,-0.04372209,0.448725,350.4467,2.363303,359.4222,1.867017,-1.13843,-1.496641,-0.4855183,8.181561,-3.575443,-0.653717,0.2866946,0.4261251,329.6321,147.8008,124.9359,-2.690029,-0.903214,-0.52661,-0.2008525,-6.812491,0.3215615,-0.3620347,0.2389698,0.4788328,291.9928,239.0952,190.598,
82.573,-0.04625456,-1.098082,-0.03894886,-2.687208,0.1251356,0.06347053,-0.5100882,-0.04960829,0.4475894,352.3906,2.118954,359.6747,1.270478,-0.8239467,-1.125025,-1.185565,5.395898,-2.279813,-0.6505141,0.287849,0.4223517,328.7416,149.4003,124.7476,-2.367274,-0.962128,-0.4193792,2.368696,-6.127692,0.625409,-0.3783543,0.231073,0.4776307,297.606,244.2505,187.4954,
96.193,-0.02690453,-0.7711262,-0.02429514,-1.683537,0.6300012,-0.278576,-0.5082169,-0.05030981,0.4484529,351.3281,0.4168338,0.02336629,0.7170985,-0.4321998,-0.6813214,-1.312604,2.398697,-1.168592,-0.6536272,0.2902049,0.4251689,325.9798,149.5284,123.5109,-1.867098,-0.8497915,-0.2858754,4.230951,-4.490949,0.2344782,-0.3839164,0.2282565,0.4773825,302.1057,246.6373,188.9639,
110.732,-0.007101938,-0.3595672,0.009498559,-0.5157843,0.4961987,-0.07026701,-0.5090227,-0.04278299,0.4502525,350.399,0.9681014,359.4057,0.2360928,-0.1085602,-0.2156375,-0.5709611,0.007401496,-0.9906549,-0.6629947,0.2938915,0.4318878,322.8065,147.1675,123.737,-1.162676,-0.5225768,-0.2225358,3.621301,-2.626711,-0.692789,-0.3792377,0.2343247,0.4757444,303.0934,244.6173,193.3513,
124.13,0.02256289,0.07121233,0.04370536,0.5775817,0.2871267,0.09305386,-0.5077684,-0.03258884,0.4509697,348.7155,1.15777,359.1479,-0.2044969,0.1156142,0.2186605,0.328042,-1.510757,-1.267714,-0.677804,0.2978598,0.4428492,319.8199,143.4523,125.2113,-0.3567131,-0.07036837,-0.2106008,0.9624113,-1.200323,-1.178832,-0.3652726,0.2440607,0.4750822,300.6982,238.7481,197.5624,
137.739,0.0373734,0.4282622,0.06239881,0.8815052,0.09686872,0.2863578,-0.5070567,-0.01913255,0.4523513,348.0581,1.401455,358.6103,-0.6269014,0.2468887,0.6175278,1.125954,-2.355571,-2.261611,-0.6998737,0.3008978,0.4575588,316.8248,138.0311,129.2814,0.4150371,0.3582228,-0.1170288,-1.623302,-0.008217812,-0.9940187,-0.3435007,0.2588041,0.4772668,296.7702,233.2776,199.1902,
151.95,0.04106195,0.7600905,0.07689268,0.7914296,-0.08911128,0.5586824,-0.5067501,-0.003263772,0.4532027,347.8868,2.042644,357.8105,-1.143909,0.3496052,1.03375,1.606504,-3.201565,-4.086377,-0.7305552,0.3058597,0.4743675,312.3222,130.1537,136.5763,1.120061,0.6942196,0.08277328,-2.390254,1.475279,-0.8515196,-0.3133357,0.2738763,0.4855255,292.8493,228.1355,202.7444,
165.92,0.03522016,0.998305,0.07881697,0.4804598,-0.2528969,0.6250838,-0.5065491,0.01402697,0.4543242,347.923,2.596697,357.5376,-1.657376,0.4289356,1.337123,1.596119,-4.127003,-5.636743,-0.7648918,0.3111206,0.4910658,306.0398,121.3786,144.5415,1.758725,0.9418541,0.3798538,-1.161356,3.566218,-0.2456349,-0.2778219,0.2905355,0.4982449,288.2555,223.5987,210.0348,
179.599,0.02078932,1.164409,0.08453689,0.2245483,-0.3708497,0.3989411,-0.5067794,0.03219286,0.4556913,348.0455,2.907068,357.7743,-2.204129,0.4630692,1.51393,1.53271,-5.142876,-6.376261,-0.8038265,0.3157081,0.5063126,298.5249,112.2186,152.1633,2.368155,1.063969,0.6654306,1.077245,5.749739,0.4641356,-0.2364197,0.3045838,0.5119147,282.5164,213.1192,225.9584,
193.698,0.004204828,1.263164,0.09292035,0.09101324,-0.3405401,0.1012005,-0.5070817,0.05021313,0.4572814,348.0153,2.889734,358.1266,-2.705435,0.4067374,1.481581,2.007863,-6.343073,-4.795931,-0.846137,0.3164645,0.5203814,291.5854,107.7881,153.0968,2.94773,0.9914188,0.8157699,3.425151,7.590368,0.6271103,-0.1911519,0.313377,0.5231618,278.5839,170.3828,274.2922,
207.686,-0.009697663,1.302451,0.1022822,0.09294424,-0.2073486,-0.09533211,-0.5073316,0.06766239,0.4588523,347.8633,2.716603,358.3829,-3.081576,0.2327354,1.29246,3.086426,-7.284126,-1.36311,-0.8896464,0.3112304,0.5330021,285.8995,112.9043,142.0833,3.355091,0.7184708,0.8209358,5.140999,8.447142,0.6283782,-0.1449385,0.3145354,0.5318149,283.0247,123.9958,324.5431,
221.388,-0.01904531,1.291896,0.1094152,0.1666557,-0.0926616,-0.1278527,-0.5077155,0.0839529,0.4604855,347.5869,2.640768,358.3811,-3.299359,-0.03187143,1.097769,4.025164,-7.494463,1.163285,-0.932849,0.3007272,0.5439352,280.9792,125.5105,123.3448,3.631168,0.2144844,0.7171258,6.656908,8.785764,0.003777921,-0.09950704,0.3057018,0.5383267,292.5495,109.7392,341.3509,
235.479,-0.02644402,1.237053,0.116,0.3085599,-0.018231,-0.0498932,-0.5082941,0.09863743,0.462389,347.1065,2.637771,358.1742,-3.452677,-0.4467678,0.9167974,4.744543,-7.643703,1.634641,-0.9752287,0.2820143,0.5509824,275.8017,156.9618,87.39302,3.661259,-0.3895248,0.6460866,6.673851,8.789793,0.5604266,-0.05981189,0.288291,0.5441963,301.3212,101.1806,349.0246,
249.521,-0.03189834,1.149599,0.122339,0.4428262,0.03051094,0.04442042,-0.5088477,0.1117112,0.4642863,346.5994,2.650164,357.9391,-3.473644,-1.022243,0.7427285,4.842411,-7.728804,-0.3131045,-1.013592,0.2545787,0.5532097,275.7542,246.0995,357.6939,3.476839,-1.001355,0.6565443,5.593527,9.188211,1.844981,-0.02379325,0.26431,0.5483085,309.3702,91.9536,353.6456,
263.415,-0.03540595,1.042438,0.1271616,0.5105844,0.03015997,0.1065836,-0.5093694,0.1231706,0.4661708,346.1777,2.741739,357.7613,-3.339798,-1.55599,0.5652251,4.446716,-7.64003,-1.802162,-1.047575,0.2233278,0.5542067,282.629,270.723,334.1462,3.105492,-1.670778,0.6268772,4.271559,9.07601,1.771563,0.004773967,0.2289177,0.5529412,315.3569,86.38022,353.8375,
277.155,-0.03695108,0.9249566,0.1345733,0.5258994,-0.02284125,0.1131438,-0.5098472,0.1329581,0.4682894,345.7501,2.877733,357.7024,-3.088136,-2.065908,0.391248,4.17834,-7.37421,-2.32921,-1.076978,0.1857052,0.5545106,289.471,275.3684,330.6472,2.733354,-2.1991,0.6229869,4.001356,9.186901,1.867537,0.0316771,0.1926557,0.5565912,321.9198,80.91903,353.8272,
291.307,-0.03681096,0.8019428,0.1459526,0.5639316,-0.1440775,0.04762601,-0.5103955,0.1409413,0.470746,345.2082,3.153372,357.8152,-2.772749,-2.545984,0.246296,4.398122,-6.83215,-2.457591,-1.101717,0.142792,0.5539626,295.8129,277.3395,329.0783,2.369635,-2.680559,0.5550332,4.75674,8.287449,1.857328,0.05391572,0.1497693,0.5596757,328.31,78.19193,353.0845,
305.374,-0.03864218,0.670766,0.1567059,0.5626725,-0.2833355,-0.01951148,-0.5110395,0.1473531,0.4730673,344.7819,3.458569,357.9481,-2.426352,-2.987338,0.118756,4.809721,-6.027439,-2.348401,-1.122203,0.09450406,0.5521014,301.5753,278.1062,328.0128,2.020062,-3.105554,0.4434275,5.447893,6.305536,2.264598,0.07169428,0.1018413,0.5622208,333.8228,77.59966,353.3331,
319,-0.04427791,0.5497109,0.1623822,0.5463795,-0.3623807,-0.002094846,-0.5119493,0.1521216,0.4753609,344.3337,3.8254,357.8972,-2.041541,-3.447679,-0.01350859,5.230261,-5.380678,-2.18332,-1.137648,0.04072528,0.548636,307.4155,278.2481,327.5688,1.69458,-3.498723,0.3067864,5.979123,3.933869,2.939388,0.08571875,0.04893956,0.5636783,339.149,78.5032,354.7759,
333.064,-0.05326286,0.4249829,0.1652922,0.5654227,-0.3713461,0.06077655,-0.5129709,0.1549379,0.4776862,343.8505,4.152236,357.769,-1.710093,-3.829088,-0.1132586,5.831203,-4.969208,-2.068038,-1.149565,-0.01571635,0.5447314,313.9203,278.0784,327.6537,1.376275,-3.888406,0.1717408,6.33013,1.776629,3.719146,0.09570188,-0.00941567,0.5640429,344.7692,79.87883,357.3162,
347.052,-0.06358385,0.2937803,0.1669597,0.5913102,-0.3492078,0.103899,-0.5141149,0.1557086,0.4800057,343.3555,4.426108,357.6553,-1.404907,-4.14057,-0.1936432,6.413642,-4.445291,-1.957747,-1.157962,-0.07464215,0.5397989,320.5069,277.8381,327.887,1.049764,-4.273173,0.02973299,6.614598,-0.05371601,4.280423,0.1017136,-0.07211679,0.5622064,350.8493,81.46428,0.324089,
360.756,-0.07352601,0.1573659,0.1670261,0.6063884,-0.3115055,0.09244708,-0.5154326,0.1544405,0.4823709,342.8405,4.625254,357.6209,-1.037826,-4.486483,-0.2832688,7.242829,-4.048364,-1.661938,-1.159419,-0.1387894,0.534184,327.8729,277.121,328.955,0.7004396,-4.630041,-0.1318452,6.813926,-1.69392,4.447029,0.1024272,-0.1390769,0.5585681,357.1444,83.4866,3.447904,
374.88,-0.08459403,0.01650673,0.166727,0.6403967,-0.2697639,0.04539842,-0.5169952,0.1511889,0.484726,342.2664,4.75023,357.6096,-0.6203049,-4.812471,-0.3563077,7.98459,-3.726953,-1.262934,-1.154448,-0.2062729,0.5277719,335.5727,276.5772,330.8994,0.3143901,-4.96249,-0.2944343,7.04556,-3.010566,4.348601,0.09751303,-0.2096985,0.5526976,4.030175,85.46437,6.467308,
388.89,-0.0956542,-0.1288984,0.16448,0.6982895,-0.1844591,-0.008366786,-0.518538,0.1457495,0.4868526,341.6128,4.711419,357.579,-0.1353609,-5.113903,-0.3778547,8.61992,-3.27306,-1.030209,-1.141481,-0.2777251,0.5227236,343.3253,276.6529,333.0974,-0.1318729,-5.270322,-0.4653381,7.334972,-4.142045,4.032275,0.08566855,-0.2831998,0.5439788,11.75175,87.25438,9.176764,
402.768,-0.1048101,-0.279606,0.1598785,0.7477521,-0.07518782,0.0001514745,-0.5201409,0.1381404,0.4889364,340.9772,4.704924,357.3545,0.4089738,-5.397508,-0.3308348,9.330697,-2.628735,-1.424741,-1.121583,-0.3513952,0.5185024,351.635,278.0081,334.956,-0.6250153,-5.498127,-0.6122221,7.385195,-4.633789,3.51887,0.06732653,-0.3577094,0.5329295,19.37346,87.89156,10.8604,
416.65,-0.1099883,-0.4366293,0.1561273,0.8401406,-0.02566759,0.08541984,-0.5217471,0.128224,0.4911196,340.1984,4.902022,357.0002,0.9801967,-5.620217,-0.298526,9.73596,-1.102696,-1.904996,-1.094746,-0.4264475,0.5143561,359.8249,278.9379,335.8228,-1.147843,-5.662306,-0.7712868,7.542324,-5.495513,2.755286,0.04299645,-0.4330817,0.5186093,27.84332,88.31781,11.50518,
430.638,-0.1142369,-0.5934687,0.154381,0.8741722,-0.100171,0.1194404,-0.523494,0.1162252,0.4933236,339.5021,5.199031,356.9295,1.549437,-5.775196,-0.306939,9.611023,1.158401,-2.580957,-1.060999,-0.5015779,0.5102412,8.050068,278.9786,334.8751,-1.687313,-5.716771,-0.9957122,6.91479,-7.134274,1.929451,0.01170256,-0.5065261,0.5004814,36.36203,90.70543,12.9542,
444.555,-0.1189926,-0.7522417,0.1521326,0.8350843,-0.2237146,0.02505255,-0.5252306,0.1018634,0.4952648,338.9137,5.379086,357.1224,2.108495,-5.811734,-0.3419298,8.65244,3.488834,-3.883377,-1.021637,-0.5726541,0.505325,16.16563,278.8846,331.3311,-2.239632,-5.641268,-1.243661,5.485686,-8.816265,0.9497256,-0.02755642,-0.576063,0.4807726,44.54346,95.38903,15.56944,
458.356,-0.1187934,-0.9171435,0.141346,0.687812,-0.2891992,-0.04763875,-0.5266352,0.08491102,0.4966249,338.6238,5.562055,357.2286,2.525862,-5.651469,-0.4086146,6.728232,5.261488,-5.098385,-0.9810969,-0.6358001,0.4994655,22.75981,278.4051,325.4566,-2.767101,-5.398898,-1.449134,3.67139,-9.871949,0.391379,-0.0707536,-0.6384274,0.4594568,51.94503,102.2983,20.64977,
