time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.588,0.007707321,-0.04412387,0.02713098,-0.3292775,0.002051938,0.06228309,-0.0547986,-0.01546898,0.008836269,25.14951,11.83185,357.2162,0.05922637,0.007468701,-0.1920658,-0.449225,-0.2654388,-1.020934,-0.09757224,-0.3576029,0.3270864,12.93116,12.52327,20.84562,-0.09970678,-0.0008773492,-0.1279612,0.4417561,0.0573369,0.9145195,0.07671572,-0.3819795,0.3257354,16.02381,5.049135,337.016,
12.387,0.006204318,-0.04195655,0.02763808,-0.3117249,0.01492502,0.06965958,-0.05479074,-0.01604623,0.009235382,25.37545,11.82699,357.2636,0.06114631,-0.00104396,-0.1843143,-0.4619575,-0.3142861,-0.9438077,-0.09706806,-0.3576364,0.3250865,13.18467,13.03943,21.53971,-0.08462917,0.01101683,-0.1293212,0.4734993,-0.1445109,0.7620907,0.07593123,-0.3821346,0.3240512,15.58384,5.023501,336.4355,
25.746,0.005008138,-0.04017527,0.02853969,-0.2928914,0.03612659,0.0748599,-0.05475521,-0.01657021,0.009656429,25.58415,11.79196,357.3217,0.06385784,-0.002365927,-0.1772547,-0.4437106,-0.3558992,-0.9177892,-0.09669883,-0.3576061,0.3232765,13.35926,13.63046,22.26413,-0.08002873,0.01268161,-0.121703,0.3732808,-0.1657126,0.5437943,0.07466035,-0.3820807,0.3226453,15.42321,5.060564,336.2716,
39.853,0.003800355,-0.03797705,0.02943545,-0.2770012,0.06449933,0.07657145,-0.05474019,-0.0170193,0.0100987,25.78582,11.73215,357.3963,0.06038763,-0.0007426352,-0.1661126,-0.3924609,-0.3527178,-0.879775,-0.09651826,-0.3576868,0.3215034,13.43136,14.15352,22.91456,-0.09771333,0.01023161,-0.1093392,0.3192327,0.02309644,0.3792801,0.07301316,-0.3818486,0.3213772,15.39515,4.734831,336.3242,
53.647,0.002391495,-0.03516311,0.03031825,-0.2504413,0.09454074,0.08139405,-0.05473137,-0.01742032,0.01051807,25.95049,11.63502,357.4485,0.05014828,-0.002442477,-0.155321,-0.3462437,-0.3155804,-0.7679752,-0.09645599,-0.3577303,0.3198262,13.51952,14.5005,23.37763,-0.1182104,0.01520319,-0.1020749,0.383613,0.1805278,0.3083158,0.07143483,-0.3816684,0.3201745,15.20362,4.174932,336.2611,
67.404,0.0006406433,-0.03189685,0.03090349,-0.2232609,0.1180029,0.09043378,-0.0548203,-0.01769334,0.01099014,26.10605,11.52123,357.4862,0.03427327,-0.0004748804,-0.1456417,-0.224143,-0.2031263,-0.5534469,-0.09658043,-0.357699,0.317505,13.45881,14.5326,23.46013,-0.1322478,0.02384726,-0.09626354,0.45813,0.2640852,0.2986495,0.06989083,-0.3812882,0.3191967,14.94814,3.568537,336.0909,
81.415,-0.001498028,-0.02937896,0.03089251,-0.1985794,0.1303345,0.1043468,-0.05494714,-0.0179958,0.01142931,26.25835,11.39323,357.4969,0.01995013,0.000555153,-0.1340387,-0.1089397,-0.116511,-0.2993683,-0.09642604,-0.3576553,0.3163809,13.41157,14.4222,23.26567,-0.1421041,0.04209492,-0.0889132,0.5492418,0.3047615,0.2715903,0.06838888,-0.3803015,0.3175849,14.57844,2.967046,335.945,
94.447,-0.003596446,-0.02797344,0.02990635,-0.1780592,0.138003,0.1196008,-0.05508137,-0.01834142,0.01182222,26.4044,11.25326,357.492,0.012576,-0.0001231696,-0.1255158,-0.06360181,-0.07676944,-0.1728053,-0.09640969,-0.3577046,0.3148783,13.40265,14.38169,23.19168,-0.1387824,0.05550105,-0.08421044,0.5625601,0.2673203,0.2475768,0.0671225,-0.3795358,0.3167684,14.24759,2.553838,335.7904,
104.219,-0.004925157,-0.02720174,0.02900473,-0.1715682,0.1434006,0.1323917,-0.05521202,-0.01870492,0.01217842,26.56718,11.09676,357.4867,0.00927089,-0.0001990744,-0.1192022,-0.03333643,-0.05521886,-0.1274959,-0.09621972,-0.3578151,0.3139497,13.36922,14.39841,23.19494,-0.1288922,0.06271354,-0.08012546,0.5179728,0.1986604,0.2317728,0.06608693,-0.3786062,0.3152478,13.99499,2.300329,335.6184,
130.54,-0.008764269,-0.02601964,0.02579826,-0.1645787,0.1665312,0.1616664,-0.05555058,-0.01940763,0.01277375,26.90153,10.71109,357.4672,0.004715914,-0.006611098,-0.09743139,-0.05418979,-0.08092189,-0.08271316,-0.09663168,-0.3581931,0.3115311,13.50971,14.55527,23.28202,-0.1084066,0.07389115,-0.07744458,0.5261689,-0.01077478,0.2782933,0.0637492,-0.377389,0.3132347,13.18555,2.027786,334.9758,
