time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.461,-0.1814494,0.015991,-0.03146242,0.1302074,1.518114,0.7781125,-2.891132,0.1656005,-2.104858,21.81854,348.8944,354.5031,-0.2539836,0.009063213,-0.05980194,-0.03785693,0.8665145,-0.2800195,-3.004228,-0.2613401,-1.925585,1.90702,344.6671,1.439447,-0.3042817,0.0104359,-0.02253767,0.07860882,1.079601,0.06023709,-2.836114,-0.2402384,-1.91297,8.18563,353.6353,355.409,
13.173,-0.1802406,0.01574646,-0.03392944,0.09936281,1.488261,0.7640617,-2.893619,0.1658383,-2.105425,21.76638,347.5918,354.41,-0.2471632,-0.00460623,-0.06595604,-0.08689933,0.8401732,-0.2437529,-3.006984,-0.2616161,-1.926437,2.096712,344.041,1.514129,-0.2879191,-0.01840452,-0.0173655,-0.100974,0.9435676,-0.2577878,-2.839424,-0.2408265,-1.913048,8.690339,353.3161,356.0956,
26.105,-0.1772706,0.01456156,-0.03563375,0.06911559,1.452652,0.7389718,-2.895994,0.1659579,-2.106014,21.70358,346.3444,354.3441,-0.2411172,-0.0141414,-0.07176655,-0.1226888,0.8231,-0.2007314,-3.009613,-0.2619119,-1.927455,2.274101,343.4131,1.539087,-0.2775753,-0.0382744,-0.01834271,-0.1393169,0.8983973,-0.4181845,-2.842609,-0.2415171,-1.913366,9.028202,352.8795,356.7281,
40.337,-0.1724952,0.01214004,-0.03679809,0.03474667,1.40939,0.6934056,-2.898228,0.1660203,-2.106557,21.69752,345.169,354.3141,-0.2331662,-0.02405772,-0.07838468,-0.1794851,0.7962374,-0.1516902,-3.012163,-0.262188,-1.928444,2.48854,342.813,1.473014,-0.2683593,-0.06044128,-0.01967237,-0.20979,0.8886751,-0.5317079,-2.845615,-0.2424437,-1.913469,9.475848,352.4065,357.3658,
54.13,-0.1661693,0.007746851,-0.03777186,-0.002678629,1.360341,0.6381391,-2.90036,0.1659549,-2.107094,21.72532,344.0715,354.2933,-0.2273695,-0.02782679,-0.08323655,-0.1749007,0.7700639,-0.1356719,-3.014688,-0.2625044,-1.929562,2.629962,342.239,1.490748,-0.2598506,-0.07442654,-0.02058384,-0.2370497,0.8638903,-0.5656376,-2.848651,-0.2433602,-1.913746,9.871852,351.9562,357.9127,
67.859,-0.1583563,0.002109025,-0.03838681,-0.04895951,1.306792,0.5725811,-2.902324,0.1658243,-2.107643,21.81801,343.0453,354.2949,-0.2222683,-0.02859684,-0.08966191,-0.1363974,0.7590386,-0.1234958,-3.017178,-0.2629257,-1.930993,2.707012,341.6577,1.552763,-0.260881,-0.08128382,-0.02319985,-0.2713864,0.9245606,-0.4560629,-2.85177,-0.2441583,-1.913818,10.24575,351.2273,358.1658,
82.029,-0.1494687,-0.004408119,-0.03839304,-0.09916984,1.245942,0.4936015,-2.904146,0.1656068,-2.108176,21.97645,342.1127,354.3203,-0.2178573,-0.03236159,-0.09253386,-0.1301996,0.7332316,-0.1894895,-3.019777,-0.2632202,-1.931408,2.934439,341.1287,1.736505,-0.2648995,-0.07748065,-0.03244026,-0.2281659,1.020298,-0.2849393,-2.854485,-0.2448258,-1.914883,10.4118,350.2861,358.2478,
95.988,-0.139457,-0.01303093,-0.03736068,-0.1499063,1.170164,0.3998853,-2.905863,0.1652153,-2.108667,22.18649,341.2914,354.3513,-0.2118404,-0.03098322,-0.09702896,-0.08116221,0.7059729,-0.2031501,-3.02206,-0.2635661,-1.933318,3.042713,340.6317,1.925717,-0.264065,-0.06544716,-0.04079778,-0.1651563,1.076981,-0.09949994,-2.857324,-0.2452937,-1.914697,10.44816,349.2996,358.1947,
110.244,-0.1301769,-0.02250858,-0.03551457,-0.1990815,1.099206,0.3030782,-2.907493,0.1646495,-2.109081,22.47232,340.5603,354.4251,-0.2072147,-0.03213196,-0.09815413,-0.1053454,0.6910596,-0.2268849,-3.024488,-0.2637287,-1.93381,3.271272,340.1153,2.055423,-0.2488519,-0.04512416,-0.0473556,-0.05720669,0.9967012,0.09069519,-2.859169,-0.2453622,-1.916231,10.24869,348.5279,357.9952,
123.965,-0.1211995,-0.03305945,-0.03313797,-0.2433631,1.042251,0.2037422,-2.908937,0.1638803,-2.109484,22.80993,339.8703,354.5275,-0.2011908,-0.0293538,-0.09896365,-0.1097047,0.6716467,-0.2176361,-3.026483,-0.2638451,-1.935903,3.432953,339.6163,2.151599,-0.2234838,-0.03215336,-0.04753704,-0.0425592,0.8153831,0.2246578,-2.861486,-0.2458891,-1.915803,10.13818,348.0399,357.6885,
