time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.464,-0.05157168,-0.5920961,-0.05513391,-0.386997,0.1742487,-0.2138113,0.1693478,-0.01990998,0.6576374,354.0926,345.0145,356.047,-0.5414264,-0.5230677,-0.2871365,-2.200836,0.6072674,0.9414305,-0.02513968,-0.8411642,0.5028745,66.53811,266.1542,318.5681,0.2870488,-0.6502917,0.1972262,0.7953709,0.128512,-1.390569,0.2989638,-0.8128417,0.8164232,57.7321,10.64528,52.01996,
13.14,-0.03352585,-0.5001618,-0.07110267,-0.6143524,0.1883304,-0.6486532,0.1692607,-0.02415591,0.6564272,355.2003,344.7922,356.5084,-0.7502153,-0.3360116,-0.4503945,-3.311836,0.5894631,1.444955,-0.03862236,-0.8405216,0.4950211,65.42851,261.3423,317.6618,0.4655438,-0.479397,0.3440322,1.267963,0.4187689,-2.046987,0.306639,-0.8142008,0.8239297,57.15792,15.19091,54.57707,
26.483,-0.009484445,-0.3293074,-0.08450961,-0.8013367,0.2421617,-1.082949,0.1696336,-0.02467915,0.6551079,356.4742,344.4729,357.1606,-0.9271,-0.06580629,-0.6331622,-4.409638,0.8137405,1.954847,-0.05381615,-0.8352657,0.4844445,64.4719,256.4857,317.9496,0.6197339,-0.2043839,0.4951584,1.664436,0.9562255,-2.125894,0.3162748,-0.8093921,0.8339213,55.58353,19.1531,56.95543,
40.49,0.01403034,-0.111898,-0.08516731,-0.7060476,0.2821147,-1.306513,0.1701951,-0.021456,0.6542624,357.3287,344.1486,357.959,-1.06461,0.2752027,-0.8156061,-5.138434,0.9726546,1.977288,-0.07042523,-0.82476,0.4716814,63.58598,251.9184,318.6068,0.7832415,0.2327989,0.6958082,2.353549,1.615622,-1.800848,0.327973,-0.7978255,0.8454987,52.47613,21.70197,57.97541,
54.352,0.03734045,0.1941067,-0.07069156,-0.5139546,0.3005515,-1.280314,0.1710474,-0.0130429,0.6535754,358.0453,343.8824,358.5149,-1.173034,0.6248507,-0.9579749,-5.370523,0.7087268,1.37103,-0.08801847,-0.8085767,0.4582393,61.88209,248.0204,318.9427,0.9353572,0.6747032,0.8606037,2.957029,1.474665,-1.786849,0.3418216,-0.7817334,0.8595374,49.82371,23.73662,57.56675,
68.175,0.05591909,0.4893627,-0.05144503,-0.3046058,0.2427692,-0.8646468,0.1719565,-0.00195387,0.6533972,358.0957,343.7783,358.625,-1.290737,1.054307,-1.087441,-5.238355,0.2792152,0.7453454,-0.1070358,-0.7857363,0.4431306,59.68211,245.4836,319.8615,1.088499,1.086965,1.005348,3.574948,0.9549106,-2.026301,0.3583244,-0.76086,0.8753703,47.50998,25.7697,56.09919,
82.187,0.06901155,0.7244137,-0.0314314,-0.07360486,0.1632749,-0.4982185,0.1731184,0.01069355,0.6530945,358.0887,343.6824,358.8671,-1.409949,1.487666,-1.211427,-5.233914,-0.07790732,0.2184228,-0.1284911,-0.7585045,0.4257733,57.11525,243.5156,321.3419,1.240704,1.456725,1.133807,4.009175,0.4965807,-2.473696,0.3758724,-0.7362485,0.8935627,45.24249,28.239,54.49515,
96.034,0.07672071,0.8857563,-0.02193904,0.04819657,0.1331392,-0.3287832,0.174171,0.02444133,0.6528395,358.0634,343.5705,359.0209,-1.524045,1.919682,-1.349363,-5.557178,-0.33885,-0.4808612,-0.1496837,-0.7249998,0.4068253,53.72078,241.4512,323.0482,1.3665,1.80868,1.260363,4.318449,0.2830758,-2.798048,0.3945683,-0.7057789,0.9126494,42.69363,30.48398,52.57852,
109.808,0.07624029,0.9813572,-0.01575143,0.115697,0.1296957,-0.1171646,0.1750972,0.038656,0.6526938,357.8687,343.4675,358.977,-1.608421,2.317391,-1.462328,-5.812688,-0.4763125,-1.220627,-0.1718882,-0.6889672,0.3874943,49.82248,239.6191,324.9875,1.468594,2.170514,1.381454,4.580419,0.4706951,-3.075837,0.4140469,-0.6710713,0.9336674,39.4474,32.47814,50.56272,
123.593,0.0716681,1.023529,-0.01165311,0.1646504,0.1340271,0.1002423,0.1759527,0.05294815,0.6525755,357.551,343.3627,358.806,-1.658057,2.670979,-1.526649,-5.802991,-0.6134079,-1.958634,-0.1930314,-0.6477457,0.36844,45.52859,238.3866,327.0101,1.528815,2.551764,1.487124,4.892076,0.981174,-3.273888,0.4330529,-0.6309649,0.9546053,35.30246,33.88494,48.21177,
137.619,0.06420628,1.024405,-0.006226383,0.2629279,0.1374641,0.3131417,0.1767147,0.06643462,0.6525968,357.04,343.2665,358.6204,-1.679348,3.03054,-1.537936,-5.568196,-0.8967806,-2.808922,-0.2143118,-0.6038043,0.3498647,40.56498,237.9873,328.9026,1.542675,2.929403,1.541365,5.223151,1.603736,-3.490063,0.4519252,-0.5873342,0.974534,30.39858,34.73175,45.45657,
