time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.484,-0.03288207,-0.6622744,0.1008811,0.1858514,0.003354377,-0.09701604,0.224911,-0.008798808,0.4656395,349.4456,350.838,356.7892,-0.2706782,-0.6823938,0.047962,0.09658134,0.6639916,0.4613636,0.003384855,-0.778141,0.3855308,46.62565,303.3581,359.8257,0.2083222,-0.8015032,0.2815521,1.328949,1.675916,-1.516199,0.3355278,-0.7453905,0.6079517,38.32224,342.2939,356.24,
13.503,-0.03112524,-0.7036956,0.09714802,0.09855514,0.03004523,-0.059698,0.2245989,-0.01867411,0.4668511,349.3806,350.803,356.7605,-0.443515,-0.7002043,-0.02812574,-0.6726832,1.241616,0.5715167,-0.005601235,-0.7871055,0.3848392,46.88037,301.1607,359.6884,0.3032975,-0.7865413,0.356163,1.005661,0.321218,-1.189103,0.3418742,-0.7569745,0.6138589,37.79089,343.5186,356.1632,
26.92,-0.02841437,-0.7126349,0.09310636,0.01343727,0.07084361,-0.02831844,0.2243087,-0.02823856,0.4680551,349.4474,350.7171,356.7188,-0.6206496,-0.6755948,-0.1106799,-1.21832,2.087758,0.6595926,-0.01744993,-0.7942259,0.3831807,47.64162,298.5408,0.07783955,0.4485632,-0.8035002,0.4231928,0.1936888,-0.9139255,-1.424831,0.3499177,-0.7679199,0.6212039,38.38925,345.4309,355.3683,
40.486,-0.02401213,-0.6798622,0.08317341,-0.2517473,0.1119028,-0.1384381,0.2241101,-0.03642166,0.4688693,350.044,350.5804,356.7899,-0.8145083,-0.5580475,-0.1975539,-1.720562,2.650026,0.8818158,-0.0320989,-0.7977477,0.3800905,48.14843,295.6586,0.7387102,0.6264817,-0.8018751,0.4879602,-0.8121545,-1.838467,-2.038464,0.3600627,-0.7765685,0.6303836,40.03613,348.2371,354.5459,
54.594,-0.01369009,-0.6001035,0.06570957,-0.5612608,0.1631446,-0.3533764,0.2242172,-0.04275689,0.4694255,350.9255,350.3362,357.0339,-1.026632,-0.3189358,-0.3110316,-2.470556,2.653281,0.9949297,-0.04899677,-0.7958533,0.3752818,47.86332,291.8939,0.4695961,0.8153961,-0.6684637,0.5814918,-1.08442,-2.119402,-2.718392,0.3721909,-0.7791109,0.6406032,41.36526,352.1349,355.1556,
68.581,0.004991764,-0.4709861,0.046499,-0.8416494,0.2036063,-0.7694216,0.224786,-0.04642928,0.4697106,352.1606,349.9566,357.7297,-1.247739,0.03302589,-0.452232,-3.561097,2.369151,0.8565207,-0.06840459,-0.7882861,0.3695484,46.55549,286.734,358.8331,0.9683141,-0.3651427,0.6974201,-0.5869163,-1.515405,-3.0715,0.3850368,-0.7749709,0.6529583,41.6054,356.0643,357.561,
82.309,0.02811203,-0.2868856,0.02833243,-1.105975,0.2454341,-1.240869,0.2256494,-0.04642338,0.4698561,353.7378,349.5254,358.5915,-1.428179,0.46567,-0.5773666,-4.381247,2.085699,0.527695,-0.08826812,-0.7734522,0.3627378,44.59516,281.3754,356.8454,1.087137,0.1280852,0.8373931,0.7305222,-0.6120119,-3.018538,0.3999131,-0.7621899,0.6652948,39.84198,359.2407,0.7695175,
96.427,0.05303483,-0.02395479,0.01187842,-1.372347,0.3052889,-1.47309,0.2268207,-0.04128221,0.469732,355.3341,349.1464,359.2088,-1.557325,1.011182,-0.620833,-4.190607,1.589099,0.6714832,-0.1093788,-0.7521173,0.3560934,42.55842,278.3822,356.5255,1.175021,0.7009313,0.9703435,2.292229,0.03886182,-2.638254,0.41653,-0.7441965,0.6795447,36.30596,1.140663,3.265704,
111.13,0.0742741,0.2859349,0.008751434,-1.160364,0.2908825,-1.121749,0.2280345,-0.03224018,0.4702541,355.8805,348.9721,359.288,-1.623278,1.457642,-0.6066209,-3.829703,0.9147481,1.272924,-0.1313087,-0.7245595,0.3483103,40.03715,277.3661,357.7783,1.293869,1.234886,1.084812,3.309957,0.06934454,-2.563326,0.4355969,-0.7214976,0.695236,32.363,3.128453,5.059599,
124.172,0.08911499,0.5771546,0.02182963,-0.771349,0.1846239,-0.5844283,0.229435,-0.02038303,0.4708242,356.1846,348.9681,359.223,-1.685629,1.984877,-0.6088147,-3.917319,0.118361,2.013411,-0.1539496,-0.6921134,0.3396593,36.30251,277.3496,359.7492,1.474778,1.724086,1.181514,3.529074,-0.47154,-2.972613,0.456505,-0.6946348,0.7120245,28.97821,6.111626,6.550952,
