time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
2.389,-0.01239367,0.01680606,-0.04747392,0.1810398,-0.148507,0.05027893,-0.01423979,0.02963394,0.1768104,6.325915,0.9893792,0.04040458,0.01652728,-0.01492521,0.008755043,-0.1011446,-0.01334116,-0.03520383,-0.1318597,-0.8175813,0.1911187,59.03078,353.999,321.4116,-0.09527405,-0.01464316,-0.1162112,0.04623346,0.05495777,0.1472191,0.1322906,-0.8205858,0.208427,62.55375,17.1556,58.5456,
26.262,-0.01437619,0.01116878,-0.03593535,0.1193024,-0.06558317,-0.01854379,-0.01459408,0.0300374,0.175257,6.052071,1.142418,0.06942998,-0.003098624,0.005647241,0.02747083,0.02654804,-0.1549854,-0.1071327,-0.1318491,-0.8177121,0.1919696,58.71065,354.0493,320.9675,-0.1219877,-0.01704374,-0.1228074,0.1186376,-0.5078754,0.05218659,0.1279981,-0.8207626,0.2036532,63.08833,15.61629,56.30169,
39.919,-0.01448638,0.006419012,-0.03233486,0.1033152,-0.0512575,-0.01919107,-0.01493359,0.02997819,0.1744901,5.90257,1.212016,0.07408806,-0.01249646,0.008871577,0.03126233,0.1040243,-0.003158408,-0.02919897,-0.1323643,-0.8175753,0.1925682,58.60963,354.0541,321.1603,-0.1179317,-0.008115293,-0.1003206,0.182619,-0.6193125,0.07536835,0.1261362,-0.8208438,0.2021582,63.42565,13.96811,53.98537,
55.386,-0.01384966,0.0004899186,-0.02842653,0.08763035,-0.0430343,-0.007063045,-0.01508069,0.02982023,0.1742159,5.858348,1.234399,0.0460466,-0.02619495,0.01209003,0.04149636,0.2102819,0.2205179,0.05996624,-0.133468,-0.8170413,0.1938955,58.58182,354.1314,321.9482,-0.06984494,0.005979824,-0.04272521,0.4427876,-0.4913195,-0.006608769,0.1269698,-0.8202299,0.203159,63.02888,14.05519,53.34354,
70.749,-0.01238106,-0.006151319,-0.02364502,0.0881016,-0.04072853,0.01209725,-0.01516271,0.02951753,0.1740271,5.777872,1.255753,-0.004306474,-0.04661104,0.02352315,0.06690265,0.4423568,0.3553696,0.09316004,-0.1348025,-0.8172109,0.1957756,58.21721,354.1461,322.799,0.007486117,0.005129465,0.00548217,0.708325,-0.4085917,-0.4379933,0.1292412,-0.8210488,0.2047023,62.84497,15.71349,53.58704,
85.714,-0.01010354,-0.01446929,-0.01805305,0.09705342,-0.03789372,0.02894106,-0.01518011,0.02898309,0.1739172,5.68172,1.273101,359.9385,-0.07920881,0.04201276,0.1104648,0.8135218,0.5422473,0.1107431,-0.1369972,-0.8163623,0.1979678,57.48019,354.2034,324.1021,0.06539136,0.01924962,0.06659032,1.122959,-0.638638,-0.7758627,0.1308474,-0.819225,0.2073697,62.61922,16.72149,52.37377,
100.437,-0.008271367,-0.02589606,-0.01082893,0.1229947,-0.04019375,0.04417248,-0.01520634,0.02816841,0.1739738,5.533216,1.29767,359.8733,-0.1310944,0.04820322,0.1484126,1.123738,0.7214351,0.359427,-0.1400329,-0.8157974,0.2005052,56.82657,353.4702,325.0768,0.1391718,0.0337957,0.1250533,1.507565,-0.8773545,-1.094766,0.1346805,-0.818852,0.2104762,62.27573,17.66496,50.73323,
115.101,-0.005720693,-0.04014389,-0.002968781,0.1370448,-0.03633498,0.05119996,-0.01521015,0.02719358,0.1741291,5.417596,1.309683,359.8209,-0.1960353,0.04099159,0.1784029,1.288535,0.8416684,0.7263151,-0.1438479,-0.81611,0.2035328,56.35447,352.0221,325.5651,0.2186685,0.04412609,0.1616433,1.819237,-1.121837,-1.522663,0.1393222,-0.8183067,0.2134692,61.96313,19.1177,49.13121,
129.444,-0.00307746,-0.05569937,0.005842953,0.1393987,-0.03808866,0.05949215,-0.01518965,0.02602425,0.174455,5.308838,1.33289,359.7529,-0.2660886,0.02896368,0.205878,1.221991,0.9788615,1.021698,-0.1487419,-0.8155532,0.2071528,56.28918,350.5881,326.0155,0.3043239,0.04173614,0.1866525,1.952833,-1.334276,-2.054397,0.1450705,-0.817952,0.2169614,61.8339,21.25063,47.86087,
144.256,0.0001056946,-0.0729951,0.01539229,0.1394212,-0.03829831,0.06055177,-0.01500654,0.02461123,0.1748658,5.207135,1.352456,359.7018,-0.3290463,0.04359325,0.2428083,1.194933,0.9569466,1.051335,-0.1545489,-0.8146965,0.2118594,55.96286,349.6082,326.5272,0.3971404,0.04204342,0.2038088,1.94329,-1.620458,-2.547599,0.1522477,-0.8171365,0.2207488,61.93595,23.44265,46.35304,
158.617,0.003392421,-0.09128249,0.02454344,0.152311,-0.04173746,0.06603661,-0.01477265,0.02284023,0.1754292,5.057469,1.378131,359.6249,-0.4111609,0.09668785,0.3153014,1.317162,0.7790022,0.898239,-0.1620365,-0.8116361,0.2178727,55.10715,348.9823,327.0463,0.4729308,0.06904346,0.242465,1.926509,-1.582389,-2.489721,0.1604233,-0.8147383,0.2254142,61.56042,24.62874,44.71524,
173.044,0.00761477,-0.1193521,0.03487995,0.2125122,-0.03599892,0.04914513,-0.01452112,0.02031177,0.1761255,4.782422,1.389251,359.609,-0.4963643,0.1734915,0.4077538,1.543336,0.7750614,0.7339874,-0.1709453,-0.8072865,0.2258702,54.03925,348.7326,328.152,0.5569927,0.1344703,0.3161094,2.025748,-1.244996,-1.957614,0.1702134,-0.8109761,0.2312955,60.42754,24.53526,42.91438,
187.032,0.01246671,-0.1579714,0.04380542,0.3039026,-0.01460012,0.002785095,-0.01420736,0.01684478,0.1769209,4.391076,1.372505,359.6721,-0.6070476,0.2843245,0.541361,2.057839,0.8750119,0.5809488,-0.1824411,-0.8013859,0.2359182,52.29419,348.7711,329.9834,0.6834175,0.23193,0.4094439,2.451647,-0.9034917,-1.652318,0.1829252,-0.8059493,0.2383809,58.46198,24.32516,40.76823,
201.288,0.01717872,-0.2074373,0.05093575,0.3643208,0.006020162,-0.04627457,-0.01385951,0.01263708,0.177713,4.060662,1.354562,359.7563,-0.7613553,0.4117143,0.6825864,2.65248,1.027591,0.6655877,-0.1967693,-0.7938163,0.2472455,50.08776,348.3083,331.9141,0.8562191,0.3339882,0.5261814,2.930652,-0.7273093,-1.565028,0.1988594,-0.8003236,0.2471466,56.13783,24.13876,38.24382,
215.526,0.0218683,-0.2614487,0.05483881,0.3654101,0.02531078,-0.08527051,-0.01345539,0.007879883,0.1784528,3.767848,1.329399,359.854,-0.9472589,0.5515053,0.8088934,3.137877,0.9114446,0.8851714,-0.2136495,-0.7844462,0.2594651,47.4441,347.2301,333.1328,1.027744,0.4240561,0.6242328,3.0879,-0.3115315,-1.49737,0.2166422,-0.7935383,0.2564062,53.71298,24.42835,36.78733,
229.61,0.0249425,-0.3096992,0.05896466,0.4194832,0.04128119,-0.1297961,-0.01303482,0.002630591,0.179325,3.341356,1.295276,0.007317928,-1.182211,0.7341787,0.9171029,3.358785,0.3160191,1.207849,-0.2341999,-0.7715513,0.2725828,44.48178,345.6205,333.0181,1.249046,0.5470682,0.7032255,2.983592,0.5075808,-1.443942,0.2379277,-0.784412,0.2657715,50.90487,25.19007,36.77378,
243.794,0.02623099,-0.3506884,0.06162178,0.4879158,0.04656972,-0.1550214,-0.01271462,-0.002882928,0.180221,2.834836,1.277356,0.1009944,-1.405177,0.9373291,0.9817258,3.411911,-0.3448767,1.690866,-0.2567649,-0.7554662,0.2859491,41.28115,343.5789,332.0992,1.451277,0.6816862,0.7497602,2.642178,1.397206,-1.475832,0.26105,-0.7733381,0.2755832,47.97678,26.26727,37.76993,
258.158,0.02463907,-0.3842492,0.06426209,0.5649588,0.01919083,-0.1009429,-0.01246142,-0.008731842,0.1811148,2.348384,1.30773,0.05402595,-1.631861,1.192458,1.029498,3.392262,-0.8376582,2.333925,-0.2818852,-0.7349704,0.3002204,37.82705,341.1181,330.8285,1.626889,0.8301663,0.7786218,2.241745,2.192646,-1.627889,0.2861284,-0.7599336,0.2855475,44.80132,27.4831,39.36027,
272.289,0.02284551,-0.3971942,0.06060089,0.4412919,-0.007958317,-0.03383369,-0.01215768,-0.01382422,0.1817257,2.274182,1.332378,0.008034522,-1.821036,1.524305,1.0676,3.511025,-1.394404,2.839271,-0.3084289,-0.7086651,0.3139975,33.61953,339.0977,329.7017,1.854946,1.083381,0.812835,1.580417,3.275795,-2.031686,0.3148065,-0.7410221,0.2960655,40.9038,29.09649,42.32001,
286.217,0.01977584,-0.3825284,0.05873898,0.2988978,-0.0488671,0.01286141,-0.01200151,-0.01809177,0.1826707,2.169713,1.430869,359.938,-1.945762,1.925086,1.075698,3.543214,-2.335364,3.149747,-0.3359606,-0.6766205,0.3265958,28.62928,338.1492,328.4321,2.031432,1.375562,0.8305072,0.8836583,4.152115,-2.6587,0.3442377,-0.7179707,0.3060571,36.41616,30.78229,45.63653,
300.444,0.01597014,-0.3192512,0.05881455,0.1499004,-0.09813381,0.05207964,-0.01188231,-0.02008483,0.1835168,2.232783,1.561722,359.8517,-2.002101,2.389306,1.038775,2.993136,-3.87671,3.920717,-0.3630772,-0.6379585,0.3378559,22.63034,337.8169,325.4449,2.171937,1.727952,0.8112268,-0.001757473,4.668344,-3.466369,0.374381,-0.6892986,0.315066,31.5962,32.69665,49.45051,
314.483,0.01319035,-0.2031284,0.05878259,-0.03452902,-0.1298525,0.04538959,-0.01173663,-0.01923248,0.1843152,2.503427,1.694038,359.86,-1.991681,2.890397,0.9430503,2.023285,-5.212037,5.331995,-0.3890122,-0.5933983,0.3467132,15.59789,337.7894,320.9943,2.251029,2.116005,0.7531259,-0.8418274,4.685856,-4.202893,0.4040214,-0.655208,0.3228787,26.77718,34.62174,53.19398,
328.303,0.01133219,-0.03653112,0.0620475,-0.1434483,-0.1510225,-0.02115174,-0.01158881,-0.01532733,0.1853452,2.690373,1.842426,-0.004970122,-1.950121,3.342576,0.7752683,1.466206,-5.365735,6.417313,-0.4149705,-0.5450572,0.3526614,8.634613,337.837,317.3434,2.247148,2.538245,0.6656593,-1.562346,4.57887,-4.821522,0.4320864,-0.6152774,0.3290498,21.61868,36.14815,56.72453,
342.466,0.009531255,0.1676893,0.06923983,-0.1732044,-0.162869,-0.1228167,-0.01149917,-0.008262604,0.1864831,2.802143,2.004413,0.2353844,-1.930489,3.682356,0.5675145,1.480302,-4.373304,6.739669,-0.4413076,-0.4941277,0.3566615,2.830245,336.9083,315.1868,2.168207,2.963566,0.5518769,-1.947973,4.4439,-5.296711,0.4584041,-0.5708268,0.3332866,15.99636,37.0727,59.51052,
356.465,0.006251387,0.3812411,0.07951416,-0.1194588,-0.1456529,-0.2026885,-0.01152277,0.001145184,0.1878237,2.764102,2.1033,0.4660766,-1.932463,3.937777,0.3496404,1.839819,-2.851057,6.859804,-0.4662172,-0.4404964,0.3589375,357.7432,334.3197,313.8667,2.062016,3.324032,0.4140687,-1.961434,3.957222,-5.599964,0.4836343,-0.5233508,0.3358586,10.68137,38.14084,61.50198,
370.221,0.0009744149,0.5654124,0.09005953,-0.04069555,-0.08685382,-0.2636458,-0.01163578,0.01173255,0.1891704,2.67902,2.103537,0.7350845,-1.877649,4.163117,0.1127491,2.280988,-1.385962,6.97608,-0.4874487,-0.3840012,0.3587575,352.8946,330.5917,313.0782,1.954301,3.605567,0.2687467,-1.648201,3.190621,-5.810154,0.5071319,-0.4729237,0.3380051,5.908206,39.9618,62.81183,
383.943,-0.003905728,0.7029057,0.09397075,0.005465246,-0.01099458,-0.3201348,-0.01172256,0.02316999,0.190392,2.608715,2.045623,1.05419,-1.714788,4.331778,-0.07833332,2.19613,-0.6803476,7.267395,-0.5052414,-0.3264621,0.3570671,347.501,327.6652,312.0878,1.799607,3.892829,0.1221692,-1.291005,2.582678,-6.148066,0.5270879,-0.4185635,0.3388387,0.9363205,42.25362,63.57798,
