time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
2.335,-0.03128225,0.009245354,0.04540882,0.00243888,-0.08460467,0.07073613,0.4369348,0.1400932,0.9189491,12.39923,315.1218,359.4376,0.005882592,-0.1580485,-0.001085634,0.03396505,0.008481305,-0.355672,0.1954936,-0.3911722,1.048858,34.84866,324.3913,40.60346,-0.001307364,-0.1645983,-0.01043919,0.3766687,0.5481688,-0.2656079,0.2820893,-0.3913017,1.148137,36.63382,309.7466,337.9881,
27.896,-0.03679494,0.01064708,0.05224152,0.01630497,-0.09497923,0.06247014,0.4354701,0.1405353,0.9211779,12.22018,315.3287,359.4444,-0.01562897,-0.1786718,-0.02554961,-0.1890203,-0.09353691,-0.3906593,0.1948937,-0.3978074,1.048335,35.88672,323.852,40.10098,0.008983357,-0.1939243,-0.009521732,1.06483,0.897082,-0.1808649,0.2809891,-0.3980303,1.147404,38.39202,311.4677,342.1937,
39.241,-0.03859904,0.01069721,0.05410633,0.01983288,-0.09663191,0.05357029,0.4343055,0.1408299,0.9227797,12.12881,315.479,359.4596,-0.02217222,-0.180476,-0.0323168,-0.2559347,-0.1227071,-0.3580181,0.1944596,-0.4022367,1.047695,36.44627,323.2805,39.54219,0.007728674,-0.191625,-0.004966838,1.040094,0.8669971,-0.1124384,0.2803708,-0.4025308,1.147094,39.10487,312.5513,344.6956,
54.962,-0.04129267,0.009768225,0.05660263,0.02371806,-0.1000352,0.04863512,0.4336407,0.1409212,0.9236327,12.07814,315.5623,359.4683,-0.02489504,-0.1887407,-0.03830983,-0.2550627,-0.1034724,-0.3603337,0.1941643,-0.404876,1.047201,36.73835,323.0221,39.33799,0.002354877,-0.1886545,0.00023347,0.7465025,0.6331798,-0.07761724,0.280508,-0.4050595,1.147242,39.12209,312.5638,344.7745,
69.983,-0.04416443,0.009421948,0.0590635,0.0276554,-0.09762497,0.04362228,0.4329003,0.141111,0.9245293,12.04031,315.6357,359.49,-0.01986833,-0.205492,-0.0419432,-0.1664095,0.01223689,-0.4088148,0.1938793,-0.4082976,1.047012,37.1283,323.0394,39.58803,0.001797405,-0.2012907,0.001403445,0.3899456,0.4872182,-0.1661389,0.2803507,-0.4084532,1.147655,39.45163,312.307,344.348,
85.048,-0.04766724,0.009574519,0.06204703,0.03126367,-0.09513384,0.04402211,0.4321418,0.1412881,0.925496,11.98522,315.7071,359.5093,-0.01151355,-0.228208,-0.04426375,-0.06797738,0.1501071,-0.4722676,0.1939271,-0.4119261,1.046609,37.59172,323.18,40.05395,0.004754377,-0.2182438,-0.0001437773,0.1530394,0.4210061,-0.268661,0.2806223,-0.411539,1.147589,39.92785,312.1088,344.0068,
99.851,-0.05075254,0.009249493,0.06512719,0.0331839,-0.0977378,0.05005605,0.4313641,0.1414027,0.9264799,11.92537,315.7898,359.5259,-0.001829527,-0.2549158,-0.04497607,0.01259419,0.2288982,-0.5275564,0.1942355,-0.4155931,1.045776,38.10012,323.3924,40.51882,0.004127077,-0.2366413,-0.003591005,-0.02181495,0.4364892,-0.3158072,0.2801255,-0.415296,1.14802,40.4608,311.7549,343.678,
114.767,-0.05375422,0.008368745,0.06827589,0.03616799,-0.0962544,0.04809388,0.4305173,0.1414679,0.9274934,11.88029,315.8661,359.545,0.007382113,-0.2841244,-0.04374468,0.07577205,0.1894566,-0.6057332,0.1941251,-0.4199946,1.045537,38.7016,323.6308,40.77524,0.003824824,-0.2575648,-0.006081061,-0.06764846,0.4560032,-0.2645599,0.2803886,-0.4192101,1.147835,40.81162,311.4822,343.6129,
129.415,-0.05682059,0.007272705,0.07071204,0.03607034,-0.08904115,0.03960443,0.4296423,0.1415542,0.9285659,11.85855,315.9229,359.5666,0.01282825,-0.3125424,-0.04457402,0.0517983,0.07404065,-0.6106716,0.1944181,-0.4246477,1.044977,39.19942,323.6469,40.67378,0.00701031,-0.2800185,-0.009234104,0.02721626,0.5485685,-0.1871338,0.2806093,-0.4234048,1.147628,41.1831,311.4028,344.0355,
143.878,-0.06014273,0.005641593,0.07308284,0.03124892,-0.07556028,0.0311883,0.4286878,0.1416024,0.9296777,11.83914,315.9632,359.5736,0.01764172,-0.3533987,-0.04556754,0.01595086,-0.09885742,-0.6696997,0.1945326,-0.4302036,1.044649,39.83422,323.6,40.30288,0.01337525,-0.3044974,-0.006625158,0.1103158,0.6003578,-0.152548,0.2807819,-0.4276136,1.147994,41.57827,311.4244,344.5354,
158.593,-0.06358889,0.004385858,0.07543903,0.02265054,-0.06368603,0.01721178,0.4277213,0.1416746,0.9308046,11.84517,315.9995,359.5744,0.01878309,-0.3916,-0.0476473,-0.02310592,-0.1928549,-0.7258001,0.194491,-0.4362457,1.044493,40.49946,323.4938,39.932,0.02130818,-0.3132842,0.006432689,0.01727808,0.3613737,-0.1911523,0.2812159,-0.432121,1.148594,41.71632,311.4298,344.3436,
172.946,-0.06671499,0.002898881,0.07787158,0.01598098,-0.04933514,0.01981705,0.4267316,0.1416736,0.9319483,11.81359,316.0141,359.5776,0.02066358,-0.4307582,-0.0488832,-0.006126598,-0.1748386,-0.7630399,0.1946247,-0.4426815,1.043917,41.16081,323.5259,39.81913,0.02779406,-0.3259118,0.01525227,-0.209381,0.1142183,-0.2892066,0.2819512,-0.4369518,1.149059,41.86892,311.1885,343.5435,
187.429,-0.06910937,0.001723357,0.0804279,0.01901112,-0.03047675,0.02391258,0.4257275,0.1416749,0.9331278,11.78592,316.0144,359.599,0.02281523,-0.4728233,-0.0507471,0.01998058,-0.1476899,-0.8071715,0.1946553,-0.4500019,1.043576,41.86302,323.6154,39.77519,0.03209845,-0.3465922,0.02055521,-0.3841876,-0.02419618,-0.3826094,0.2824427,-0.4424105,1.149652,42.10526,310.8839,342.6513,
201.322,-0.07144707,0.0001696171,0.08284679,0.01831804,-0.01442851,0.03628441,0.4246956,0.1416534,0.9343603,11.74023,316.0023,359.6115,0.0246799,-0.5183725,-0.05299916,0.03510127,-0.1851982,-0.8750314,0.1948022,-0.457727,1.043127,42.65095,323.6817,39.57377,0.03774124,-0.3774067,0.02472007,-0.3409869,0.00589012,-0.4211246,0.2829469,-0.4483903,1.15018,42.44584,310.8181,342.3039,
215.914,-0.07375668,-0.001634699,0.08524011,0.01411821,0.004843327,0.04926409,0.4236279,0.1416124,0.9356378,11.68721,315.9675,359.6197,0.02764746,-0.5675172,-0.05294602,0.08095274,-0.2391575,-0.9401047,0.1949085,-0.4663544,1.042824,43.47579,323.8528,39.3535,0.04538418,-0.4140726,0.03259103,-0.1136242,0.1194363,-0.3895596,0.2833912,-0.4548929,1.150814,42.79772,311.1145,342.6642,
229.761,-0.07543775,-0.00434587,0.08702393,0.01290367,0.02808362,0.06596668,0.4225499,0.1414391,0.9368812,11.61369,315.9099,359.6382,0.02936933,-0.6188464,-0.05310417,0.1294886,-0.3256517,-0.9938478,0.1950003,-0.4755706,1.04239,44.31222,324.0599,39.01693,0.05462255,-0.4564655,0.0436781,0.1931714,0.2741046,-0.3372148,0.2839285,-0.4622064,1.151571,43.16816,311.7378,343.5989,
243.813,-0.07692756,-0.00967693,0.08875921,0.01240889,0.05206415,0.08701179,0.4214687,0.1411178,0.9381534,11.53157,315.8263,359.6556,0.03356532,-0.679237,-0.0544256,0.2300862,-0.3537052,-1.028755,0.195064,-0.4859295,1.041772,45.13469,324.4949,38.85807,0.07275053,-0.5273034,0.05135438,0.5555791,0.6303817,-0.374599,0.2845061,-0.4704847,1.152569,43.94028,312.713,345.2682,
258.254,-0.07769816,-0.01812205,0.08989441,-0.0007384114,0.07683989,0.1030909,0.420389,0.1406239,0.9394226,11.44442,315.7176,359.6423,0.03963941,-0.7371544,-0.06205299,0.3341964,-0.2812245,-1.085787,0.1951062,-0.4970711,1.040823,46.01944,325.1149,38.999,0.0861756,-0.5886422,0.05806448,0.73873,0.867538,-0.3531518,0.2855985,-0.480427,1.152963,44.60115,313.5622,346.8548,
272.377,-0.07792289,-0.02931057,0.09082176,-0.01727447,0.09519263,0.1234838,0.4193123,0.1399181,0.940734,11.33012,315.5945,359.6156,0.04964149,-0.8069766,-0.08515496,0.3944647,-0.1172473,-1.314268,0.19518,-0.5091851,1.039343,47.32301,325.8657,39.42266,0.1138088,-0.6496588,0.05096961,0.7377149,1.064034,-0.4796636,0.2873687,-0.4898291,1.153358,45.58052,314.3606,348.2152,
286.434,-0.07774253,-0.04214,0.09227379,-0.03591934,0.1094164,0.1516992,0.4182364,0.1390341,0.9420811,11.1833,315.4592,359.5757,0.06194947,-0.8805021,-0.1191697,0.4141021,0.1551912,-1.600939,0.1951532,-0.522024,1.037431,48.97527,326.7926,40.26865,0.1318508,-0.7397479,0.0383747,0.3354734,1.207648,-0.731949,0.2885899,-0.5019047,1.154799,47.05785,314.2736,348.4053,
300.382,-0.07717313,-0.05762407,0.09450838,-0.04500183,0.1138906,0.2005598,0.4172,0.1378384,0.9434727,10.9693,315.3232,359.5446,0.06927967,-0.9487602,-0.15962,0.3979527,0.4886123,-1.737774,0.1951451,-0.5355981,1.034739,50.56172,327.8824,41.56344,0.1648298,-0.837047,0.03352581,0.06140025,1.354504,-1.126864,0.2909291,-0.514541,1.155842,49,314.4991,348.6123,
314.777,-0.07582393,-0.07789092,0.09759336,-0.03953516,0.1137864,0.2644343,0.4161712,0.1362266,0.9448999,10.68573,315.1961,359.5389,0.07554121,-0.9968353,-0.1978018,0.3656036,0.8004897,-1.745531,0.1952055,-0.5495986,1.031483,51.98233,329.1386,43.19545,0.1990101,-0.9090934,0.03117376,-0.08952072,1.454534,-1.309458,0.293398,-0.5274308,1.157042,50.82269,314.8054,348.9869,
328.903,-0.07370149,-0.09961984,0.1000444,-0.02963463,0.1145966,0.2876527,0.4152262,0.1343269,0.9463167,10.46554,315.0747,359.5425,0.08486483,-1.038482,-0.2421986,0.3249314,1.093716,-1.706885,0.1954233,-0.5641484,1.027394,53.30907,330.6344,45.2312,0.2326564,-0.9650851,0.04082053,-0.1144301,1.487532,-1.31461,0.2964589,-0.5410007,1.158603,52.40979,315.2678,349.6025,
342.657,-0.07051483,-0.1254073,0.1011003,-0.02188426,0.1146421,0.287219,0.4143676,0.131997,0.9476907,10.27036,314.9555,359.5436,0.08741567,-1.077444,-0.2920137,0.2546149,1.24038,-1.701116,0.1952855,-0.5792035,1.022664,54.65503,332.1351,47.23493,0.2759894,-1.007173,0.06991037,0.07132736,1.494816,-1.226024,0.3002941,-0.5550408,1.160723,53.6992,316.3733,350.9399,
356.903,-0.06675453,-0.1516137,0.1010636,-0.02881875,0.1154859,0.2355496,0.4135388,0.1293756,0.9490732,10.18499,314.8432,359.517,0.07905978,-1.113784,-0.3562606,0.08627054,1.277223,-1.777184,0.1948639,-0.594391,1.016866,56.19877,333.3403,48.98058,0.3349591,-1.04553,0.1106625,0.3101182,1.507715,-1.253631,0.3050264,-0.5696052,1.163265,54.96466,318.2076,352.8432,
370.92,-0.06311494,-0.1791776,0.1014499,-0.04276275,0.1068149,0.1695899,0.4127252,0.1264387,0.9505045,10.14147,314.7516,359.4719,0.06662239,-1.144252,-0.4358858,-0.2134719,1.459279,-1.916816,0.1941919,-0.6097477,1.009816,58.01208,334.4597,51.11241,0.4037274,-1.09204,0.1376023,0.237364,1.54725,-1.528839,0.3107243,-0.584846,1.166228,56.74459,319.9255,354.29,
384.991,-0.0600136,-0.2018044,0.1023597,-0.04383629,0.09056298,0.1229821,0.4119336,0.1232736,0.9519544,10.09602,314.6907,359.4494,0.04966864,-1.162805,-0.525232,-0.5996888,1.812741,-2.063522,0.1927586,-0.6251108,1.001335,59.99539,335.8869,54.17226,0.4786617,-1.13552,0.1506536,-0.1062168,1.678295,-1.923698,0.317381,-0.600219,1.169902,59.2131,321.2918,355.1968,
398.817,-0.0579335,-0.22314,0.1040652,-0.03428883,0.0670547,0.1291293,0.4111787,0.1197255,0.9534601,9.955661,314.6495,359.4429,-0.0007019043,-1.151572,-0.62817,-1.125453,2.004135,-2.14742,0.1898815,-0.6392196,0.9914205,62.03374,336.6749,57.08249,0.5466299,-1.147745,0.1774161,-0.418954,1.893935,-2.033574,0.3247284,-0.6147566,1.174784,61.7563,322.5466,356.3544,
412.698,-0.05649865,-0.2455435,0.1057625,-0.02422533,0.04283784,0.184664,0.4104547,0.1157761,0.9549884,9.719046,314.6127,359.4406,-0.1001573,-1.094501,-0.7359601,-1.696965,1.906884,-2.100875,0.1847262,-0.6511984,0.9800827,63.86696,336.1106,58.97116,0.6127117,-1.1079,0.2555634,-0.3508074,2.136577,-1.713625,0.3329958,-0.6275094,1.181407,63.58825,324.8254,359.1827,
426.715,-0.05485235,-0.2697718,0.1071075,-0.0108227,0.02300916,0.2527734,0.4097458,0.1114692,0.9564989,9.427219,314.5867,359.4554,-0.2658716,-0.9789824,-0.8542075,-2.339072,1.437136,-1.985963,0.1768885,-0.6601424,0.9672462,65.42036,332.7535,58.31696,0.6873126,-1.008958,0.3973973,0.1440056,2.237172,-1.169392,0.342925,-0.6379828,1.190643,64.20473,328.6194,3.777408,
440.573,-0.05281061,-0.2922267,0.1088855,0.04203086,0.01852342,0.2904843,0.409039,0.1070475,0.9580908,9.179494,314.574,359.5867,-0.504819,-0.7902039,-0.9780299,-3.084541,0.6237577,-1.687098,0.1651571,-0.6650386,0.952373,65.98804,325.7439,54.27045,0.7829787,-0.8724935,0.5833722,0.914057,2.045383,-0.9629309,0.3545081,-0.6464264,1.202202,63.8339,333.8485,8.946452,
454.832,-0.05262986,-0.3089929,0.1128457,0.1063018,0.02432858,0.3287878,0.4082702,0.1025783,0.9597932,8.871332,314.5577,359.7625,-0.8301204,-0.5065646,-1.142981,-4.24007,-0.6877798,-1.516669,0.1495419,-0.6644384,0.9351233,64.89473,313.1227,44.87147,0.875481,-0.7421244,0.7473384,1.457708,1.614013,-1.24882,0.3670395,-0.6532959,1.215518,63.39191,339.1765,13.04491,
468.807,-0.05437373,-0.3163739,0.1182912,0.1470182,0.02058497,0.3814901,0.4074773,0.09828763,0.9615777,8.500034,314.5531,359.917,-1.158054,-0.1204695,-1.31553,-5.452819,-1.973877,-1.671154,0.132362,-0.657397,0.9173056,61.57056,298.965,33.58252,0.9702221,-0.5472935,0.9458092,1.814069,0.5780153,-1.732269,0.3810692,-0.6559951,1.232039,62.73254,343.0992,14.2298,
482.501,-0.05746171,-0.3146286,0.1236309,0.1523609,-0.009453032,0.4334688,0.4066031,0.09415703,0.9633965,8.093464,314.6067,0.02307446,-1.400611,0.3302689,-1.354878,-5.730881,-2.845278,-1.282577,0.1129152,-0.6444148,0.9023317,56.69933,290.6172,26.26519,1.01059,-0.3057189,1.136263,2.017709,-0.270427,-1.417356,0.3953974,-0.6552371,1.25028,61.35241,344.7709,13.88721,
496.635,-0.06132395,-0.3055323,0.1278649,0.1224203,-0.07476989,0.4575995,0.405686,0.09025846,0.9652283,7.721514,314.7326,0.05848186,-1.573791,0.7867043,-1.238031,-5.386987,-3.103122,0.6214813,0.09138174,-0.6272891,0.8876668,50.93922,289.8504,25.50577,1.054709,-0.06662872,1.305714,2.366657,-0.3043666,-0.817694,0.4106069,-0.65187,1.270171,59.32883,346.7703,14.97032,
510.707,-0.06456488,-0.2895619,0.1293343,0.06208246,-0.1679507,0.4082043,0.4047239,0.08667892,0.9669704,7.473424,314.9534,-0.005231972,-1.705212,1.270342,-1.152595,-5.051891,-2.444688,3.058278,0.06846179,-0.6052058,0.8687052,44.80094,292.2585,28.62957,1.136104,0.1878634,1.477217,2.861993,0.03452666,-0.5871183,0.4267218,-0.644639,1.292326,56.93004,349.9333,17.38196,
524.456,-0.06591599,-0.267762,0.1269788,-0.002331241,-0.2496374,0.2716539,0.4038473,0.08353622,0.9685922,7.437444,315.2087,359.9002,-1.777106,1.659334,-1.245503,-5.373983,-1.690738,3.754973,0.04639249,-0.5796982,0.8470812,39.00537,291.9196,29.81165,1.222098,0.464194,1.642591,3.353356,-0.05991665,-0.6372659,0.4442118,-0.6333872,1.316369,54.22388,352.8915,18.83303,
