time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.553,-0.05878468,-0.1780404,-0.136384,0.2250271,-0.04988381,-0.005977621,-0.4429064,-0.1252213,0.7856677,354.1045,355.7864,0.5628966,-0.727739,-0.1928905,0.3701461,-0.3132293,0.123811,1.273387,-0.7167363,-0.9524397,0.7427877,65.48403,275.2692,282.5476,0.7183923,-0.3565192,-0.308061,-2.839444,1.48503,-3.203027,-0.2063429,-0.9717917,0.7730981,65.53997,88.73925,77.22257,
13.094,-0.06639676,-0.02735668,-0.1523105,0.2028328,0.06646775,-0.1415858,-0.443831,-0.1209411,0.7830684,354.054,355.498,0.8354276,-0.9645138,0.1404077,0.4514658,-0.508855,-0.2305656,1.318989,-0.7353452,-0.9411386,0.7523212,64.52464,273.5854,282.0234,0.8104762,-0.1248674,-0.2293073,-2.634541,0.5552484,-4.751701,-0.1922405,-0.9656567,0.7745515,65.9765,93.88684,75.24403,
26.601,-0.06950863,0.1464662,-0.1653732,0.1575051,0.1590142,-0.1930417,-0.4447336,-0.1143079,0.7805817,354.027,355.2334,0.97475,-1.128375,0.4604708,0.5760813,-0.09367646,-0.6181027,0.8953365,-0.7539583,-0.9261636,0.7632612,63.68245,275.3548,283.9143,0.9016664,0.1578752,-0.04643258,-1.67822,0.7062299,-4.105597,-0.1789966,-0.9555658,0.7788661,65.23751,92.55196,71.39651,
40.51,-0.0673213,0.3276612,-0.175897,0.1365889,0.2301464,-0.1496865,-0.4454851,-0.1053219,0.7778981,353.9225,354.9693,0.9611831,-1.270474,0.82682,0.7454918,0.895902,-1.212604,0.4600837,-0.7740869,-0.9054196,0.7751154,62.60632,281.0929,289.4186,0.9938038,0.4809045,0.1703423,-0.3886407,1.3512,-2.576814,-0.1648906,-0.9411975,0.7849292,63.73681,87.33504,66.78825,
54.214,-0.06083527,0.5123855,-0.1845655,0.13285,0.2660969,-0.09610163,-0.4460845,-0.09363341,0.7752047,353.8071,354.732,0.9628637,-1.380419,1.167304,0.8802382,1.725428,-1.967239,0.2085862,-0.7947527,-0.8814356,0.7865536,60.65302,287.9095,295.8945,1.086853,0.7985536,0.3424397,0.4264489,1.996411,-1.42953,-0.1488139,-0.9239689,0.791064,61.82121,82.01794,62.61864,
68.318,-0.05209149,0.7033834,-0.1910696,0.1218032,0.2667978,-0.06076491,-0.4465363,-0.07913285,0.7724371,353.7376,354.542,0.9652102,-1.500157,1.605946,0.9726362,2.354136,-2.797465,0.2880863,-0.8172895,-0.8520781,0.7970377,57.68871,294.5139,302.3679,1.164141,1.080447,0.4399978,0.9237952,2.192539,-1.064862,-0.1317782,-0.9032208,0.7961275,60.26649,77.72825,58.61005,
82.296,-0.04236085,0.8900789,-0.1964287,0.1005493,0.2387601,-0.01614213,-0.4468832,-0.06271222,0.7695918,353.6758,354.4247,0.8996621,-1.577096,1.939502,0.9511238,2.442734,-2.941817,0.7837074,-0.8394911,-0.8200057,0.8055888,55.09333,298.1085,306.7187,1.237457,1.324135,0.4679036,1.17221,2.041537,-1.228901,-0.1128849,-0.8810816,0.8006963,59.04287,74.6489,54.84623,
95.973,-0.03380005,1.053228,-0.2002321,0.02881555,0.1758245,0.02120731,-0.447226,-0.04496962,0.7667847,353.7818,354.41,0.8171746,-1.619385,2.181405,0.8832121,2.3734,-2.690463,1.279115,-0.8621386,-0.787959,0.8129535,52.96529,300.315,310.1743,1.310408,1.506659,0.4448056,1.051553,1.848622,-1.535516,-0.09362559,-0.8569811,0.8047403,57.71442,73.11374,52.0924,
111.012,-0.02706154,1.185758,-0.2028626,-0.06606747,0.1000921,0.04030686,-0.4475102,-0.02620271,0.7639186,353.9662,354.4582,0.7342594,-1.641902,2.467381,0.7775471,2.300228,-2.435568,1.630586,-0.8847642,-0.7516286,0.8187013,50.87969,302.118,313.2989,1.39821,1.708519,0.3949467,0.7836002,1.490176,-1.801558,-0.07304052,-0.8294865,0.8083729,56.67036,72.70343,50.15244,
124.003,-0.02192302,1.291278,-0.2025167,-0.1572571,0.03547784,0.06406534,-0.4478657,-0.006748289,0.7612321,354.1918,354.5237,0.609998,-1.613558,2.684207,0.6877826,2.317178,-2.417766,1.429455,-0.905549,-0.7130546,0.8230785,48.75635,304.7073,316.1678,1.457547,1.854766,0.3552893,0.6073338,1.102133,-1.863552,-0.05217797,-0.80051,0.8122595,55.98164,72.46291,48.51992,
