time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.512,0.0272578,-0.4448188,-0.07743889,0.3559806,0.02941266,0.1639442,-0.322257,0.1370813,-0.4904947,348.9514,0.4314345,359.7155,-1.391912,-1.334638,-0.3093705,0.3439398,-2.096642,1.628776,-0.8554741,0.4181306,-0.5377944,305.8945,218.6415,63.75413,1.464978,-1.057928,-0.1342915,1.889308,3.141091,0.02663802,0.1173642,0.4429203,-0.4287315,309.8776,86.99938,324.3945,
13.358,0.02513332,-0.6235459,-0.0838652,0.1713719,0.01005991,0.2770314,-0.322129,0.1251815,-0.4917426,348.9663,0.570403,359.3425,-1.413074,-1.480303,-0.2915406,1.612776,-2.197523,1.362677,-0.8743812,0.394981,-0.5403798,307.5948,220.0778,59.4351,1.571225,-1.274164,-0.1081885,2.204321,3.807702,-0.2450836,0.1383101,0.4223171,-0.4318282,314.265,85.19057,324.3091,
26.991,0.01999407,-0.7640428,-0.0883295,0.1257592,-0.006432275,0.3096976,-0.3221331,0.111318,-0.4929826,348.8743,0.6923586,359.1163,-1.440351,-1.60647,-0.2507991,2.751679,-2.289035,0.7924377,-0.8945209,0.3702134,-0.5428277,308.5412,221.4725,54.24181,1.598397,-1.47044,-0.1147262,2.34371,3.809871,-0.7509506,0.1586633,0.3993755,-0.4347621,317.6208,83.98383,323.1134,
40.982,0.01359877,-0.9079676,-0.09330468,0.107827,-0.02932316,0.238689,-0.3220992,0.09533632,-0.4943528,348.7998,0.7591255,359.1049,-1.49359,-1.74063,-0.2230051,4.05251,-2.481656,0.5236573,-0.9152166,0.3434545,-0.5453866,309.9005,223.3677,47.49826,1.593149,-1.629321,-0.1055046,2.180498,3.426856,-0.6189893,0.1797481,0.3743481,-0.4360591,319.9846,82.96107,322.9029,
54.558,0.007702192,-1.046006,-0.09664995,0.05122681,-0.05934933,0.1279455,-0.3220479,0.07758361,-0.4957008,348.8651,0.8197412,359.1971,-1.564713,-1.897024,-0.2197631,5.221265,-2.665185,0.6390874,-0.9366781,0.3143784,-0.5484193,312.0728,225.8203,39.88256,1.628113,-1.802876,-0.0873417,2.411644,3.224598,0.2730751,0.2025301,0.3481317,-0.4376437,323.2715,82.25117,324.1461,
68.671,0.004005471,-1.169408,-0.09753039,-0.1145755,-0.09602144,0.06258817,-0.3219767,0.05893975,-0.496928,349.2719,0.9456748,359.2385,-1.646798,-2.067044,-0.2343835,5.866771,-2.938998,0.9159373,-0.9586538,0.2845176,-0.5524567,315.1339,229.1889,32.2237,1.692581,-2.018287,-0.1188147,3.250959,2.706063,1.493122,0.2253112,0.3184242,-0.4401599,327.5579,83.13738,325.791,
82.553,0.002294151,-1.261169,-0.09190436,-0.4192433,-0.1391247,0.05851393,-0.3219659,0.04030758,-0.4978616,350.149,1.145384,359.2121,-1.707281,-2.223773,-0.2325716,5.817743,-3.376221,0.7728034,-0.9798794,0.2518842,-0.5559918,318.2677,233.6073,25.30041,1.73103,-2.166867,-0.1640011,3.813481,2.026836,2.115235,0.2488202,0.2895416,-0.4423442,331.4875,84.47719,327.091,
96.221,0.002269302,-1.30693,-0.08373342,-0.9090437,-0.1665317,0.07019388,-0.3219001,0.02255571,-0.4990096,351.7096,1.323827,359.2236,-1.74732,-2.366812,-0.1993546,5.561268,-4.123686,0.3164586,-1.001315,0.2196523,-0.5601498,321.8588,239.3517,18.77425,1.773659,-2.288891,-0.1981073,4.360985,1.513366,2.414382,0.2731074,0.2586481,-0.4447502,335.7281,85.76588,328.3064,
110.778,0.001950946,-1.290356,-0.07672965,-1.506228,-0.1655257,0.08099676,-0.3220215,0.00728181,-0.4998574,353.7087,1.459044,359.2332,-1.732423,-2.493396,-0.1913675,5.818959,-4.639627,0.399198,-1.020304,0.1883085,-0.5649548,327.0711,244.3748,13.37524,1.808088,-2.368939,-0.208818,4.807172,1.164163,2.583637,0.2982721,0.2293717,-0.4464891,340.2884,86.77086,329.7613,
124.361,-0.02108667,-1.164387,-0.05029721,-1.437528,0.1240208,0.1028037,-0.3224828,-0.002254128,-0.5000851,353.9695,0.4443968,358.9825,-1.673239,-2.544352,-0.2072693,6.116467,-4.268749,0.5588797,-1.037727,0.1581745,-0.5694715,332.0859,247.2785,9.53523,1.81975,-2.416495,-0.1998795,5.152619,1.005961,2.555956,0.3237595,0.2010156,-0.44806,345.1736,87.13571,331.1766,
138.171,-0.007276637,-0.8612651,-0.07819817,-0.8887913,0.3119947,0.01051023,-0.3225436,-0.002884716,-0.5013013,353.5485,0.8864073,359.1426,-1.335479,-2.449573,-0.3456875,4.802004,-2.635423,2.46399,-1.042152,0.1339419,-0.5768915,336.2733,245.3278,12.13746,1.766359,-2.486017,-0.1563255,5.271418,1.350928,2.125859,0.3464276,0.1703896,-0.4507685,350.1808,85.72553,331.9383,
152.255,0.003444701,-0.5669875,-0.04558985,0.2166307,-0.02807529,-0.16244,-0.3224235,-0.006960273,-0.5001576,352.007,1.053846,359.6095,-0.8339083,-1.970251,-0.5071219,1.641082,0.2276461,3.336435,-1.040788,0.1229196,-0.5825787,336.4406,240.1772,18.36697,1.650995,-2.473046,-0.1760248,5.449689,0.9138247,1.701162,0.3672466,0.1428528,-0.4542211,354.7561,85.60665,332.0046,
