time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.4,0.02514829,-0.1386888,0.0391707,0.3090479,-0.1442449,0.09928919,0.1284649,0.0275442,0.6595901,359.3343,346.7242,357.4907,-0.1803134,-0.3320504,-0.03408908,-0.4948371,0.2518023,-0.6377124,-0.0938284,-0.7158515,0.5392206,53.69623,272.1328,335.2348,0.1950653,-0.5094276,-0.05292774,-0.7451715,-0.5444038,-1.375441,0.2468176,-0.7048638,0.8271788,49.38973,352.6156,356.9203,
14.755,0.01504633,-0.1948916,0.02761927,0.5177323,-0.1158556,0.1922761,0.1285245,0.02353072,0.6597018,358.6964,346.7693,357.5118,-0.3201173,-0.3385728,-0.1183887,-0.7359701,0.3834991,-0.3165865,-0.1017776,-0.7203858,0.5363204,53.55368,270.7907,334.6152,0.2429095,-0.5588352,-0.03797487,-0.8443071,-0.8078722,-1.480454,0.2504187,-0.7121617,0.8283865,50.18834,354.2078,356.8985,
26.76,0.00761778,-0.2668265,0.01334874,0.656355,-0.1035477,0.2936266,0.1285226,0.01817605,0.659594,357.9827,346.8216,357.4953,-0.5382276,-0.3157592,-0.2460885,-1.192461,0.4870456,0.2222376,-0.1141394,-0.724012,0.5305319,53.10285,269.3109,334.722,0.3430351,-0.5601679,0.05342927,-0.6021251,-1.550222,-1.689132,0.2569998,-0.7190323,0.831919,50.20416,356.0955,356.0051,
40.471,0.000481848,-0.3550328,-0.003803838,0.6622542,-0.1001142,0.3589576,0.1284137,0.01166773,0.6592068,357.4496,346.8897,357.4119,-0.8217772,-0.2512116,-0.4524674,-2.104886,0.7581391,0.9503806,-0.1308115,-0.726019,0.5208267,52.25891,267.0508,335.5599,0.4831198,-0.510644,0.1817504,-0.232777,-2.209085,-2.080822,0.2654452,-0.7247001,0.8372079,49.63017,358.7683,355.3132,
54.166,-0.005504432,-0.4309063,-0.02188499,0.453501,-0.06492636,0.2850373,0.1282694,0.004948497,0.6585663,357.4128,346.8781,357.3806,-1.085338,-0.1491326,-0.7065645,-3.302255,1.161284,1.36553,-0.1512193,-0.7254111,0.5061589,51.01632,263.6642,336.5397,0.6581751,-0.4321195,0.3320126,-0.001663244,-2.550508,-2.516953,0.2764946,-0.7288205,0.8444874,48.84496,2.04287,355.0988,
68.275,-0.01094885,-0.4642175,-0.0395421,0.1440856,-0.01344577,0.1069452,0.127979,-0.001212984,0.6578305,357.614,346.8487,357.3849,-1.380326,0.05539865,-1.081415,-5.020932,1.649211,1.118202,-0.1742898,-0.7202863,0.4866534,48.72293,258.2948,336.9778,0.8805197,-0.3034351,0.4957504,0.02965901,-2.340797,-3.144196,0.2909779,-0.7293282,0.855364,48.06166,6.435011,356.4123,
82.285,-0.009825007,-0.4398404,-0.0495218,-0.111069,0.1173081,-0.2276856,0.127934,-0.005769521,0.6572118,358.1473,346.581,357.7543,-1.589173,0.3433344,-1.47984,-6.290647,2.28873,0.1614524,-0.1983804,-0.7097692,0.4630606,45.9378,251.8797,336.7578,1.134344,-0.07722512,0.6983498,0.07018675,-2.268779,-3.676594,0.308965,-0.7243021,0.8699101,46.85066,11.17187,357.9084,
96.018,0.003106965,-0.3347451,-0.05739677,-0.3788091,0.3213186,-0.849484,0.1285243,-0.007185251,0.6561797,359.3322,346.0707,358.7599,-1.677207,0.6836551,-1.838361,-6.548714,3.362324,-0.903399,-0.2229727,-0.6926005,0.43685,44.0816,244.5531,335.6624,1.410591,0.2832675,0.9297116,0.430098,-2.497195,-4.162081,0.3309127,-0.7126068,0.8862497,44.58014,15.71079,358.7547,
110.378,0.01954376,-0.1533886,-0.06065109,-0.5629393,0.4859534,-1.252884,0.1290414,-0.005225956,0.6555086,0.3886195,345.599,359.4856,-1.683708,1.0549,-2.05429,-6.238339,4.119274,-1.390981,-0.2486788,-0.6679723,0.4095851,43.249,237.7309,334.9215,1.636123,0.6624358,1.111016,0.4630864,-2.355088,-4.567874,0.3541372,-0.6958126,0.905142,42.13846,20.34083,0.1446945,
124.17,0.03393687,0.0863125,-0.05038927,-0.7717076,0.509358,-1.155127,0.1297128,0.0010086,0.6551039,1.468491,345.3167,359.6202,-1.709897,1.762329,-2.197633,-6.773918,3.551368,-1.64636,-0.2723815,-0.6271593,0.3819915,41.22504,233.9331,338.1735,1.85505,1.293833,1.336352,0.8349007,-2.032494,-4.922213,0.3786757,-0.6647272,0.9266523,38.69713,24.32825,1.499215,
137.601,0.04973968,0.3579318,-0.03227103,-0.7812468,0.3357573,-0.7458224,0.1306775,0.01036215,0.6551225,1.812234,345.3015,359.4973,-1.727663,2.501468,-2.179308,-7.429144,2.047765,-2.454823,-0.293668,-0.5821061,0.3564007,36.80589,233.4913,344.1996,1.947121,1.948358,1.478047,1.786161,-1.9169,-5.029047,0.4037355,-0.6286253,0.9471672,34.17525,26.53605,1.181033,
151.616,0.06383894,0.5900349,-0.002895013,-0.4030138,0.1142998,-0.3839575,0.1317775,0.02156603,0.65554,1.794231,345.3891,359.6596,-1.651067,3.207569,-2.062825,-6.990465,0.8159285,-3.916073,-0.3111012,-0.5311906,0.3346691,30.51878,233.6297,348.2374,1.991911,2.606508,1.505047,2.344272,-1.681302,-5.481608,0.4282954,-0.5848346,0.9654444,28.94544,28.76357,1.218925,
165.672,0.07163595,0.7617708,0.01403271,-0.08590128,0.007280421,-0.1934938,0.1327071,0.03381431,0.6558466,1.606043,345.4467,359.719,-1.477519,3.787426,-1.865175,-5.589668,0.2488532,-5.560078,-0.3267651,-0.4763509,0.3159881,23.36434,233.4207,349.1445,1.969598,3.200236,1.427754,2.601716,-1.685387,-5.954712,0.4506465,-0.5355691,0.981906,23.3893,31.04205,1.164183,
179.507,0.07031803,0.8677689,0.02492008,0.11997,-0.0361371,0.03756499,0.1335309,0.04660195,0.6562867,1.243255,345.4884,359.5956,-1.238385,4.215207,-1.625824,-4.320868,0.3472852,-6.791442,-0.3383466,-0.4182173,0.2997905,16.14723,233.0641,348.9135,1.847036,3.698205,1.290335,2.925627,-1.580882,-6.153484,0.470548,-0.4820544,0.9958769,17.64727,32.4922,0.6959869,
193.656,0.06475187,0.9240436,0.03154472,0.2348082,-0.06658845,0.2291104,0.1343017,0.05970725,0.6567909,0.8521573,345.5554,359.4118,-0.9592493,4.512867,-1.370687,-3.775311,0.7318332,-7.545897,-0.3460976,-0.3590461,0.2860524,8.772068,232.9103,349.1676,1.651797,4.116085,1.100201,3.326112,-1.341636,-6.510248,0.4876505,-0.4248715,1.006563,11.20081,33.28088,0.1788003,
207.522,0.05683495,0.939134,0.03771685,0.3406241,-0.1053654,0.3875739,0.1349299,0.07235232,0.6574203,0.2997767,345.6756,359.1975,-0.6566538,4.683762,-1.112138,-3.418714,1.348517,-8.030662,-0.3499011,-0.2999245,0.2751091,1.265065,232.8367,349.5029,1.382811,4.469575,0.8198718,3.693101,-1.145156,-7.085334,0.5016376,-0.366581,1.012838,3.98465,33.60886,359.7354,
221.422,0.04750118,0.9152049,0.04323965,0.4661159,-0.1426292,0.5293999,0.1354089,0.08396226,0.6580999,359.588,345.8163,358.9538,-0.2994616,4.744341,-0.8352898,-2.833156,2.318554,-8.36827,-0.349874,-0.2417517,0.267142,353.6174,232.4943,349.4146,1.128367,4.625261,0.5312947,3.373425,-1.296333,-7.576838,0.5128721,-0.3088797,1.016494,356.9138,34.20249,0.092415,
235.165,0.03666746,0.8490911,0.04617523,0.6135762,-0.1456525,0.6560012,0.1357074,0.09379736,0.658731,358.7065,345.9094,358.7066,0.0212836,4.688042,-0.6167821,-2.160428,3.392067,-8.194183,-0.3466431,-0.1853637,0.2610368,346.3376,231.7076,349.4127,0.8760834,4.645056,0.2418763,2.695417,-1.781139,-7.849782,0.5212432,-0.2521633,1.016946,350.0965,34.99965,1.222493,
249.344,0.02412086,0.7309374,0.045074,0.7782435,-0.08968666,0.7058406,0.135803,0.1008666,0.6592304,357.7563,345.9001,358.5905,0.3239001,4.546598,-0.4365278,-1.511733,4.23043,-7.44735,-0.3401746,-0.1305895,0.2568914,339.933,230.3896,349.8256,0.6451924,4.559614,-0.03126345,2.064973,-2.471478,-7.669743,0.5273821,-0.197129,1.014494,343.8242,35.98464,2.610927,
263.225,0.01186998,0.5562,0.03502081,0.8277435,0.03166676,0.5795047,0.135839,0.1044762,0.6593714,357.1334,345.7105,358.6855,0.6028174,4.371826,-0.2948855,-1.189468,4.863371,-6.689088,-0.3366463,-0.08612213,0.2493169,333.9279,228.5246,351.1938,0.4385426,4.418256,-0.290936,1.712572,-3.271877,-7.167325,0.53075,-0.1439133,1.008843,337.9868,37.38351,3.869096,
276.889,0.005875123,0.3492439,0.01046299,0.4984313,0.1728583,0.2140288,0.1359913,0.10541,0.6588243,357.3803,345.4352,358.8297,0.8976921,4.180856,-0.1497663,-1.164474,5.341709,-6.181421,-0.3298157,-0.04244704,0.2430951,327.9711,226.1553,353.8343,0.2249982,4.249362,-0.5447192,1.751676,-3.763145,-6.662322,0.531299,-0.09309417,0.9997244,332.2291,38.76567,4.647896,
291.037,0.007518579,0.1608823,-0.02229267,-0.09752836,0.2502472,-0.1370993,0.1362572,0.1051525,0.6579679,358.2623,345.1945,358.8735,1.210556,3.957742,0.01732944,-1.242679,5.665664,-5.896606,-0.3156111,0.001565591,0.2421267,322.1461,223.2855,357.7242,0.008900031,4.057224,-0.8109389,2.065733,-4.009252,-6.248172,0.5291978,-0.04493069,0.9868401,326.4406,40.25829,4.715271,
304.831,0.006333559,0.005187014,-0.0366596,-0.3641042,0.2557529,-0.311162,0.1361976,0.1029974,0.657643,358.6713,345.022,358.9759,1.535361,3.690599,0.2111541,-1.339344,5.858689,-5.858105,-0.293252,0.04365338,0.2472012,316.4055,219.9959,2.807455,-0.1856894,3.873491,-1.065779,2.532021,-4.242218,-6.033603,0.5244405,0.0003881343,0.9705787,320.2925,42.15265,4.007476,
318.527,0.002252513,-0.1259206,-0.03805863,-0.313161,0.2533395,-0.310875,0.1361291,0.09931722,0.65722,358.8646,344.8044,359.0633,1.831549,3.366882,0.412447,-1.457358,5.854305,-5.984016,-0.2678156,0.08066261,0.2545966,310.8727,216.5021,8.89076,-0.4220936,3.627762,-1.373364,3.069967,-4.433825,-5.947849,0.515809,0.0413135,0.9500291,313.8508,44.68918,2.189867,
332.574,-0.003196999,-0.2503501,-0.03847797,-0.2119068,0.2736166,-0.2229796,0.1359684,0.09369478,0.6567456,358.9672,344.5558,359.0725,2.080506,2.993547,0.6099364,-1.395777,5.736667,-6.112833,-0.2398832,0.1127409,0.2639471,305.537,212.7682,15.50087,-0.6875911,3.326222,-1.673061,3.452739,-4.6036,-6.126117,0.5037714,0.076794,0.9264947,306.8951,47.40123,359.4647,
346.684,-0.007736577,-0.390726,-0.04164295,-0.1241703,0.3176203,-0.1249545,0.1358247,0.08597413,0.656128,358.999,344.2553,359.0681,2.269115,2.638766,0.7562345,-1.104029,5.761141,-6.076932,-0.2098644,0.140199,0.2747141,300.5121,207.6903,23.25898,-0.9543691,2.959898,-1.92516,3.573207,-4.821346,-6.187163,0.4892183,0.1069547,0.9009197,299.9201,50.19953,356.2088,
360.544,-0.008973275,-0.5274813,-0.04847363,-0.04599129,0.3598198,-0.08136955,0.1357367,0.07627103,0.6552914,358.988,343.9207,359.1212,2.453219,2.207147,0.8943263,-0.768966,5.807996,-6.000443,-0.1775613,0.1614833,0.2869158,295.8904,200.8123,32.83303,-1.191889,2.543034,-2.129556,3.652882,-5.127608,-6.06145,0.4727769,0.1314871,0.8736148,293.0332,53.9183,351.8494,
374.236,-0.009148958,-0.6665074,-0.05719604,0.04721371,0.4033071,-0.06745146,0.1356072,0.06461266,0.6543264,358.9028,343.5508,359.229,2.592798,1.753925,1.003038,-0.3391082,5.882448,-5.889909,-0.1443283,0.1768456,0.3000278,291.8262,191.0599,45.17299,-1.370544,2.089085,-2.279843,3.845548,-5.409673,-5.538864,0.4551067,0.1500839,0.8453742,286.6555,60.74298,344.7671,
