time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.496,0.07706741,1.148104,-0.09607133,-0.01078337,-0.2855874,-0.3219843,0.3565228,0.01691291,0.6569577,0.5320001,348.5216,357.2836,-2.14561,3.345067,-1.115973,-7.328368,-0.2957169,0.4589467,-0.0641499,-0.639856,0.4325423,39.67067,257.9048,359.4852,1.999813,3.025599,1.492173,3.797524,-2.136289,-5.309479,0.6448757,-0.6250526,0.9416085,39.87204,34.31823,13.98875,
13.189,0.07833422,1.181808,-0.09357673,0.2355111,-0.1756251,-0.423716,0.3575766,0.03283563,0.6557133,0.3602331,348.5353,357.8231,-2.100168,3.742177,-1.154284,-6.755229,-1.247055,-1.791043,-0.08979571,-0.5864787,0.418062,33.32193,256.1869,358.1563,1.990966,3.457801,1.509114,3.735471,-0.4217732,-5.806066,0.6689682,-0.5737128,0.9606846,33.79502,35.51598,13.62095,
26.676,0.07629904,1.161138,-0.08966485,0.325785,-0.06601235,-0.4732684,0.3585761,0.0479317,0.6545523,0.2783405,348.5056,358.2754,-1.97783,4.061345,-1.154535,-6.670068,-1.379415,-3.347779,-0.1126671,-0.5310381,0.4036432,26.59422,254.7146,356.9465,1.946953,3.881018,1.444753,3.56391,0.6592861,-6.532409,0.692321,-0.519447,0.9768534,26.95401,36.52302,13.50532,
40.339,0.07415686,1.103196,-0.08262652,0.2360909,-0.0101766,-0.4384871,0.3596044,0.06197169,0.653524,0.3619788,348.5028,358.5512,-1.815604,4.26087,-1.114721,-6.685057,-1.042849,-4.145714,-0.1326977,-0.4744518,0.3900045,19.92302,253.7279,356.2239,1.87782,4.199791,1.292089,3.258537,0.7650744,-7.217117,0.7147694,-0.4631625,0.9902183,20.16442,37.79383,13.06941,
54.529,0.07368459,1.019519,-0.07121503,0.1123041,-0.02581848,-0.3654827,0.3606865,0.07458082,0.6527022,0.4411646,348.5639,358.7567,-1.583857,4.40805,-1.04888,-6.682702,-0.464688,-4.72697,-0.1499625,-0.4176525,0.3767113,13.13244,252.9689,355.4797,1.772493,4.422805,1.07141,3.387621,0.1851166,-7.507653,0.7352088,-0.4050605,1.000548,13.66013,39.02939,11.48061,
68.327,0.07467677,0.9143505,-0.05524483,0.1615637,-0.0530048,-0.3115604,0.3617377,0.08536902,0.6522152,0.2737352,348.623,359.0516,-1.281624,4.480464,-0.9703736,-6.558687,0.4208695,-5.223148,-0.1629663,-0.3607998,0.3642703,6.341598,252.1177,354.6327,1.600116,4.578975,0.7670537,4.087075,-0.5443009,-7.458378,0.7529877,-0.3470342,1.006297,7.272272,39.97876,8.444871,
81.993,0.073498,0.7850472,-0.03663471,0.3858645,-0.02123125,-0.2684223,0.3626969,0.09372458,0.6520339,359.798,348.5648,359.4439,-0.9839106,4.47057,-0.905635,-6.195031,1.553686,-5.409068,-0.1722551,-0.3042649,0.3528714,359.8307,250.9195,353.9769,1.403788,4.620875,0.4749627,4.270526,-1.035359,-7.340045,0.7678555,-0.2894948,1.009255,1.087301,41.01443,5.64584,
96.19,0.06884298,0.6208799,-0.02060849,0.5493801,0.08904339,-0.230683,0.3635724,0.09971115,0.6518558,359.4139,348.3607,359.7804,-0.670338,4.418164,-0.8330939,-5.638688,2.723146,-5.472166,-0.1780103,-0.2488838,0.3429106,353.4665,249.4189,353.4041,1.175763,4.584723,0.1901696,3.897656,-1.395178,-7.248483,0.7793134,-0.2330499,1.008946,355.0549,42.1745,3.562836,
110.982,0.06488853,0.4542949,-0.01420529,0.4557021,0.1905841,-0.1984858,0.3644822,0.1035981,0.6515812,359.3194,348.1388,359.9613,-0.3415657,4.339365,-0.7435081,-4.984876,3.7068,-5.318861,-0.1784807,-0.193466,0.3346854,347.3177,247.7709,353.1328,0.9255298,4.497833,-0.09329004,3.457134,-1.723013,-7.193896,0.7881396,-0.1783445,1.005471,349.0187,43.30369,1.781817,
123.71,0.06480391,0.2960075,-0.01360614,0.1781014,0.2084776,-0.1575668,0.3654959,0.1057367,0.6513078,359.4734,347.9952,359.9836,0.01925267,4.254457,-0.6272983,-4.682405,4.417676,-5.056529,-0.1739902,-0.1392208,0.3283691,340.9572,246.2038,353.645,0.6778145,4.363318,-0.3829968,3.096346,-2.236931,-7.055307,0.7933422,-0.1264543,0.9973269,343.0588,44.74657,0.02775555,
137.751,0.06510004,0.1515408,-0.007830419,0.04907899,0.145816,-0.04824174,0.3663898,0.1059212,0.6513929,359.4355,347.9575,359.9021,0.3888482,4.137049,-0.4875067,-4.647903,4.786296,-4.736815,-0.1645302,-0.08733223,0.3240198,334.5401,244.9531,355.0127,0.4270285,4.173087,-0.6575606,2.670237,-2.802813,-6.666189,0.795711,-0.07735771,0.9875469,337.5075,46.50503,358.4826,
151.577,0.06363104,0.02472485,0.001997985,0.04371787,0.07807418,0.08439038,0.3671947,0.1040956,0.6516248,359.2818,347.9656,359.7439,0.7568838,3.962402,-0.3444133,-4.652118,5.046426,-4.392926,-0.1514837,-0.04085594,0.3210343,328.2538,243.7137,357.09,0.1638507,3.944409,-0.9113491,2.202474,-3.324818,-6.217799,0.7939732,-0.03119646,0.9730958,332.186,48.35523,357.298,
