time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.519,0.03902398,0.4021979,-0.0639428,-0.8731849,0.2348493,-0.8925951,0.01667428,-0.05289295,-0.08822691,353.636,332.0182,357.6056,-1.329247,-0.372791,0.528396,1.95018,0.3779303,-5.513665,-0.3030576,0.3322237,-0.3778923,308.7024,15.5502,269.4168,0.4253211,-0.267283,0.9519905,-1.959406,-1.575205,0.7229983,0.3038515,0.3396442,0.123712,290.7507,289.8962,97.3704,
13.231,0.06454054,0.680784,-0.0996687,-0.7162296,0.3025326,-1.568315,0.01853555,-0.03928936,-0.09092689,355.4925,331.5238,358.236,-2.146567,-0.4510364,0.2638506,6.175767,-0.360489,-4.822341,-0.3410615,0.3222175,-0.3845541,309.2032,1.356957,274.1924,0.9142095,-0.2556196,1.8573,-0.2225316,-1.191194,5.157256,0.3252982,0.3339942,0.1649327,291.7551,310.7438,85.80174,
26.674,0.1021264,0.9161459,-0.1428939,-0.8093544,0.4123453,-1.83633,0.02091515,-0.02160847,-0.09385514,357.2816,331.1969,358.2329,-2.68148,-0.5838723,-0.1396588,7.321348,-1.062461,-3.643735,-0.3801899,0.3099471,-0.3973562,309.2932,349.9514,280.2523,1.464576,-0.4081821,2.566076,1.18537,-2.051913,7.841716,0.354785,0.3227014,0.206132,295.5339,331.8182,72.90494,
40.395,0.1356883,1.116795,-0.1716363,-0.8490283,0.3286605,-1.632908,0.02334315,-0.003029525,-0.09624577,358.2139,331.2285,358.1859,-2.912078,-0.7700481,-0.5504395,6.16223,-2.177585,-3.100822,-0.4169317,0.2936282,-0.4139687,309.0514,341.5581,288.4568,1.955653,-0.7462549,2.924992,0.8934879,-2.99537,8.150814,0.3900143,0.3033974,0.2444708,300.6297,344.3383,64.2207,
54.408,0.1603347,1.255662,-0.1853883,-0.7126268,0.1121603,-1.21085,0.02594125,0.01558876,-0.09879756,358.6457,331.4764,358.1485,-2.90775,-1.061991,-0.9248753,3.823544,-3.940545,-3.001363,-0.4505304,0.2707334,-0.4338294,308.8961,335.8911,298.7509,2.324273,-1.18497,3.002935,-1.61985,-2.980939,7.502629,0.4266887,0.2781099,0.2785268,306.3084,351.6561,55.58875,
68.29,0.1743837,1.326976,-0.1938987,-0.5157599,-0.1047558,-0.7838587,0.02832484,0.03382921,-0.1015925,358.7735,331.8354,358.1023,-2.767632,-1.35695,-1.181774,2.436394,-5.520195,-1.998973,-0.4811494,0.2438798,-0.4531646,308.2122,330.7962,308.9897,2.561575,-1.693046,2.918081,-5.405791,-1.584364,6.996979,0.4651524,0.2466364,0.3094229,313.472,356.8351,44.33922,
82.032,0.177316,1.339584,-0.1991194,-0.3096449,-0.2476694,-0.4181682,0.03062314,0.05121005,-0.1044269,358.5829,332.1758,358.0923,-2.58086,-1.68597,-1.359011,2.310078,-6.436714,-0.4506426,-0.507982,0.2109173,-0.4718519,307.1161,324.4804,319.5557,2.675675,-2.248529,2.722857,-7.590015,0.3631216,7.352772,0.5001295,0.2072771,0.3370983,321.3029,1.464967,33.13937,
96.027,0.173052,1.307481,-0.2038812,-0.06623058,-0.3556409,-0.06999366,0.03271562,0.06728125,-0.1073712,358.0772,332.582,358.136,-2.361638,-2.051479,-1.427964,2.654263,-6.476208,0.5210623,-0.5315959,0.1743639,-0.4885421,307.0833,318.1386,329.2308,2.62736,-2.81869,2.439871,-7.864478,0.9560477,7.887654,0.5303829,0.160594,0.3598079,328.978,4.796245,25.37161,
110.197,0.1650479,1.231421,-0.2093461,0.2130797,-0.4236635,0.2548572,0.03480554,0.08160502,-0.1105335,357.246,332.9756,358.2635,-2.148383,-2.407923,-1.399072,3.122902,-6.117226,0.7540677,-0.5535464,0.1340245,-0.5044112,308.4085,312.5131,337.537,2.461838,-3.321853,2.091529,-6.83175,-0.04171956,8.186886,0.5542513,0.1095999,0.3774763,335.7179,8.247139,20.94903,
123.688,0.1584246,1.134054,-0.2151531,0.4728428,-0.4352949,0.5005373,0.03685695,0.09397596,-0.1136672,356.2356,333.2971,358.4745,-1.993462,-2.766688,-1.362006,4.987914,-5.280775,0.9101146,-0.5724397,0.08958094,-0.5178369,311.2094,303.5623,346.7603,2.198214,-3.771666,1.679062,-5.804402,-1.9608,8.074392,0.5722182,0.05378243,0.3883136,342.5887,12.01775,18.72393,
137.741,0.1471731,1.000485,-0.2157653,0.6820893,-0.4251685,0.6986201,0.03853774,0.1045905,-0.1164541,355.2148,333.6127,358.6268,-1.763917,-3.153989,-1.248187,6.513198,-4.185851,0.4414834,-0.5835559,0.04056593,-0.5281392,316.1176,295.99,353.5589,1.777433,-4.112177,1.168464,-5.153707,-3.299145,6.649141,0.5799399,-0.003546819,0.388394,348.2014,14.29675,18.81386,
151.593,0.136342,0.8843338,-0.2107728,0.7289367,-0.4043265,0.7726872,0.04013741,0.1140067,-0.119159,354.3513,333.9166,358.683,-1.388994,-3.497305,-1.082944,6.929797,-3.085566,0.1210174,-0.5877057,-0.01165737,-0.5361301,320.7893,291.1089,357.8145,1.161691,-4.302724,0.6398175,-5.512478,-2.022581,4.94497,0.5817228,-0.06042447,0.3840521,352.5461,12.15924,18.36637,
165.326,0.1228116,0.7600088,-0.2043877,0.6452665,-0.3814686,0.7819939,0.0415132,0.1219493,-0.1218657,353.6849,334.2134,358.6141,-0.9388325,-3.760772,-0.8345876,6.486261,-2.739044,-0.4115487,-0.5863824,-0.06446068,-0.5399552,325.3566,289.2931,0.3856603,0.6669292,-4.384985,0.2231961,-5.758843,-0.852477,4.418137,0.5820588,-0.1163223,0.3778716,357.3065,9.821273,16.43443,
179.351,0.1095607,0.6396182,-0.1964039,0.5852951,-0.3180407,0.7725124,0.04272044,0.127629,-0.1243291,352.9457,334.3847,358.6084,-0.4922777,-3.946679,-0.5673754,6.112127,-2.959583,-0.7027802,-0.5812114,-0.1178577,-0.5420906,330.1127,289.0393,3.113622,0.2105397,-4.407061,-0.1910025,-5.596848,-0.2299779,4.43583,0.5766289,-0.1721821,0.3661878,1.830206,8.037618,13.63193,
193.294,0.09707753,0.5089058,-0.183681,0.6014171,-0.2052845,0.7483808,0.04385877,0.131305,-0.1264679,352.1797,334.3718,358.715,-0.1282522,-4.050591,-0.3649167,6.041582,-2.919543,-0.6325874,-0.5726542,-0.1714604,-0.542677,334.5836,288.7258,6.18377,-0.2003955,-4.361435,-0.5900644,-4.947586,0.0173752,4.700141,0.5661053,-0.2275383,0.34931,5.480278,6.854623,10.15539,
207.092,0.08687801,0.3691767,-0.1684921,0.6813444,-0.07373428,0.6957312,0.04490197,0.1328784,-0.1284941,351.4071,334.2448,358.9536,0.2052943,-4.11465,-0.1998343,6.125394,-2.52374,-0.4026091,-0.5599325,-0.2253756,-0.5413435,338.7588,288.1297,9.37361,-0.4648398,-4.319065,-0.8523968,-4.568596,0.0865119,5.055627,0.5558298,-0.282863,0.332578,9.214147,5.404448,6.147542,
220.805,0.08053423,0.2210709,-0.1579398,0.7375284,0.03929125,0.5880157,0.04595327,0.1322073,-0.1306171,350.7991,334.0427,359.2487,0.6402518,-4.157209,-0.001718938,6.211566,-1.893936,0.03525896,-0.5392944,-0.2804526,-0.5364913,342.5034,287.2451,12.86397,-0.7272405,-4.279772,-1.139553,-4.240784,-0.3619548,5.343463,0.5417155,-0.3384169,0.3116733,12.9146,4.608601,1.832197,
234.946,0.07784946,0.06567365,-0.1543409,0.6874295,0.1200684,0.4273312,0.04709554,0.129279,-0.1328779,350.4678,333.7964,359.481,0.9443844,-4.165436,0.1281117,6.336816,-1.19621,0.4404442,-0.5186185,-0.3344413,-0.531592,346.256,286.4127,16.51931,-0.9019082,-4.24221,-1.359588,-4.075644,-0.98333,5.290006,0.5262432,-0.3928601,0.2891239,16.63387,4.267571,357.8856,
248.871,0.07807554,-0.09778827,-0.1573653,0.5385231,0.1675306,0.2501611,0.04826939,0.1239104,-0.1353118,350.3997,333.5826,359.6231,1.21198,-4.165505,0.2349671,6.492492,-0.332994,0.7304435,-0.4953034,-0.3883308,-0.525555,350.1516,285.4237,20.28421,-1.044336,-4.197904,-1.558218,-4.043054,-1.641512,5.189124,0.5096139,-0.4465761,0.2644115,20.41394,4.155451,353.7711,
262.356,0.08119544,-0.2668165,-0.1639034,0.34441,0.1849706,0.05795623,0.0495643,0.1161768,-0.1377945,350.5804,333.3849,359.7417,1.451993,-4.161314,0.3177951,6.547455,0.7100486,0.7179085,-0.4690813,-0.4415141,-0.5183986,354.3785,284.0543,23.66444,-1.16156,-4.136428,-1.739735,-4.109263,-2.364214,5.069808,0.4913035,-0.498639,0.2378591,24.27389,4.37723,349.391,
276.612,0.08762334,-0.436989,-0.1715773,0.1891778,0.1745051,-0.1277222,0.0510447,0.1061757,-0.1404085,350.8665,333.2017,359.913,1.679359,-4.128286,0.3861549,6.306334,1.649583,0.5253508,-0.4406514,-0.4927294,-0.5108047,358.567,282.5522,26.39667,-1.279174,-4.05155,-1.903287,-4.242396,-2.991632,5.122484,0.4715178,-0.5494754,0.2093974,28.12134,4.323178,344.2572,
290.332,0.09533684,-0.5886347,-0.1790482,0.1015858,0.151354,-0.2571011,0.05260301,0.09436452,-0.1430819,351.1507,333.043,0.1089011,1.885567,-4.051823,0.4323958,5.859842,2.553542,0.4610585,-0.4106867,-0.5420893,-0.5030624,2.396991,280.8243,29.07985,-1.391064,-3.961577,-2.05179,-4.591068,-3.49571,5.17153,0.4510401,-0.5991873,0.1802522,32.29052,3.969231,338.5875,
303.901,0.1028314,-0.7484249,-0.185979,0.05579983,0.1318498,-0.2968654,0.05420679,0.08079529,-0.1458004,351.2961,332.9075,0.229526,2.053912,-3.935803,0.4576438,5.334198,3.613408,0.7576115,-0.3797218,-0.5894126,-0.4955719,5.804192,278.9056,32.71596,-1.482343,-3.859184,-2.164839,-4.971212,-3.545675,4.752111,0.4294466,-0.6471422,0.1509064,36.6003,3.853805,333.9965,
318.028,0.1079427,-0.8722107,-0.1900658,0.05364573,0.1474502,-0.2280744,0.05583346,0.06586641,-0.1484456,351.268,332.7379,0.2641497,2.169132,-3.804006,0.4602717,4.686632,5.054133,1.234101,-0.3489218,-0.6357072,-0.4882179,8.926132,276.7167,37.89025,-1.545533,-3.741186,-2.251268,-5.362207,-2.839755,3.804479,0.4069798,-0.6920432,0.1218139,41.38503,4.620108,332.2195,
331.849,0.1101187,-0.990749,-0.1885891,0.0329675,0.1833271,-0.0989904,0.05731583,0.05022275,-0.1507895,351.155,332.5698,0.1463573,2.232045,-3.675603,0.4649814,3.896726,6.430186,1.279173,-0.3187141,-0.6799536,-0.4802258,12.19391,274.3366,43.45583,-1.599358,-3.573372,-2.293154,-5.499757,-1.871295,3.158945,0.3843508,-0.7327988,0.09402421,46.23986,5.25837,331.6749,
345.641,0.106816,-1.06372,-0.1810936,-0.05427602,0.2001003,0.02722616,0.05860054,0.03502625,-0.153069,351.1148,332.4942,359.8324,2.246192,-3.531463,0.4663125,3.137601,7.170755,0.6906023,-0.2898981,-0.7210804,-0.4722949,15.81003,271.7715,47.91226,-1.634125,-3.313766,-2.24924,-5.055409,-1.085205,2.778798,0.3623523,-0.7683812,0.06857456,50.09696,5.256549,331.2584,
359.854,0.1000563,-1.088163,-0.1775013,-0.1878696,0.178344,0.1120101,0.05965137,0.02082929,-0.155683,351.1788,332.5244,359.4188,2.225358,-3.354375,0.455055,2.684662,7.070721,-0.2884892,-0.2624898,-0.75828,-0.464337,19.79799,268.651,50.06309,-1.650995,-2.988999,-2.121521,-4.205458,-0.7405427,2.765963,0.3416127,-0.7996087,0.04605622,52.90551,3.422697,329.3242,
373.836,0.09405546,-1.069088,-0.1816949,-0.2547649,0.1681916,0.05579528,0.06077385,0.007698536,-0.1584162,351.425,332.4082,359.2911,2.181533,-3.192663,0.4404125,2.703897,6.885526,-1.074759,-0.2382607,-0.79282,-0.4566152,24.67334,265.2561,50.83774,-1.618866,-2.694351,-1.963726,-3.54371,-0.2824993,2.72836,0.3226419,-0.8283462,0.02667001,55.55259,1.418016,327.9261,
387.461,0.08800237,-1.004799,-0.1849386,-0.2685544,0.2054678,-0.1343184,0.06187844,-0.003178805,-0.1608741,351.8928,332.1097,359.344,1.976947,-2.904207,0.4675327,3.263465,7.047968,-0.9714417,-0.2232511,-0.8184842,-0.4493301,31.50651,263.4424,51.52185,-1.53171,-2.375521,-1.750573,-3.175172,0.9705035,3.110223,0.3055351,-0.8512095,0.0126969,59.17722,359.4266,329.2114,
401.299,0.0750523,-0.8775911,-0.1752828,-0.3293861,0.252575,-0.3041933,0.06231046,-0.01005372,-0.1624851,352.4798,331.8554,359.2143,1.743731,-2.575863,0.4969097,3.396922,7.027902,-0.4211984,-0.2122318,-0.8379115,-0.4433638,38.02522,263.393,52.61774,-1.379501,-2.039259,-1.510777,-3.412446,2.601889,4.370615,0.2928002,-0.8670299,0.005371533,64.61422,356.6421,332.7561,
415.477,0.04947531,-0.6716551,-0.1398496,-0.3347824,0.2701878,-0.1947559,0.06197625,-0.01213002,-0.1627444,352.2637,331.7538,358.8716,1.29733,-1.949255,0.4414878,4.172947,5.303154,0.1889956,-0.2129855,-0.8399209,-0.4414825,42.81779,264.2401,50.08807,-1.095819,-1.551771,-1.136606,-3.585248,4.401066,5.740638,0.2872775,-0.8697297,0.007722659,69.2143,355.5496,341.1434,
429.272,0.0211171,-0.3758056,-0.0931273,-0.240812,0.2573133,0.2144465,0.061818,-0.007876277,-0.1631989,351.6426,331.7588,358.3458,0.6030052,-1.053073,0.2655755,4.081393,1.572691,0.1095186,-0.2258289,-0.8268508,-0.4442039,41.90646,264.6175,45.03955,-0.7270648,-0.8321829,-0.4931039,-2.020825,5.802816,6.088322,0.289396,-0.8574166,0.02057855,67.96663,355.133,350.6658,
442.956,0.004049158,-0.04268277,-0.06989048,-0.2627126,0.2024943,0.3212629,0.06189799,-0.0005050302,-0.1642962,351.8417,331.7756,358.043,-0.2501527,-0.07558636,0.1181131,1.525646,-1.743687,0.9054641,-0.2499062,-0.8072515,-0.4503446,36.24625,268.7265,45.15685,-0.3020692,0.03856871,0.3142981,1.170091,6.672067,5.159111,0.3004037,-0.8364347,0.04151546,60.88231,354.3942,357.4099,
457.076,-0.008322153,0.2697704,-0.05504116,-0.4160049,0.1329446,0.1139063,0.06150782,0.009791434,-0.1645901,352.3894,331.8403,357.6645,-1.007266,0.8740911,-0.05583856,-1.603248,-3.759408,1.732453,-0.2769232,-0.7791145,-0.4582016,28.33335,272.4906,45.55864,0.1969075,0.8726992,1.021729,4.035064,5.750285,3.111412,0.3178416,-0.809418,0.06572944,52.76175,355.0017,0.3276866,
