time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.402,-0.009526514,1.019737,0.1233098,-1.230658,0.1400237,-0.08519106,-0.01080912,0.2831612,-2.380721,9.064621,358.3116,0.07079735,-1.326527,3.490827,0.6605613,-0.6675043,4.001313,3.732183,-0.5708244,-0.2688055,-2.267301,1.32091,320.3481,60.97583,1.185352,2.224699,0.4205544,-1.799699,3.672932,-1.735175,0.5069686,-0.3857103,-2.434669,32.41307,40.70472,323.1644,
13.612,-0.01381795,0.9552674,0.1203541,-0.743284,0.1757605,-0.02017484,-0.01116007,0.2939587,-2.379165,8.942348,358.1446,0.002516672,-1.184452,3.544119,0.721642,-0.8508227,2.712775,4.455683,-0.5861617,-0.2228605,-2.256399,357.7391,321.627,57.66266,1.19266,2.316264,0.4880772,-1.603635,3.482645,-2.350115,0.5248446,-0.3533813,-2.428219,29.90073,40.52043,326.0385,
25.027,-0.01838074,0.8706542,0.1166236,-0.2854968,0.1576967,0.06453963,-0.01154435,0.3031338,-2.377694,8.524247,358.0285,359.8458,-1.096816,3.547438,0.7603396,-1.073939,1.884268,4.720283,-0.6015633,-0.1765724,-2.245689,354.7347,322.8492,54.43102,1.266305,2.407743,0.4980025,-1.405614,2.428971,-2.934326,0.5448828,-0.3207281,-2.422801,26.86715,40.63776,327.0818,
38.804,-0.02347371,0.7702686,0.1136836,0.1147495,0.09834348,0.151747,-0.01202589,0.3106797,-2.376246,7.868948,357.9959,359.6418,-1.052199,3.563576,0.7699902,-1.255428,1.676796,4.838162,-0.6172737,-0.1290896,-2.235196,351.5197,323.8867,51.41251,1.379312,2.478077,0.5010922,-0.9387965,1.539774,-3.247479,0.5678057,-0.2871457,-2.41682,23.98452,40.2895,327.2917,
52.87,-0.0278865,0.6434121,0.1079779,0.477766,0.04533161,0.1917026,-0.0125044,0.316493,-2.374813,7.086049,357.9894,359.5455,-1.040058,3.604848,0.7479984,-1.292622,1.832031,4.77231,-0.6332322,-0.08027609,-2.225975,348.2025,324.7583,48.77451,1.558279,2.578524,0.4513688,-1.644567,1.279651,-3.4182,0.5932475,-0.249874,-2.412291,21.09053,41.62403,329.8127,
66.965,-0.03152256,0.5258874,0.1089496,0.6388045,0.02363978,0.1569594,-0.01300132,0.3210915,-2.373158,6.428483,357.983,359.5641,-1.03559,3.670892,0.6920907,-1.441506,2.169484,4.645597,-0.6488797,-0.02957642,-2.217723,344.8308,325.3447,45.95263,1.699385,2.678085,0.4205966,-1.953483,1.240519,-3.423158,0.6202759,-0.2121336,-2.407581,18.44897,42.30658,332.3356,
80.562,-0.03319827,0.406727,0.1084122,0.7811718,0.03537033,0.08511205,-0.0134052,0.3236915,-2.371782,5.627333,357.9324,359.6821,-1.010244,3.77528,0.5953207,-1.600399,2.747766,4.602022,-0.6629726,0.02313957,-2.212315,341.0505,325.8091,42.7435,1.872331,2.803059,0.3338854,-2.234495,0.6591002,-3.000472,0.6498196,-0.1700099,-2.405404,16.58235,43.83035,334.0868,
94.798,-0.03273327,0.2789029,0.1063606,0.8750986,0.04949213,0.00665822,-0.01383299,0.3242195,-2.37034,4.843151,357.9106,359.8319,-0.94563,3.888716,0.4817736,-1.517151,3.450254,4.612549,-0.6750589,0.07675064,-2.208339,336.7862,326.4359,39.36243,2.02384,3.036808,0.1955785,-2.71797,-0.5491424,-3.138759,0.6778285,-0.122154,-2.406118,13.18413,46.6386,335.3865,
109.031,-0.03021418,0.1411995,0.1052206,0.9270059,0.06397763,-0.04441155,-0.01414996,0.3226175,-2.368912,4.075033,357.8607,359.9871,-0.8220306,4.020063,0.3188668,-1.079905,4.239365,4.522862,-0.684056,0.1318346,-2.207266,331.9891,327.1375,36.22344,2.037854,3.391839,0.07220703,-2.762228,-1.791084,-3.990749,0.7015938,-0.06870448,-2.406331,7.657441,48.87235,335.826,
122.402,-0.02717151,-0.001936857,0.1022916,0.904153,0.06655315,-0.05143217,-0.01444203,0.3190077,-2.367688,3.45411,357.8147,0.05233975,-0.653536,4.116474,0.1239108,-0.5254164,4.907022,4.176727,-0.6898894,0.1876459,-2.209093,327.155,327.6334,33.37185,1.860006,3.787836,0.00311327,-2.06453,-2.553758,-5.249146,0.7192093,-0.01173267,-2.407518,0.6826279,49.07075,335.366,
