time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.639,-0.08122917,-0.2605973,0.04403921,0.1520564,-0.1541478,0.01732223,-0.009490252,0.1370957,-0.1570801,352.8892,339.8977,358.7895,1.121874,3.41062,0.2376666,-1.906997,6.533177,1.339539,-0.5051637,0.2288063,-0.5202247,294.3895,340.7858,345.0955,-0.2442573,3.609946,-0.8811715,8.180561,-3.186545,-0.3609966,0.3923036,0.2348495,0.2133509,323.5053,343.6426,15.36968,
10.849,-0.0903953,-0.4085252,0.04099396,0.05864074,-0.09502851,-0.09189874,-0.01089686,0.1279551,-0.1565993,353.0032,339.8618,358.8668,1.355231,3.095506,0.2716397,-0.790602,6.344588,1.472194,-0.4850215,0.2633377,-0.5159601,293.0304,350.6106,333.7639,-0.4884859,3.347982,-1.169393,8.221866,-1.996353,-0.5409098,0.3818609,0.2713058,0.1949721,318.7904,340.3684,21.20345,
22.694,-0.09576465,-0.533174,0.03794429,0.02513405,-0.04216588,-0.1111978,-0.01227385,0.1171201,-0.1561477,353.0416,339.8023,358.9104,1.510166,2.849817,0.2809583,0.2677552,5.942359,1.553165,-0.4641451,0.296018,-0.5114937,291.8652,0.2823886,322.6248,-0.6522375,3.084456,-1.357463,7.462304,-1.119563,-0.5744405,0.3707612,0.3046277,0.1756221,315.3239,337.3741,25.68449,
36.669,-0.09979621,-0.6710126,0.03356897,0.007462393,-0.004439383,-0.111312,-0.01366436,0.1046199,-0.155787,353.0909,339.7542,358.9604,1.671939,2.561512,0.2858399,1.067053,5.093252,1.814512,-0.4402023,0.3227526,-0.5062965,290.4496,9.475318,312.8998,-0.7996229,2.766211,-1.520433,6.282726,-0.5025754,-0.4827655,0.3568467,0.3330922,0.1535845,312.8907,335.1851,28.54967,
50.331,-0.1003516,-0.8005795,0.02624736,0.02285131,0.01686748,-0.09695712,-0.01495647,0.09042078,-0.1557357,353.0702,339.7041,359.0312,1.83762,2.241002,0.3070157,1.210315,4.34556,2.312179,-0.4142465,0.3448272,-0.5002505,289.9739,20.18309,302.9985,-0.9256463,2.455602,-1.688314,5.701166,-0.1132963,-0.2886746,0.34143,0.3568963,0.1276112,310.0067,333.1956,31.72847,
64.573,-0.09736522,-0.9267287,0.01416717,0.06488387,0.03741349,-0.06123005,-0.01613462,0.07437593,-0.1559923,352.953,339.6312,359.0953,1.997914,1.884602,0.3418782,1.147687,3.97012,2.753326,-0.3873537,0.3605187,-0.4938331,290.6831,31.56622,292.9166,-1.050203,2.129537,-1.915011,5.975692,0.3959114,-0.2254417,0.3242837,0.3749224,0.09913924,305.7941,329.5361,36.81387,
78.529,-0.0917635,-1.051262,-0.0002032071,0.1431078,0.0674473,0.008830761,-0.01719737,0.05669975,-0.156386,352.6664,339.5161,359.1465,2.125145,1.501036,0.3993362,1.067377,3.955949,2.863072,-0.3598611,0.3723315,-0.4861665,292.7896,41.09909,284.3955,-1.15326,1.757608,-2.091721,6.018378,0.6711171,-0.2370532,0.3071136,0.3871028,0.07074239,302.069,325.1549,42.73539,
92.158,-0.08399941,-1.172318,-0.01532183,0.2735977,0.1127004,0.1043279,-0.01807809,0.03739798,-0.1570168,352.1579,339.3386,359.2415,2.18613,1.119862,0.4839993,1.379606,4.085498,2.260581,-0.3333015,0.3791072,-0.4775312,295.5896,46.84803,277.857,-1.223936,1.36045,-2.169905,5.503735,0.7554949,-0.3690102,0.2898751,0.3943755,0.04335563,299.624,320.7123,48.10495,
106.78,-0.07186619,-1.291428,-0.03317909,0.4500712,0.1794046,0.1919505,-0.01860237,0.01655456,-0.1579018,351.5085,339.0541,359.44,2.168602,0.7644256,0.5704679,2.616903,3.898126,1.064824,-0.3076787,0.3815519,-0.4684213,297.6681,49.75888,271.0365,-1.277143,0.9610101,-2.18446,5.122199,0.6164653,-0.4818331,0.2724678,0.3974528,0.01714367,297.9872,315.4971,54.41123,
119.869,-0.05800331,-1.375694,-0.05136492,0.3989184,0.2434461,0.1350881,-0.0190146,-0.002792716,-0.1591289,351.5908,338.7474,359.4834,2.103963,0.5027935,0.6259329,4.1552,3.202065,0.2153009,-0.2828164,0.3824005,-0.4593781,298.7413,51.79982,263.4146,-1.301204,0.6251208,-2.202795,5.747709,0.6207788,-0.32607,0.2557674,0.3966185,-0.008906733,295.618,307.5587,65.1101,
133.549,-0.04428364,-1.407579,-0.07394718,0.2437036,0.2885375,0.07718616,-0.0192582,-0.02185649,-0.1609092,351.5213,338.4761,359.4201,2.011761,0.2275765,0.6503288,5.188652,2.333006,0.06624949,-0.2591317,0.378119,-0.450934,299.3032,54.0624,255.7308,-1.290523,0.2794809,-2.189417,7.252393,1.06007,0.2704977,0.2391561,0.3915514,-0.03174303,292.304,296.8215,81.75182,
147.741,-0.03060374,-1.391774,-0.09442802,0.03673361,0.3342066,-0.07002426,-0.01943153,-0.03880784,-0.1623377,352.0675,338.123,359.4212,1.921207,-0.1324164,0.7052776,4.042726,3.274868,0.1529844,-0.2406975,0.3694286,-0.4424833,304.0147,55.19935,254.0061,-1.238494,-0.03524783,-2.000216,7.764297,1.354531,0.6320854,0.2246763,0.3840557,-0.04962351,290.4343,287.7957,96.95227,
161.581,-0.0212294,-1.312572,-0.1005799,-0.143253,0.3938025,-0.1472778,-0.01958513,-0.05296186,-0.1635555,352.2932,337.7481,359.2163,1.74669,-0.4007289,0.7267032,2.436803,4.30382,0.2068643,-0.2273564,0.3636231,-0.4349409,309.424,54.81969,256.0646,-1.141945,-0.2310424,-1.721675,6.155086,0.8176367,0.0552057,0.2146763,0.3794437,-0.06282882,291.2728,282.0374,103.7701,
175.398,-0.01165837,-1.177337,-0.09870499,-0.2038567,0.4569055,-0.1087596,-0.0194065,-0.0637269,-0.1645067,352.5241,337.3469,359.0106,1.398466,-0.5646316,0.6594523,1.224361,4.069335,0.4207115,-0.2220247,0.3544685,-0.4290321,312.2229,55.21701,257.5038,-1.012719,-0.320741,-1.435479,4.422876,0.2483275,-0.4822042,0.2074143,0.3749576,-0.07162948,292.4846,278.4213,106.6089,
