time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.398,0.05661452,-0.9556031,-0.1597519,-0.2003132,0.2120837,0.02182444,-7.271767E-06,0.1832076,-2.223341,359.8647,340.4944,358.6277,2.0011,-2.824618,-0.2761588,1.153559,5.396196,-5.425982,-0.3088113,-0.5865662,-2.403791,22.13013,313.1123,73.32175,-1.134456,-2.967362,-1.684376,-4.908448,2.219702,3.145762,0.2738194,-0.5967774,-2.109205,42.03949,354.8671,311.8721,
13.23,0.05959423,-0.8407272,-0.1628359,-0.09966218,0.1758635,0.007779023,0.0007351041,0.1752805,-2.225204,359.7999,340.4304,358.7911,1.791595,-2.553655,-0.3450964,0.8539317,4.285984,-6.117229,-0.2917617,-0.6094658,-2.406519,26.89089,309.7729,75.10168,-1.014261,-2.633211,-1.544784,-4.858261,2.221745,3.477266,0.2636664,-0.6178585,-2.121898,47.21809,353.7867,310.0984,
26.738,0.04865818,-0.6510331,-0.1461955,-0.1743308,0.09786415,-0.06385373,0.0007913113,0.1739675,-2.226264,0.2196916,340.511,358.6932,1.582559,-2.242869,-0.3718646,1.88296,3.183669,-6.69397,-0.2800409,-0.6238469,-2.408943,34.36816,308.2785,75.53889,-0.8878378,-1.977074,-1.229352,-3.651591,2.797853,3.861597,0.2564324,-0.6213107,-2.123512,51.30721,349.7364,309.052,
41.043,0.02963639,-0.3528915,-0.1154166,-0.3414743,0.03805574,0.1125458,0.0004745722,0.1799364,-2.226807,0.3296382,340.5583,357.9091,1.304582,-1.746913,-0.3312199,3.159829,2.728076,-6.322945,-0.2766466,-0.6260119,-2.409261,41.49088,309.5546,76.31373,-0.7306286,-1.162503,-0.7371908,-1.083865,3.797975,3.530942,0.2539046,-0.6109832,-2.11555,52.15722,345.7453,312.1234,
54.731,0.01535204,0.02031664,-0.08204724,-0.3456073,0.07461118,0.1093516,0.0005939007,0.1897153,-2.22726,0.4543057,340.351,358.0273,0.7707478,-0.9384085,-0.1379061,3.571725,1.411862,-3.784697,-0.2879146,-0.6105594,-2.405424,43.23283,313.88,76.28472,-0.4734385,-0.1567706,-0.04728715,2.504451,4.860921,2.219598,0.2569593,-0.5868712,-2.097918,48.28937,345.0103,320.809,
68.794,0.008860754,0.3428649,-0.05558858,-0.05705636,0.1426716,-0.09775619,0.0009689927,0.2003473,-2.227666,0.3673988,340.1403,358.6408,-0.03068498,0.158622,0.1413393,2.557309,-1.363735,0.8704195,-0.3111455,-0.581336,-2.400197,36.80556,317.4261,71.86144,-0.1899436,0.8121324,0.6215613,4.99033,4.512637,1.60604,0.2656474,-0.5561687,-2.076115,42.67104,343.6019,326.74,
82.778,0.005393832,0.6304489,-0.03555454,-0.02226144,0.1916417,-0.2232933,0.000795126,0.2154555,-2.227877,0.7025225,339.9472,358.7501,-0.7439017,1.245989,0.3489726,1.299697,-4.080215,5.02954,-0.3375739,-0.544104,-2.395171,28.35809,319.8834,63.61275,0.1762051,1.637901,1.162505,5.733413,2.405741,1.035191,0.2802462,-0.5201591,-2.050796,37.07204,343.1685,328.6212,
96.445,-0.002119501,0.8690487,-0.02482269,-0.02442297,0.1926613,-0.308951,0.0005726218,0.2315215,-2.228468,0.9437631,339.8471,358.9998,-1.3046,2.172701,0.4220352,0.2976044,-5.197069,7.065563,-0.3671279,-0.5001565,-2.392978,21.85577,322.1857,56.24628,0.6226791,2.340953,1.574915,5.359783,-0.2396763,0.1141133,0.2999305,-0.4762052,-2.024864,31.83894,345.1135,328.9043,
110.956,-0.001920653,1.049147,-0.03406723,-0.05928609,0.152482,-0.3526447,0.0008448362,0.2480289,-2.229768,1.244469,339.8253,359.1529,-1.707868,2.78532,0.3225178,-1.058259,-3.690004,7.192157,-0.398634,-0.4535109,-2.394481,16.81501,322.1276,52.48996,1.069517,2.937239,1.84024,4.527523,-3.022738,-0.656886,0.3216848,-0.4277621,-1.997767,26.38211,348.9233,328.2162,
124.756,0.006664151,1.148022,-0.05994855,-0.06689455,0.1057585,-0.415006,0.001303196,0.2644192,-2.231584,1.548702,339.8128,359.4829,-2.058314,3.311012,0.1131473,-2.433641,-0.3157113,6.76579,-0.431681,-0.4035367,-2.398477,10.61535,319.7879,51.72378,1.404696,3.397609,1.965951,3.537663,-4.993912,-0.608891,0.3440417,-0.3758191,-1.971735,21.26812,352.6666,326.6805,
